"DESIGN STUDIES","Section","#","","Ave","A","AB","B","BC","C","D","F","S/SD U/UD","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","",""
"359
DS","","","","","","","","","","","","","","","","","","",""
"601","001","","8","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"601","002","","3","***","","","","","","","","",".",".",".",".",".",".","."
"Internship","Course Total","","11","4.000","100.0",".",".",".",".",".",".",".  
.",".",".",".",".",".",".","."
"623
Interior Design IV","001","","35","3.500","40.0","37.1","11.4",".","2.9",".","2.9","5.7
.",".",".",".",".",".",".","."
"624
Portfolio Preparation","001","","35","3.691","45.7","42.9","8.6",".",".",".",".","2.9
.",".",".",".",".",".",".","."
"690","032","","6","3.605","66.7","16.7",".",".","16.7",".",".",".   
.",".",".",".",".",".",".","."
"690","041","","3","***","","","","","","","","",".",".",".",".",".",".","."
"690","043","","2","***","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","Course Total","","11","3.682","72.7","9.1","9.1",".","9.1",".",".",".  
.",".",".",".",".",".",".","."
"699","012","","1","***","","","","","","","","",".",".",".",".",".",".","."
"699","032","","2","***","","","","","","","","",".",".",".",".",".",".","."
"699","041","","1","***","","","","","","","","",".",".",".",".",".",".","."
"699","043","","1","***","","","","","","","","",".",".",".",".",".",".","."
"699","045","","1","***","","","","","","","","",".",".",".",".",".",".","."
"699","046","","2","***","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","8","4.000","100.0",".",".",".",".",".",".",".  
.",".",".",".",".",".",".","."
"920
Seminar in Design Studies","001","","10","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"990","007","","1","***","","","","","","","","",".",".",".",".",".",".","."
"990","032","","1","***","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","2","***","","","","","","","","","","","","","","",""
"999","007","","1","***","","","","","","","","",".",".",".",".",".",".","."
"999","032","","3","***","","","","","","","","",".",".",".",".",".",".","."
"999","041","","3","***","","","","","","","","",".",".",".",".",".",".","."
"999","043","","1","***","","","","","","","","",".",".",".",".",".",".","."
"999","049","","4","***","","","","","","","","",".",".",".",".",".",".","."
"999","050","","1","***","","","","","","","","",".",".",".",".",".",".","."
"999","051","","1","***","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","14","4.000","85.7",".",".",".",".",".",".",".  
.",".",".",".","14.3",".",".","."
