"MECHANICAL ENGINEERING","Section","#","","Ave","A","AB","B","BC","C","D","F","S/SD U/UD","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","",""
"612
M E","","","","","","","","","","","","","","","","","","",""
"491","068","","2","***","","","","","","","","",".",".",".",".",".",".","."
"491","080","","2","***","","","","","","","","",".",".",".",".",".",".","."
"491","090","","1","***","","","","","","","","",".",".",".",".",".",".","."
"Mech Engr Projects I","Course Total","","19","4.000","94.7",".",".",".",".",".",".",".  
.",".",".",".",".","5.3",".","."
"492","015","","1","***","","","","","","","","",".",".",".",".",".",".","."
"492","043","","1","***","","","","","","","","",".",".",".",".",".",".","."
"Mech Engr Projects II","Course Total","","2","***","","","","","","","","","","","","","","",""
"508
Composite Materials","001","","7","3.857","71.4","28.6",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"512
Inspectn,Qual Cntrl&Relblty","001","","2","***","","","","","","","","",".",".",".",".",".",".","."
"532
Mtrx Mthds in Machine Learning","001","","7","3.417","14.3","57.1",".","14.3",".",".",".","14.3
.",".",".",".",".",".",".","."
"548","001","","35","3.743","74.3","14.3","5.7","2.9",".","2.9",".",".   
.",".",".",".",".",".",".","."
"548","003","","11","3.909","81.8","18.2",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"Design Optimization","Course Total","","46","3.783","76.1","15.2","4.3","2.2",".","2.2",".",".  
.",".",".",".",".",".",".","."
"563
Intermediate Fluid Dynamics","001","","18","3.941","83.3","11.1",".",".",".",".",".","5.6
.",".",".",".",".",".",".","."
"564
Heat Transfer","001","","34","3.650","41.2","35.3","8.8","2.9",".",".",".","11.8
.",".",".",".",".",".",".","."
"601
Special Topics-Mech Engr","051","","4","***","","","","","","","","",".",".",".",".",".",".","."
"615
Tissue Mechanics","001","","5","***","","","","","","","","",".",".",".",".",".",".","."
"641
Design & Anal-Manufact Sys","001","","1","***","","","","","","","","",".",".",".",".",".",".","."
"699","004","","1","***","","","","","","","","",".",".",".",".",".",".","."
"699","015","","3","***","","","","","","","","",".",".",".",".",".",".","."
"699","033","","1","***","","","","","","","","",".",".",".",".",".",".","."
"699","035","","1","***","","","","","","","","",".",".",".",".",".",".","."
"699","039","","1","***","","","","","","","","",".",".",".",".",".",".","."
"699","057","","1","***","","","","","","","","",".",".",".",".",".",".","."
"699","062","","1","***","","","","","","","","",".",".",".",".",".",".","."
"699","066","","1","***","","","","","","","","",".",".",".",".",".",".","."
"699","081","","1","***","","","","","","","","",".",".",".",".",".",".","."
"699","090","","2","***","","","","","","","","",".",".",".",".",".",".","."
"699","100","","1","***","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","","14","3.596","42.9","7.1","7.1",".","7.1",".",".","21.4
.",".",".",".","7.1",".","7.1","."
"702
Grad Cooperative Educ Program","001","","2","***","","","","","","","","",".",".",".",".",".",".","."
"718
Modlng&Simlatn-Polymer Proc","003","","2","***","","","","","","","","",".",".",".",".",".",".","."
"722
Intro to Polymer Rheology","001","","11","3.773","63.6","27.3","9.1",".",".",".",".",".   
.",".",".",".",".",".",".","."
"739","001","","12","3.958","91.7","8.3",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"739","003","","3","***","","","","","","","","",".",".",".",".",".",".","."
"Advanced Robotics","Course Total","","15","3.967","93.3","6.7",".",".",".",".",".",".  
.",".",".",".",".",".",".","."
"747
Adv Comp Ctrl-Machines&Proc","003","","4","***","","","","","","","","",".",".",".",".",".",".","."
"759","001","","25","3.792","68.0","20.0","4.0","4.0",".",".",".","4.0
.",".",".",".",".",".",".","."
"759","003","","2","***","","","","","","","","",".",".",".",".",".",".","."
"HPC for Apps in Engr","Course Total","","27","3.769","66.7","18.5","7.4","3.7",".",".",".","3.7
.",".",".",".",".",".",".","."
"761
Topics in Thermodynamics","001","","19","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"August 24, 2020","","","","","","","","","","","","","","","","","","Page 144 of 447",""
