"PHARMACOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S/SD U/UD","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","",""
"724
PHMCOL-M","","","","","","","","","","","","","","","","","","",""
"626
Toxicology II","001","","5","***","","","","","","","","",".",".",".",".",".",".","."
"699
Independent Study","010","","1","***","","","","","","","","",".",".",".",".",".",".","."
"781
Pharmacology","001","","15","3.900","80.0","20.0",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"875
Special Topics-Pharmacology","001","","7","3.850","71.4","28.6",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"901
Seminar & Journal Club","001","","29","4.000","96.6",".",".",".",".",".",".","3.4
.",".",".",".",".",".",".","."
"990","007","","1","***","","","","","","","","",".",".",".",".",".",".","."
"990","008","","1","***","","","","","","","","",".",".",".",".",".",".","."
"990","010","","1","***","","","","","","","","",".",".",".",".",".",".","."
"990","011","","1","***","","","","","","","","",".",".",".",".",".",".","."
"990","016","","1","***","","","","","","","","",".",".",".",".",".",".","."
"990","018","","1","***","","","","","","","","",".",".",".",".",".",".","."
"990","027","","1","***","","","","","","","","",".",".",".",".",".",".","."
"990","036","","4","***","","","","","","","","",".",".",".",".",".",".","."
"990","039","","1","***","","","","","","","","",".",".",".",".",".",".","."
"990","041","","1","***","","","","","","","","",".",".",".",".",".",".","."
"990","042","","1","***","","","","","","","","",".",".",".",".",".",".","."
"990","044","","1","***","","","","","","","","",".",".",".",".",".",".","."
"990","045","","1","***","","","","","","","","",".",".",".",".",".",".","."
"990","055","","1","***","","","","","","","","",".",".",".",".",".",".","."
"990","059","","2","***","","","","","","","","",".",".",".",".",".",".","."
"990","065","","1","***","","","","","","","","",".",".",".",".",".",".","."
"990","067","","3","***","","","","","","","","",".",".",".",".",".",".","."
"990","068","","1","***","","","","","","","","",".",".",".",".",".",".","."
"990","070","","1","***","","","","","","","","",".",".",".",".",".",".","."
"990","073","","1","***","","","","","","","","",".",".",".",".",".",".","."
"990","074","","1","***","","","","","","","","",".",".",".",".",".",".","."
"990","075","","1","***","","","","","","","","",".",".",".",".",".",".","."
"990","076","","1","***","","","","","","","","",".",".",".",".",".",".","."
"990","077","","1","***","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","30","",".",".",".",".",".",".",".","76.7
.",".",".","16.7",".",".","6.7","."
