"MUSIC","Section","#","Ave","A","AB","B","BC","C","D","F","S/SD U/UD","","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"660
MUSIC","","","","","","","","","","","","","","","","","","",""
"Intro-Mus Cult of the World","103
001","125","3.964","84.0","1.6","2.4",".",".",".",".","11.2",".",".",".",".",".","0.8",".","."
"The Symphony","106
001","50","3.333","18.0","16.0","6.0","4.0","2.0",".","2.0","52.0",".",".",".",".",".",".",".","."
"","113
001","695","3.977","95.5","1.7","0.9",".",".",".","0.1","1.2","0.6",".",".",".",".",".",".","."
"","113
002","697","3.951","93.8","0.1","3.2",".","0.1","0.4",".","1.7","0.6",".",".",".",".",".",".","."
"","113
003","700","3.969","95.6","1.4","1.1","0.4",".",".","0.1","1.1",".",".",".",".",".",".",".","0.1"
"Music in Performance","Course Total","2092","3.965","95.0","1.1","1.7","0.1","0.0","0.1","0.1","1.3","0.4",".",".",".",".",".",".","0.0"
"","122
001","26","3.380","23.1","30.8","38.5","3.8",".",".",".","3.8",".",".",".",".",".",".",".","."
"","122
002","25","3.435","28.0","28.0","32.0","4.0",".",".",".",".","8.0",".",".",".",".",".",".","."
"Musica Practica 2","Course Total","51","3.406","25.5","29.4","35.3","3.9",".",".",".","2.0","3.9",".",".",".",".",".",".","."
"","151
001","39","3.868","69.2","12.8","5.1",".",".",".",".","7.7","2.6",".",".",".",".","2.6",".","."
"","151
002","49","3.585","49.0","16.3","10.2","4.1","2.0","2.0",".","10.2","6.1",".",".",".",".",".",".","."
"Basic Concepts-Music Theory","Course Total","88","3.713","58.0","14.8","8.0","2.3","1.1","1.1",".","9.1","4.5",".",".",".",".","1.1",".","."
"","172
101","13","3.250","7.7","46.2","23.1","15.4",".",".",".","7.7",".",".",".",".",".",".",".","."
"","172
102","13","3.292","23.1","15.4","46.2","7.7",".",".",".","7.7",".",".",".",".",".",".",".","."
"","172
103","12","3.409","16.7","41.7","33.3",".",".",".",".",".","8.3",".",".",".",".",".",".","."
"","172
104","13","3.625","38.5","38.5","15.4",".",".",".",".","7.7",".",".",".",".",".",".",".","."
"Musica Pract:Aural Skills 2","Course Total","51","3.394","21.6","35.3","29.4","5.9",".",".",".","5.9","2.0",".",".",".",".",".",".","."
"Survey-Hist Western Music","212
001","42","3.538","57.1","4.8","23.8",".","4.8","2.4",".","4.8","2.4",".",".",".",".",".",".","."
"Musica Practica 4","222
001","20","3.800","60.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Jazz Theory & Composition","229
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Bascom Course","236
001","6","3.600","33.3","33.3","16.7",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"Intro. Conducting and Pedagogy","252
001","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","254
022","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","254
028","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Conducting","Course Total","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"University Opera","256
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Opera Workshop","257
001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","262
050","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","262
096","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","262
098","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","262
101","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","262
196","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","262
198","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Jazz Ensemble","Course Total","44","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","265
010","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","265
019","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","265
049","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","265
059","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Ensemble-Woodwind","Course Total","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","267
020","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","267
035","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
