"BOTANY","Section","#","","Ave","A","AB","B","BC","C","D","F","S/SD U/UD","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","",""
"208
BOTANY","","","","","","","","","","","","","","","","","","",""
"100
Survey of Botany","001","","137","3.617","43.1","10.9","11.7","2.9","2.9",".",".","27.0
1.5",".",".",".",".",".",".","."
"123
Plants, Parasites, & People","001","","77","3.367","23.4","31.2","16.9",".","2.6","3.9",".","20.8
.",".",".",".","1.3",".",".","."
"130
General Botany","001","","118","3.442","44.1","6.8","29.7","3.4","2.5","0.8","0.8","10.2
0.8",".",".",".","0.8",".",".","."
"151
Introductory Biology","001","","1","***","","","","","","","","",".",".",".",".",".",".","."
"152","001","","3","***","","","","","","","","",".",".",".",".",".",".","."
"152","002","","4","***","","","","","","","","",".",".",".",".",".",".","."
"152","009","","1","***","","","","","","","","",".",".",".",".",".",".","."
"Introductory Biology","Course Total","","8","3.625","62.5",".","37.5",".",".",".",".",".  
.",".",".",".",".",".",".","."
"211
Changed Landscapes: Wisconsin","001","","15","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"260
Introductory Ecology","001","","29","3.250","10.3","13.8","17.2","3.4","3.4",".",".","48.3
3.4",".",".",".",".",".",".","."
"299","025","","1","***","","","","","","","","",".",".",".",".",".",".","."
"299","030","","6","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"299","032","","2","***","","","","","","","","",".",".",".",".",".",".","."
"299","034","","2","***","","","","","","","","",".",".",".",".",".",".","."
"299","036","","1","***","","","","","","","","",".",".",".",".",".",".","."
"Directed Study in Botany","Course Total","","12","4.000","100.0",".",".",".",".",".",".",".  
.",".",".",".",".",".",".","."
"332
Fungi","001","","16","3.719","68.8","12.5","12.5","6.3",".",".",".",".   
.",".",".",".",".",".",".","."
"333
Biology of the Fungi","001","","7","3.833","28.6","14.3",".",".",".",".",".","57.1
.",".",".",".",".",".",".","."
"335
Microbiome-Plants/Anmls/Humans","001","","1","***","","","","","","","","",".",".",".",".",".",".","."
"401
Vascular Flora of Wisconsin","001","","27","3.712","55.6","29.6","7.4","3.7",".",".",".","3.7
.",".",".",".",".",".",".","."
"410
Evolutionary Biology","001","","28","3.690","50.0","7.1","14.3","3.6",".",".",".","17.9
7.1",".",".",".",".",".",".","."
"460
General Ecology","001","","33","3.120","12.1","21.2","30.3","3.0","6.1","3.0",".","21.2
3.0",".",".",".",".",".",".","."
"473
Plant-Insect Interactions","001","","18","3.647","50.0","22.2","22.2",".",".",".",".","5.6
.",".",".",".",".",".",".","."
"499","003","","5","***","","","","","","","","",".",".",".",".",".",".","."
"499","012","","2","***","","","","","","","","",".",".",".",".",".",".","."
"499","021","","1","***","","","","","","","","",".",".",".",".",".",".","."
"499","035","","1","***","","","","","","","","",".",".",".",".",".",".","."
"Intermediate Directed Research","Course Total","","9","4.000","100.0",".",".",".",".",".",".",".  
.",".",".",".",".",".",".","."
"500","002","","20","3.031","20.0","10.0","30.0","5.0","10.0","5.0",".","15.0
5.0",".",".",".",".",".",".","."
"500","010","","11","3.550","45.5","9.1","36.4",".",".",".",".",".   
.",".",".",".",".",".",".","9.1"
"Plant Physiology","Course Total","","31","3.197","29.0","9.7","32.3","3.2","6.5","3.2",".","9.7
3.2",".",".",".",".",".",".","3.2"
"505
Plant-Microbe Interactions","001","","2","***","","","","","","","","",".",".",".",".",".",".","."
"575","001","","9","3.750","55.6","22.2","11.1",".",".",".",".",".   
11.1",".",".",".",".",".",".","."
"575","002","","22","3.925","81.8","4.5","4.5",".",".",".",".","4.5
4.5",".",".",".",".",".",".","."
"575","003","","2","***","","","","","","","","",".",".",".",".",".",".","."
"575","004","","10","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"575","005","","13","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"Special Topics","Course Total","","56","3.914","85.7","5.4","3.6",".",".",".",".","1.8
3.6",".",".",".",".",".",".","."
"691
Senior Thesis","024","","1","***","","","","","","","","",".",".",".",".",".",".","."
"692","005","","2","***","","","","","","","","",".",".",".",".",".",".","."
"692","012","","2","***","","","","","","","","",".",".",".",".",".",".","."
"August 24, 2020","","","","","","","","","","","","","","","","","","Page 192 of 447",""
