"COMPUTER SCIENCES","Section","#","Ave","A","AB","B","BC","C","D","F","S/SD U/UD","","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"266
COMP SCI","","","","","","","","","","","","","","","","","","",""
"","200
001","187","3.459","37.4","16.0","15.5","4.3","2.7","1.6","0.5","18.2","3.7",".",".",".",".",".",".","."
"","200
002","224","3.630","45.5","21.4","11.6","1.8","0.4","0.9","0.4","13.8","4.0",".",".",".",".",".",".","."
"Programming I","Course Total","411","3.555","41.8","19.0","13.4","2.9","1.5","1.2","0.5","15.8","3.9",".",".",".",".",".",".","."
"","220
001","143","3.736","57.3","22.4","6.3",".",".",".","1.4","11.9","0.7",".",".",".",".",".",".","."
"","220
002","137","3.723","50.4","19.7","8.0","1.5",".","0.7",".","13.1","5.8",".",".",".","0.7",".",".","."
"","220
003","137","3.627","43.1","27.0","8.8","2.9",".","1.5",".","10.9","5.8",".",".",".",".",".",".","."
"Data Programming I","Course Total","417","3.696","50.4","23.0","7.7","1.4",".","0.7","0.5","12.0","4.1",".",".",".","0.2",".",".","."
"","240
001","135","3.451","25.9","24.4","9.6","4.4","3.0",".","0.7","29.6","2.2",".",".",".",".",".",".","."
"","240
002","164","3.496","25.0","26.8","14.0","3.0","1.8",".",".","26.8","1.8",".",".",".",".","0.6",".","."
"Intro to Discrete Mathematics","Course Total","299","3.476","25.4","25.8","12.0","3.7","2.3",".","0.3","28.1","2.0",".",".",".",".","0.3",".","."
"","252
002","205","3.724","57.6","15.6","7.3","2.0","2.0","0.5",".","14.1","1.0",".",".",".",".",".",".","."
"","252
004","199","3.726","57.3","17.1","8.0","0.5","1.5","1.0",".","11.6","3.0",".",".",".",".",".",".","."
"Intro to Computer Engineering","Course Total","404","3.725","57.4","16.3","7.7","1.2","1.7","0.7",".","12.9","2.0",".",".",".",".",".",".","."
"","298
006","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","298
112","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","298
139","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study in Comp Sci","Course Total","4","***","","","","","","","","","","","","","","","",""
"","300
001","216","3.618","35.2","31.9","11.6","0.5","0.5","0.5",".","15.7","4.2",".",".",".",".",".",".","."
"","300
002","184","3.446","29.3","27.2","25.5","1.6","1.1","0.5","0.5","9.8","4.3",".",".",".",".",".",".","."
"","300
003","124","3.433","32.3","13.7","28.2","2.4",".","0.8","0.8","16.1","4.8",".",".",".","0.8",".",".","."
"","300
004","104","3.326","18.3","21.2","25.0","2.9",".","1.0","1.0","26.0","4.8",".",".",".",".",".",".","."
"","300
005","108","3.281","23.1","20.4","22.2","2.8","2.8",".","2.8","15.7","9.3",".",".",".",".",".",".","0.9"
"Programming II","Course Total","736","3.458","29.1","24.5","21.3","1.8","0.8","0.5","0.8","15.8","5.2",".",".",".","0.1",".",".","0.1"
"","304
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","304
002","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","304
003","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","304
004","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","304
005","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","304
006","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","304
007","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"WES-CS Group Meeting","Course Total","56","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","310
001","116","3.331","22.4","14.7","32.8","1.7","1.7",".","0.9","24.1","1.7",".",".",".",".",".",".","."
"","310
002","109","3.305","19.3","21.1","29.4","2.8",".","2.8",".","22.9","1.8",".",".",".",".",".",".","."
"Prob Solvng Using Computers","Course Total","225","3.318","20.9","17.8","31.1","2.2","0.9","1.3","0.4","23.6","1.8",".",".",".",".",".",".","."
"","320
001","69","3.787","60.9","17.4","10.1",".",".",".",".","8.7","2.9",".",".",".",".",".",".","."
"","320
002","47","3.671","38.3","25.5","8.5","2.1",".",".",".","19.1","6.4",".",".",".",".",".",".","."
"Data Programming II","Course Total","116","3.745","51.7","20.7","9.5","0.9",".",".",".","12.9","4.3",".",".",".",".",".",".","."
"Digital System Fundamentals","352
001","10","3.889","80.0",".","10.0",".",".",".",".","10.0",".",".",".",".",".",".",".","."
"","354
001","214","3.544","39.3","14.5","12.1","4.2","3.3","0.5",".","23.4","2.8",".",".",".",".",".",".","."
"","354
002","175","3.516","36.0","18.9","10.3","2.9","1.7","1.7","0.6","20.6","6.9",".",".",".","0.6",".",".","."
"","354
003","45","3.722","73.3","17.8","2.2","2.2","2.2",".","2.2",".",".",".",".",".",".",".",".","."
"Machine Organizatn&Progrmng","Course Total","434","3.558","41.5","16.6","10.4","3.5","2.5","0.9","0.5","19.8","4.1",".",".",".","0.2",".",".","."
