"ELECTRICAL AND COMPUTER E Section","","#","Ave","A","AB","B","BC","C","D","F","S/SD U/UD","","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"320
E C E","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1
001","19","3.974","94.7","5.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Signals, Information & Comp","203
001","133","3.676","44.4","24.1","15.0",".",".",".",".","16.5",".",".",".",".",".",".",".","."
"","210
001","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","210
002","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","210
003","20","4.000","95.0",".",".",".",".",".",".",".",".",".",".",".","5.0",".",".","."
"","210
004","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","210
005","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","210
006","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","210
007","15","4.000","93.3",".",".",".",".",".",".",".","6.7",".",".",".",".",".",".","."
"Intro Electrical Engr","Course Total","134","4.000","98.5",".",".",".",".",".",".",".","0.7",".",".",".","0.7",".",".","."
"Analytical Methods for EM Engr","219
001","130","3.855","76.2","7.7","8.5","0.8",".",".",".","5.4","1.5",".",".",".",".",".",".","."
"Electrodynamics I","220
001","79","3.579","34.2","38.0","13.9","1.3","1.3",".",".","10.1","1.3",".",".",".",".",".",".","."
"Circuit Analysis","230
001","114","3.727","48.2","15.8","9.6","0.9","0.9",".",".","20.2","4.4",".",".",".",".",".",".","."
"Intro-Solid State Electronics","235
001","47","3.791","68.1","10.6","10.6","2.1",".",".",".","6.4",".",".",".",".","2.1",".",".","."
"","252
001","134","3.722","50.7","20.1","6.7","2.2",".","0.7",".","17.9","1.5",".",".",".",".",".",".","."
"","252
003","92","3.704","47.8","20.7","14.1",".",".",".",".","15.2","2.2",".",".",".",".",".",".","."
"Intro to Computer Engineering","Course Total","226","3.715","49.6","20.4","9.7","1.3",".","0.4",".","16.8","1.8",".",".",".",".",".",".","."
"","270
001","60","3.992","98.3","1.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","270
002","35","3.986","97.1","2.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Circuits Laboratory I","Course Total","95","3.989","97.9","2.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","271
001","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","271
002","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Circuits Laboratory II","Course Total","39","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","303
001","14","3.769","64.3","14.3","14.3",".",".",".",".","7.1",".",".",".",".",".",".",".","."
"","303
002","33","3.833","63.6","24.2","3.0",".",".",".",".","9.1",".",".",".",".",".",".",".","."
"Intro to Real-Time DSP","Course Total","47","3.814","63.8","21.3","6.4",".",".",".",".","8.5",".",".",".",".",".",".",".","."
"Electric Machines Lab","304
001","10","3.556","30.0","40.0","20.0",".",".",".",".","10.0",".",".",".",".",".",".",".","."
"Semiconductr Properties Lab","305
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","313
001","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","313
002","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Optoelectronics Lab","Course Total","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","315
002","33","3.922","81.8","15.2",".",".",".",".",".","3.0",".",".",".",".",".",".",".","."
"","315
003","36","3.941","88.9",".","5.6",".",".",".",".","2.8","2.8",".",".",".",".",".",".","."
"","315
004","24","3.891","83.3","4.2","8.3",".",".",".",".","4.2",".",".",".",".",".",".",".","."
"Intro Microprocessor Lab","Course Total","93","3.921","84.9","6.5","4.3",".",".",".",".","3.2","1.1",".",".",".",".",".",".","."
"","317
001","9","4.000","77.8",".",".",".",".",".",".","22.2",".",".",".",".",".",".",".","."
"","317
003","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sensors Laboratory","Course Total","22","4.000","90.9",".",".",".",".",".",".","9.1",".",".",".",".",".",".",".","."
"Signals and Systems","330
001","70","3.526","45.7","8.6","17.1","8.6",".","1.4",".","18.6",".",".",".",".",".",".",".","."
"Microelectronic Devices","335
001","22","3.375","27.3","18.2","22.7",".",".","4.5",".","27.3",".",".",".",".",".",".",".","."
"","340
002","93","3.347","20.4","11.8","11.8","3.2","4.3","1.1",".","45.2","2.2",".",".",".",".",".",".","."
"August 24, 2020","","","","","","","","","","","","","","","","","","Page 124 of 447",""
