"GERMAN","Section","#","","Ave","A","AB","B","BC","C","D","F","S/SD U/UD","","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"424
GERMAN","","","","","","","","","","","","","","","","","","","",""
"","101
001","","17","3.654","41.2","23.5","5.9","5.9",".",".",".","17.6","5.9",".",".",".",".",".",".","."
"","101
002","","19","3.471","47.4","21.1","15.8",".",".",".","5.3","10.5",".",".",".",".",".",".",".","."
"","101
003","","16","3.929","75.0","12.5",".",".",".",".",".","6.3","6.3",".",".",".",".",".",".","."
"First Semester German","Course Total","","52","3.670","53.8","19.2","7.7","1.9",".",".","1.9","11.5","3.8",".",".",".",".",".",".","."
"","102
001","","14","3.808","57.1","35.7",".",".",".",".",".","7.1",".",".",".",".",".",".",".","."
"","102
002","","15","3.462","46.7","26.7","6.7",".",".",".","6.7","6.7","6.7",".",".",".",".",".",".","."
"","102
003","","11","3.591","36.4","45.5","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
004","","12","3.708","58.3","33.3",".","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"Second Semester German","Course Total","","52","3.643","50.0","34.6","5.8","1.9",".",".","1.9","3.8","1.9",".",".",".",".",".",".","."
"Second Semester Dutch","112
001","","7","3.786","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","203
001","","14","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","203
002","","8","3.786","62.5","12.5","12.5",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"Third Semester German","Course Total","","22","3.833","68.2","22.7","4.5",".",".",".",".","4.5",".",".",".",".",".",".",".","."
"","204
001","","8","3.813","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","204
002","","10","3.450","70.0","10.0","10.0",".",".",".","10.0",".",".",".",".",".",".",".",".","."
"","204
003","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fourth Semester German","Course Total","","27","3.741","77.8","14.8","3.7",".",".",".","3.7",".",".",".",".",".",".",".",".","."
"Fourth Semester Dutch","214
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics-Dutch Life & Culture","245
001","","19","3.947","94.7",".","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","249
001","","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","249
002","","18","4.000","88.9",".",".",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"Intermed German-Speak & Listen","Course Total","","38","4.000","94.7",".",".",".",".",".",".","5.3",".",".",".",".",".",".",".","."
"","258
001","","18","3.719","50.0","27.8","11.1",".",".",".",".","5.6","5.6",".",".",".",".",".",".","."
"","258
002","","21","3.639","38.1","33.3","14.3",".",".",".",".","9.5","4.8",".",".",".",".",".",".","."
"Intermediate German-Reading","Course Total","","39","3.676","43.6","30.8","12.8",".",".",".",".","7.7","5.1",".",".",".",".",".",".","."
"","262
001","","15","3.857","66.7","26.7",".",".",".",".",".","6.7",".",".",".",".",".",".",".","."
"","262
002","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intermediate German-Writing","Course Total","","24","3.913","79.2","16.7",".",".",".",".",".","4.2",".",".",".",".",".",".",".","."
"Nazi Culture","272
001","","74","3.852","70.3","23.0","2.7",".",".",".",".","4.1",".",".",".",".",".",".",".","."
"Spec Tops in Ger & World Lit/s","276
001","","23","3.848","73.9","21.7","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Yiddish Lit & Culture, America","279
001","","23","3.406","39.1","13.0","4.3",".","8.7","4.3",".","17.4","13.0",".",".",".",".",".",".","."
"Directed Study","299
028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Lit des 20. & 21. Jahrhunderts","305
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"2nd Sem Dutch-Grad Stdts","312
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in Dutch Literature","325
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Compositn & Conversatn","337
001","","17","3.906","76.5","17.6",".",".",".",".",".","5.9",".",".",".",".",".",".",".","."
"Topics-German Linguistics","352
001","","15","3.808","66.7","6.7","13.3",".",".",".",".","6.7","6.7",".",".",".",".",".",".","."
"","372
001","","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","372
002","","18","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in German Culture","Course Total","","38","3.974","94.7","5.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
