"CURRICULUM AND INSTRUCTIO Section","","#","","Ave","A","AB","B","BC","C","D","F","S/SD U/UD","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","",""
"272
CURRIC","","","","","","","","","","","","","","","","","","",""
"General Seminar","Course Total","","61","4.000","98.4",".",".",".",".",".",".",".  
.",".",".",".","1.6",".",".","."
"990","001","","11","",".",".",".",".",".",".",".","100.0
.",".",".",".",".",".",".","."
"990","003","","1","***","","","","","","","","",".",".",".",".",".",".","."
"990","004","","3","***","","","","","","","","",".",".",".",".",".",".","."
"990","007","","1","***","","","","","","","","",".",".",".",".",".",".","."
"990","013","","2","***","","","","","","","","",".",".",".",".",".",".","."
"990","015","","1","***","","","","","","","","",".",".",".",".",".",".","."
"990","016","","1","***","","","","","","","","",".",".",".",".",".",".","."
"990","017","","2","***","","","","","","","","",".",".",".",".",".",".","."
"990","020","","1","***","","","","","","","","",".",".",".",".",".",".","."
"990","021","","5","***","","","","","","","","",".",".",".",".",".",".","."
"990","023","","3","***","","","","","","","","",".",".",".",".",".",".","."
"990","030","","1","***","","","","","","","","",".",".",".",".",".",".","."
"990","031","","4","***","","","","","","","","",".",".",".",".",".",".","."
"990","039","","4","***","","","","","","","","",".",".",".",".",".",".","."
"990","052","","7","",".",".",".",".",".",".",".","100.0
.",".",".",".",".",".",".","."
"990","056","","6","",".",".",".",".",".",".",".","100.0
.",".",".",".",".",".",".","."
"990","057","","3","***","","","","","","","","",".",".",".",".",".",".","."
"990","061","","2","***","","","","","","","","",".",".",".",".",".",".","."
"990","067","","5","***","","","","","","","","",".",".",".",".",".",".","."
"990","070","","3","***","","","","","","","","",".",".",".",".",".",".","."
"990","072","","5","***","","","","","","","","",".",".",".",".",".",".","."
"990","075","","5","***","","","","","","","","",".",".",".",".",".",".","."
"990","080","","3","***","","","","","","","","",".",".",".",".",".",".","."
"990","088","","4","***","","","","","","","","",".",".",".",".",".",".","."
"990","091","","1","***","","","","","","","","",".",".",".",".",".",".","."
"990","092","","3","***","","","","","","","","",".",".",".",".",".",".","."
"990","095","","4","***","","","","","","","","",".",".",".",".",".",".","."
"Dissertation Research","Course Total","","91","",".",".",".",".",".",".",".","74.7
.",".",".","25.3",".",".",".","."
"991
Post-Secondary Teaching Practm","016","","1","***","","","","","","","","",".",".",".",".",".",".","."
"999","002","","1","***","","","","","","","","",".",".",".",".",".",".","."
"999","005","","1","***","","","","","","","","",".",".",".",".",".",".","."
"999","012","","1","***","","","","","","","","",".",".",".",".",".",".","."
"999","020","","1","***","","","","","","","","",".",".",".",".",".",".","."
"999","021","","1","***","","","","","","","","",".",".",".",".",".",".","."
"999","031","","1","***","","","","","","","","",".",".",".",".",".",".","."
"999","039","","1","***","","","","","","","","",".",".",".",".",".",".","."
"999","056","","1","***","","","","","","","","",".",".",".",".",".",".","."
"999","061","","2","***","","","","","","","","",".",".",".",".",".",".","."
"999","072","","3","***","","","","","","","","",".",".",".",".",".",".","."
"999","075","","1","***","","","","","","","","",".",".",".",".",".",".","."
"999","077","","1","***","","","","","","","","",".",".",".",".",".",".","."
"999","080","","5","***","","","","","","","","",".",".",".",".",".",".","."
"August 24, 2020","","","","","","","","","","","","","","","","","","","Page 90 of 447"
