"SPANISH (SPANISH AND PORTU Section","","#","Ave","A","AB","B","BC","C","D","F","S/SD U/UD","","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"912
SPANISH","","","","","","","","","","","","","","","","","","",""
"","101
001","24","3.529","33.3","16.7","16.7",".","4.2",".",".","29.2",".",".",".",".",".",".",".","."
"","101
002","23","3.425","47.8","8.7","21.7","4.3",".",".","4.3","13.0",".",".",".",".",".",".",".","."
"","101
003","22","3.571","27.3","22.7","9.1","4.5",".",".",".","27.3","4.5",".",".",".","4.5",".",".","."
"","101
004","23","3.444","17.4","34.8","26.1",".",".",".",".","21.7",".",".",".",".",".",".",".","."
"","101
005","22","3.342","31.8","13.6","27.3","9.1","4.5",".",".","13.6",".",".",".",".",".",".",".","."
"","101
006","22","3.389","27.3","22.7","18.2","13.6",".",".",".","13.6","4.5",".",".",".",".",".",".","."
"First Semester Spanish","Course Total","136","3.443","30.9","19.9","19.9","5.1","1.5",".","0.7","19.9","1.5",".",".",".","0.7",".",".","."
"","102
001","24","3.455","41.7","12.5","25.0","12.5",".",".",".","8.3",".",".",".",".",".",".",".","."
"","102
003","23","3.659","56.5","17.4","17.4","4.3",".",".",".",".","4.3",".",".",".",".",".",".","."
"","102
004","23","3.850","78.3",".","4.3",".","4.3",".",".","13.0",".",".",".",".",".",".",".","."
"","102
005","22","3.667","45.5","22.7","9.1","4.5",".",".",".","13.6",".",".",".",".",".",".","4.5","."
"","102
006","22","3.583","54.5","9.1","9.1","4.5",".","4.5",".","18.2",".",".",".",".",".",".",".","."
"","102
007","11","3.045","27.3","27.3","27.3",".","9.1",".","9.1",".",".",".",".",".",".",".",".","."
"Second Semester Spanish","Course Total","125","3.581","52.8","13.6","14.4","4.8","1.6","0.8","0.8","9.6","0.8",".",".",".",".",".","0.8","."
"","203
001","15","3.786","66.7","13.3","13.3",".",".",".",".",".","6.7",".",".",".",".",".",".","."
"","203
003","22","3.850","72.7","9.1","9.1",".",".",".",".","9.1",".",".",".",".",".",".",".","."
"","203
004","21","3.806","66.7","4.8","14.3",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"","203
005","22","3.690","59.1","22.7","9.1",".","4.5",".",".",".","4.5",".",".",".",".",".",".","."
"","203
006","24","3.792","70.8","20.8","4.2","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"","203
007","24","3.833","75.0","16.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","203
008","18","3.676","72.2","5.6","5.6",".","11.1",".",".","5.6",".",".",".",".",".",".",".","."
"","203
009","19","3.563","36.8","21.1","26.3",".",".",".",".","10.5","5.3",".",".",".",".",".",".","."
"Third Semester Spanish","Course Total","165","3.756","65.5","14.5","10.9","0.6","1.8",".",".","4.8","1.8",".",".",".",".",".",".","."
"","204
001","24","3.500","33.3","25.0","25.0","4.2",".",".",".","12.5",".",".",".",".",".",".",".","."
"","204
003","21","3.900","85.7",".","9.5",".",".",".",".","4.8",".",".",".",".",".",".",".","."
"","204
005","23","3.714","69.6",".","17.4",".","4.3",".",".","8.7",".",".",".",".",".",".",".","."
"","204
006","24","3.761","58.3","29.2","8.3",".",".",".",".","4.2",".",".",".",".",".",".",".","."
"","204
008","23","3.762","65.2","13.0","8.7","4.3",".",".",".","4.3","4.3",".",".",".",".",".",".","."
"","204
009","23","3.565","43.5","34.8","17.4",".","4.3",".",".",".",".",".",".",".",".",".",".","."
"","204
010","23","3.619","60.9","13.0","8.7","4.3",".","4.3",".","8.7",".",".",".",".",".",".",".","."
"Fourth Semester Spanish","Course Total","161","3.687","59.0","16.8","13.7","1.9","1.2","0.6",".","6.2","0.6",".",".",".",".",".",".","."
"Intro to Hispanic Cultures","223
001","117","3.913","82.9","6.8","1.7","0.9","0.9",".",".","6.0","0.9",".",".",".",".",".",".","."
"Intro-Hispanic Literatures","224
001","88","3.664","53.4","13.6","14.8","3.4","1.1",".",".","13.6",".",".",".",".",".",".",".","."
"Linguistic Study of Spanish","225
001","85","3.573","45.9","21.2","16.5","2.4","1.2",".","1.2","9.4",".",".",".",".","1.2",".","1.2","."
"","226
001","13","3.636","46.2","15.4","23.1",".",".",".",".","15.4",".",".",".",".",".",".",".","."
"","226
002","12","3.750","50.0","25.0","8.3",".",".",".",".","8.3","8.3",".",".",".",".",".",".","."
"","226
003","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","226
004","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","226
005","15","3.857","73.3","13.3","6.7",".",".",".",".","6.7",".",".",".",".",".",".",".","."
"","226
006","20","3.684","45.0","40.0","10.0",".",".",".",".","5.0",".",".",".",".",".",".",".","."
"","226
007","6","3.750","33.3","33.3",".",".",".",".",".","33.3",".",".",".",".",".",".",".","."
"","226
008","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
