"CHEMISTRY","Section","#","Ave","A","AB","B","BC","C","D","F","S/SD U/UD","","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"224
CHEM","","","","","","","","","","","","","","","","","","",""
"","344
008","15","3.346","20.0","26.7","33.3","6.7",".",".",".","13.3",".",".",".",".",".",".",".","."
"","344
009","14","3.500","21.4","28.6","21.4",".",".",".",".","28.6",".",".",".",".",".",".",".","."
"","344
010","16","3.357","31.3","25.0","25.0",".",".","6.3",".","12.5",".",".",".",".",".",".",".","."
"","344
011","14","3.682","42.9","21.4","14.3",".",".",".",".","21.4",".",".",".",".",".",".",".","."
"","344
012","14","3.250","35.7","7.1","35.7","14.3","7.1",".",".",".",".",".",".",".",".",".",".","."
"","344
013","15","3.154","13.3","13.3","53.3",".","6.7",".",".","13.3",".",".",".",".",".",".",".","."
"","344
014","15","3.375","20.0","20.0","40.0",".",".",".",".","20.0",".",".",".",".",".",".",".","."
"","344
015","17","3.438","41.2","11.8","35.3",".","5.9",".",".","5.9",".",".",".",".",".",".",".","."
"","344
016","17","3.500","41.2","11.8","17.6","11.8",".",".",".","17.6",".",".",".",".",".",".",".","."
"","344
017","14","3.154","21.4","14.3","28.6","28.6",".",".",".","7.1",".",".",".",".",".",".",".","."
"","344
018","15","3.333","26.7","6.7","40.0","6.7",".",".",".","20.0",".",".",".",".",".",".",".","."
"","344
019","12","3.563","33.3","8.3","25.0",".",".",".",".","25.0","8.3",".",".",".",".",".",".","."
"","344
020","11","3.056","18.2","9.1","45.5",".",".","9.1",".","18.2",".",".",".",".",".",".",".","."
"","344
021","13","3.364","38.5","7.7","23.1","7.7","7.7",".",".","15.4",".",".",".",".",".",".",".","."
"","344
022","13","3.375","30.8","23.1","30.8",".","7.7",".",".","7.7",".",".",".",".",".",".",".","."
"","344
023","13","3.450","30.8","15.4","23.1","7.7",".",".",".","23.1",".",".",".",".",".",".",".","."
"","344
024","13","3.600","46.2",".","30.8",".",".",".",".","23.1",".",".",".",".",".",".",".","."
"","344
025","15","3.417","33.3","6.7","33.3","6.7",".",".",".","20.0",".",".",".",".",".",".",".","."
"","344
026","16","3.000","25.0","6.3","25.0","18.8","6.3","6.3",".","12.5",".",".",".",".",".",".",".","."
"","344
027","16","3.385","31.3","18.8","18.8","6.3","6.3",".",".","18.8",".",".",".",".",".",".",".","."
"","344
028","18","3.423","22.2","22.2","22.2","5.6",".",".",".","27.8",".",".",".",".",".",".",".","."
"","344
029","13","3.231","30.8","15.4","30.8","15.4","7.7",".",".",".",".",".",".",".",".",".",".","."
"","344
031","15","3.423","26.7","26.7","26.7","6.7",".",".",".","13.3",".",".",".",".",".",".",".","."
"","344
032","10","3.250","20.0","20.0","50.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","344
033","14","3.000","14.3","7.1","50.0","7.1","14.3",".",".","7.1",".",".",".",".",".",".",".","."
"Intro Organic Chemistry Lab","Course Total","473","3.324","27.9","15.0","30.7","7.4","2.1","0.8","0.2","15.2","0.6",".",".",".",".",".",".","."
"","345
001","159","3.095","12.6","10.1","30.2","6.3","5.7","1.3",".","26.4","7.5",".",".",".",".",".",".","."
"","345
002","202","3.133","20.8","6.9","24.8","5.0","6.9","1.5","1.0","28.7","4.5",".",".",".",".",".",".","."
"","345
003","162","3.207","23.5","9.3","19.1","8.0","7.4","1.2",".","24.7","6.8",".",".",".",".",".",".","."
"","345
004","32","3.500","28.1","31.3","28.1",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"","345
005","206","3.360","32.5","14.6","18.4","5.8","4.9","1.9",".","19.4","2.4",".",".",".",".",".",".","."
"","345
006","203","3.287","22.7","22.2","20.7","6.9","7.4",".",".","18.7","1.0",".",".",".","0.5",".",".","."
"Intmed Organic Chemistry","Course Total","964","3.241","23.0","13.5","22.6","6.1","6.2","1.1","0.2","23.0","4.0",".",".",".","0.1",".",".","."
"Intermed Topics in Chemistry","375
001","7","3.643","57.1","28.6",".","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"Polymeric Materials","421
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Industrial Chem and Business","505
001","12","2.214","8.3","8.3","16.7",".",".","16.7","8.3","25.0","16.7",".",".",".",".",".",".","."
"Advanced Inorganic Chemistry","511
001","11","3.550","54.5",".","27.3","9.1",".",".",".","9.1",".",".",".",".",".",".",".","."
"Chemical Instrumentation","524
001","47","3.456","36.2","27.7","19.1","12.8",".",".",".","4.3",".",".",".",".",".",".",".","."
"Physical Chemistry","561
001","29","3.196","27.6","13.8","13.8","17.2","3.4","3.4",".","20.7",".",".",".",".",".",".",".","."
"Physical Chemistry","562
001","119","3.377","21.8","21.0","15.1","2.5","1.7","2.5",".","31.1","4.2",".",".",".",".",".",".","."
"","563
001","9","3.625","44.4","22.2","22.2",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"","563
003","4","***","","","","","","","","","",".",".",".",".",".",".","."
