"MOLECULAR & ENVIRONMENTA Section","","#","","Ave","A","AB","B","BC","C","D","F","S/SD U/UD","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","",""
"362
M&ENVTOX","","","","","","","","","","","","","","","","","","",""
"626
Toxicology II","001","","12","3.458","25.0","41.7","33.3",".",".",".",".",".   
.",".",".",".",".",".",".","."
"800
Seminar","001","","29","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"990","002","","1","***","","","","","","","","",".",".",".",".",".",".","."
"990","012","","5","***","","","","","","","","",".",".",".",".",".",".","."
"990","013","","2","***","","","","","","","","",".",".",".",".",".",".","."
"990","041","","1","***","","","","","","","","",".",".",".",".",".",".","."
"990","042","","2","***","","","","","","","","",".",".",".",".",".",".","."
"990","047","","1","***","","","","","","","","",".",".",".",".",".",".","."
"990","051","","2","***","","","","","","","","",".",".",".",".",".",".","."
"990","057","","1","***","","","","","","","","",".",".",".",".",".",".","."
"990","061","","1","***","","","","","","","","",".",".",".",".",".",".","."
"990","063","","1","***","","","","","","","","",".",".",".",".",".",".","."
"990","069","","1","***","","","","","","","","",".",".",".",".",".",".","."
"990","083","","3","***","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","21","",".",".",".",".",".",".",".","95.2
.",".",".","4.8",".",".",".","."
