"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","",""
"HEC","","","","","","","","","","","","","","","","","","","",""
"HEC","College Total","4655","3.780","66.9","17.4","6.3","1.3","0.5","0.3","0.1","6.4","0.4",".","",".","0.1","0.2","0.0","0.0","."
"Summary by College/School","","#","Ave","A","AB","B","BC","C","D","F","S/SD","U/UD","CR","N","","P","I","NW","NR","Other"
"HEC","","Grades","GPA","","","","","","","","","","","","","","","","",""
"Freshmen","","228","3.743","66.7","16.2","9.6","1.3",".",".",".","4.8","1.3",".","",".",".",".",".",".","."
"Sophomore","","811","3.778","69.7","18.1","6.0","0.7","0.1","0.5",".","4.1","0.4",".","",".",".","0.4",".",".","."
"Junior","","1311","3.768","65.1","18.8","6.9","1.8","0.4","0.4","0.2","5.9","0.3",".","",".",".","0.2",".",".","."
"Senior","","2074","3.780","67.1","17.6","6.0","1.4","0.9","0.2","0.2","6.0","0.3",".","",".",".","0.1","0.0",".","."
"Undergraduates","","4424","3.775","67.0","18.0","6.5","1.4","0.5","0.3","0.1","5.6","0.4",".","",".",".","0.2","0.0",".","."
"Special","","17","3.732","41.2","17.6",".","5.9",".",".",".","23.5","5.9",".","",".",".",".","5.9",".","."
"Graduate","","209","3.935","67.0","4.3","2.4",".",".",".",".","22.0",".",".","",".","2.4","1.0",".","1.0","."
"Prof Yr 3","","1","***","","","","","","","","","",".","",".",".",".",".",".","."
"Prof Yr 4","","4","***","","","","","","","","","",".","",".",".",".",".",".","."
"Professionals","","5","4.000","100.0",".",".",".",".",".",".",".",".",".","",".",".",".",".",".","."
"","College Total","4655","3.780","66.9","17.4","6.3","1.3","0.5","0.3","0.1","6.4","0.4",".","",".","0.1","0.2","0.0","0.0","."
