"THEATRE AND DRAMA","Section","#","Ave","A","AB","B","BC","C","D","F","S/SD U/UD","","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"942
THEATRE","","","","","","","","","","","","","","","","","","",""
"Intro-Theatre & Dramatic Lit","120
001","192","3.829","70.8","14.1","4.7","1.6","1.0",".",".","6.8","0.5",".",".",".","0.5",".",".","."
"Fund of Theatrical Design","130
001","14","3.923","85.7",".","7.1",".",".",".",".",".",".",".",".",".","7.1",".",".","."
"Voice1 Effective Communication","140
001","16","4.000","87.5",".",".",".",".",".",".","6.3","6.3",".",".",".",".",".",".","."
"","150
001","17","3.912","88.2","5.9","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","150
002","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","150
003","17","4.000","94.1",".",".",".",".",".",".","5.9",".",".",".",".",".",".",".","."
"","150
004","18","4.000","88.9",".",".",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"","150
005","18","3.912","88.9",".",".","5.6",".",".",".","5.6",".",".",".",".",".",".",".","."
"","150
006","17","3.786","58.8","11.8","11.8",".",".",".",".","17.6",".",".",".",".",".",".",".","."
"","150
007","14","4.000","85.7",".",".",".",".",".",".","7.1","7.1",".",".",".",".",".",".","."
"Acting I: Intro to Acting","Course Total","115","3.943","86.1","2.6","2.6","0.9",".",".",".","7.0","0.9",".",".",".",".",".",".","."
"Technical Theatre Fundamentals","160
001","25","3.720","68.0","16.0","8.0","8.0",".",".",".",".",".",".",".",".",".",".",".","."
"Backstage Experience","162
001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","219
001","14","3.462","50.0","14.3","14.3",".","14.3",".",".","7.1",".",".",".",".",".",".",".","."
"","219
002","18","3.559","77.8","5.6",".",".",".","5.6","5.6","5.6",".",".",".",".",".",".",".","."
"Undergrad Topics-","Course Total","32","3.517","65.6","9.4","6.3",".","6.3","3.1","3.1","6.3",".",".",".",".",".",".",".","."
"Scenic Studio Practicum","220
001","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Light & Sound Studio Practicum","222
001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","250
001","17","3.900","76.5","5.9","5.9",".",".",".",".","11.8",".",".",".",".",".",".",".","."
"","250
002","12","3.818","66.7","16.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".","8.3"
"Fundamentals of Acting","Course Total","29","3.865","72.4","10.3","6.9",".",".",".",".","6.9",".",".",".",".",".",".",".","3.4"
"Producing Theatre","260
001","19","3.633","42.1","26.3","5.3",".","5.3",".",".","5.3","5.3",".",".",".","10.5",".",".","."
"Lit in Transl-Henrik Ibsen","335
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Fundamentals-Movemnt for Stage","342
001","18","3.735","77.8",".","5.6","5.6","5.6",".",".",".",".",".",".",".",".",".",".","5.6"
"Acting Realism","350
001","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Theatre-Cultrl&Soc Aware","357
001","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","360
001","25","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","360
003","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Performance in Practice","Course Total","33","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Backstage Laboratory II","361
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","362
001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","362
002","8","3.750","75.0","12.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Drama for Teaching & Learning","Course Total","14","3.857","85.7","7.1",".","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"Prin&Pract-Stage Costume Dsgn","363
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Stage Lighting I","366
001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fundamentals of Directing","368
001","9","3.583","11.1","55.6",".",".",".",".",".","22.2","11.1",".",".",".",".",".",".","."
"Set Design I","372
001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Stage Management","379
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Contemp Fem Theatre&Critcsm","415
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"History of Theatres&Staging","431
001","10","3.944","80.0","10.0",".",".",".",".",".",".",".",".",".",".","10.0",".",".","."
"August 24, 2020","","","","","","","","","","","","","","","","","","Page 110 of 447",""
