"ZOOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S/SD U/UD","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","",""
"970
ZOOLOGY","","","","","","","","","","","","","","","","","","",""
"682","118","","1","***","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","10","3.946","80.0","10.0",".",".",".",".",".","10.0
.",".",".",".",".",".",".","."
"692","005","","2","***","","","","","","","","",".",".",".",".",".",".","."
"692","105","","1","***","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","Course Total","","3","***","","","","","","","","","","","","","","",""
"698
Directed Study","059","","3","***","","","","","","","","",".",".",".",".",".",".","."
"699","005","","1","***","","","","","","","","",".",".",".",".",".",".","."
"699","006","","1","***","","","","","","","","",".",".",".",".",".",".","."
"699","007","","2","***","","","","","","","","",".",".",".",".",".",".","."
"699","009","","1","***","","","","","","","","",".",".",".",".",".",".","."
"699","010","","1","***","","","","","","","","",".",".",".",".",".",".","."
"699","020","","3","***","","","","","","","","",".",".",".",".",".",".","."
"699","022","","6","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"699","023","","3","***","","","","","","","","",".",".",".",".",".",".","."
"699","030","","3","***","","","","","","","","",".",".",".",".",".",".","."
"699","043","","3","***","","","","","","","","",".",".",".",".",".",".","."
"699","047","","6","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"699","055","","1","***","","","","","","","","",".",".",".",".",".",".","."
"699","063","","4","***","","","","","","","","",".",".",".",".",".",".","."
"699","066","","6","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"699","067","","3","***","","","","","","","","",".",".",".",".",".",".","."
"699","068","","1","***","","","","","","","","",".",".",".",".",".",".","."
"699","108","","7","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"699","111","","5","***","","","","","","","","",".",".",".",".",".",".","."
"699","113","","1","***","","","","","","","","",".",".",".",".",".",".","."
"699","114","","1","***","","","","","","","","",".",".",".",".",".",".","."
"699","115","","1","***","","","","","","","","",".",".",".",".",".",".","."
"Directed Studies in Zoology","Course Total","","60","4.000","98.3",".",".",".",".",".",".","1.7
.",".",".",".",".",".",".","."
"765
Developmental Neuroscience","001","","1","***","","","","","","","","",".",".",".",".",".",".","."
"879
Advanced Landscape Ecology","001","","17","3.941","88.2","11.8",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"911
Limnology & Marine Sci Seminar","001","","11","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"955
Seminar-Limnology","001","","7","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"956
Seminar-Ecology","001","","13","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"957
Seminar-Evolution","001","","2","***","","","","","","","","",".",".",".",".",".",".","."
"960
Seminar in Cellular Biology","001","","5","***","","","","","","","","",".",".",".",".",".",".","."
"990","006","","3","***","","","","","","","","",".",".",".",".",".",".","."
"990","007","","3","***","","","","","","","","",".",".",".",".",".",".","."
"990","008","","1","***","","","","","","","","",".",".",".",".",".",".","."
"990","010","","5","***","","","","","","","","",".",".",".",".",".",".","."
"990","014","","1","***","","","","","","","","",".",".",".",".",".",".","."
"990","016","","2","***","","","","","","","","",".",".",".",".",".",".","."
"990","022","","1","***","","","","","","","","",".",".",".",".",".",".","."
"August 24, 2020","","","","","","","","","","","","","","","","","","Page 348 of 447",""
