"ELECTRICAL AND COMPUTER E Section","","#","","Ave","A","AB","B","BC","C","D","F","S/SD U/UD","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","",""
"320
E C E","","","","","","","","","","","","","","","","","","",""
"340","004","","1","***","","","","","","","","",".",".",".",".",".",".","."
"Electronic Circuits I","Course Total","","94","3.360","21.3","11.7","11.7","3.2","4.3","1.1",".","44.7
2.1",".",".",".",".",".",".","."
"342
Electronic Circuits II","001","","66","3.858","65.2","25.8",".",".",".",".",".","7.6
1.5",".",".",".",".",".",".","."
"352
Digital System Fundamentals","001","","115","3.815","67.8","20.9","4.3",".",".","0.9",".","6.1
.",".",".",".",".",".",".","."
"353
Intro to Microprocessor Sys","001","","77","3.703","50.6","27.3","10.4",".","1.3",".",".","9.1
1.3",".",".",".",".",".",".","."
"354","001","","31","3.563","38.7","19.4","12.9","3.2","3.2",".",".","12.9
9.7",".",".",".",".",".",".","."
"354","002","","62","3.740","54.8","9.7","8.1","4.8",".",".",".","21.0
1.6",".",".",".",".",".",".","."
"Machine Organizatn&Progrmng","Course Total","","93","3.681","49.5","12.9","9.7","4.3","1.1",".",".","18.3
4.3",".",".",".",".",".",".","."
"355","002","","27","3.962","88.9","7.4",".",".",".",".",".","3.7
.",".",".",".",".",".",".","."
"355","003","","4","***","","","","","","","","",".",".",".",".",".",".","."
"Electromech Energy Conversn","Course Total","","31","3.897","80.6","6.5","6.5",".",".",".",".","3.2
.",".",".",".","3.2",".",".","."
"370","001","","14","3.857","71.4","28.6",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"370","002","","15","4.000","93.3",".",".",".",".",".",".","6.7
.",".",".",".",".",".",".","."
"370","003","","16","3.938","87.5","12.5",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"370","004","","17","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"Advanced Laboratory","Course Total","","62","3.951","88.7","9.7",".",".",".",".",".","1.6
.",".",".",".",".",".",".","."
"376
Electricl&Electronc Circuit","001","","95","3.569","33.7","20.0","10.5","1.1","2.1","1.1",".","29.5
2.1",".",".",".",".",".",".","."
"377
Elec&Elec-mech Power Conver","001","","91","3.889","80.2","15.4","3.3",".",".",".",".","1.1
.",".",".",".",".",".",".","."
"379
Topics-Elect&Computer Engr","001","","79","3.796","64.6","24.1","7.6",".",".",".",".","2.5
1.3",".",".",".",".",".",".","."
"399","001","","1","***","","","","","","","","",".",".",".",".",".",".","."
"399","004","","2","***","","","","","","","","",".",".",".",".",".",".","."
"399","009","","2","***","","","","","","","","",".",".",".",".",".",".","."
"399","012","","1","***","","","","","","","","",".",".",".",".",".",".","."
"399","016","","1","***","","","","","","","","",".",".",".",".",".",".","."
"399","018","","1","***","","","","","","","","",".",".",".",".",".",".","."
"399","025","","2","***","","","","","","","","",".",".",".",".",".",".","."
"399","029","","1","***","","","","","","","","",".",".",".",".",".",".","."
"399","030","","2","***","","","","","","","","",".",".",".",".",".",".","."
"399","041","","1","***","","","","","","","","",".",".",".",".",".",".","."
"399","045","","1","***","","","","","","","","",".",".",".",".",".",".","."
"399","047","","2","***","","","","","","","","",".",".",".",".",".",".","."
"399","051","","3","***","","","","","","","","",".",".",".",".",".",".","."
"399","052","","2","***","","","","","","","","",".",".",".",".",".",".","."
"399","054","","2","***","","","","","","","","",".",".",".",".",".",".","."
"399","058","","1","***","","","","","","","","",".",".",".",".",".",".","."
"399","066","","12","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"399","071","","1","***","","","","","","","","",".",".",".",".",".",".","."
"399","095","","3","***","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","41","3.990","97.6","2.4",".",".",".",".",".",".  
.",".",".",".",".",".",".","."
"401
Electroacoustical Engr","001","","69","3.746","71.0","11.6","11.6",".","1.4","1.4",".","2.9
.",".",".",".",".",".",".","."
"412","001","","38","3.714","52.6","26.3","13.2",".",".",".",".","7.9
.",".",".",".",".",".",".","."
"412","003","","16","3.750","81.3",".","12.5",".","6.3",".",".",".   
.",".",".",".",".",".",".","."
"August 24, 2020","","","","","","","","","","","","","","","","","","Page 125 of 447",""
