"FRENCH (FRENCH AND ITALIAN) Section","","#","","Ave","A","AB","B","BC","C","D","F","S/SD U/UD","","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"400
FRENCH","","","","","","","","","","","","","","","","","","","",""
"","101
001","","12","3.625","41.7","41.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","101
002","","15","3.750","60.0","20.0","13.3",".",".",".",".",".","6.7",".",".",".",".",".",".","."
"","101
003","","22","3.500","45.5","27.3",".","4.5","4.5","4.5",".","4.5","4.5","4.5",".",".",".",".",".","."
"","101
004","","19","3.438","36.8","21.1","21.1",".",".","5.3",".","10.5","5.3",".",".",".",".",".",".","."
"","101
005","","17","3.467","23.5","41.2","17.6","5.9",".",".",".","5.9",".",".",".",".",".",".","5.9","."
"First Semester French","Course Total","","85","3.546","41.2","29.4","12.9","2.4","1.2","2.4",".","4.7","3.5","1.2",".",".",".",".","1.2","."
"","102
001","","18","3.844","77.8","5.6",".",".","5.6",".",".","11.1",".",".",".",".",".",".",".","."
"","102
002","","15","3.500","40.0","26.7","20.0",".","6.7",".",".","6.7",".",".",".",".",".",".",".","."
"","102
003","","16","3.567","43.8","25.0","18.8","6.3",".",".",".",".","6.3",".",".",".",".",".",".","."
"","102
004","","15","3.667","46.7","20.0","6.7","6.7",".",".",".","20.0",".",".",".",".",".",".",".","."
"","102
005","","19","3.563","52.6","10.5","15.8",".",".","5.3",".","15.8",".",".",".",".",".",".",".","."
"Second Semester French","Course Total","","83","3.630","53.0","16.9","12.0","2.4","2.4","1.2",".","10.8","1.2",".",".",".",".",".",".","."
"","203
001","","12","3.227","25.0","33.3","16.7","8.3",".","8.3",".","8.3",".",".",".",".",".",".",".","."
"","203
002","","14","3.750","57.1","21.4",".","7.1",".",".",".","14.3",".",".",".",".",".",".",".","."
"","203
003","","16","3.333","43.8","12.5","18.8","12.5",".","6.3",".",".","6.3",".",".",".",".",".",".","."
"Third Semester French","Course Total","","42","3.434","42.9","21.4","11.9","9.5",".","4.8",".","7.1","2.4",".",".",".",".",".",".","."
"","204
001","","11","3.875","54.5","18.2",".",".",".",".",".","27.3",".",".",".",".",".",".",".","."
"","204
002","","17","3.594","64.7","17.6","5.9",".",".",".","5.9","5.9",".",".",".",".",".",".",".","."
"","204
003","","14","3.583","28.6","42.9","14.3",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"Fourth Semester French","Course Total","","42","3.653","50.0","26.2","7.1",".",".",".","2.4","14.3",".",".",".",".",".",".",".","."
"","211
001","","44","3.821","61.4","25.0","4.5",".",".",".",".","6.8",".",".",".",".","2.3",".",".","."
"","211
002","","32","3.985","90.6","3.1",".",".",".",".",".","3.1","3.1",".",".",".",".",".",".","."
"French Lit & Interdis Studies","Course Total","","76","3.890","73.7","15.8","2.6",".",".",".",".","5.3","1.3",".",".",".","1.3",".",".","."
"","228
001","","8","3.571","25.0","50.0","12.5",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"","228
002","","9","3.556","55.6","11.1","22.2","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"","228
003","","10","3.850","90.0",".",".","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","228
011","","11","3.500","36.4","9.1","18.2","9.1",".",".",".","27.3",".",".",".",".",".",".",".","."
"","228
012","","17","3.853","70.6","29.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","228
013","","15","3.962","80.0","6.7",".",".",".",".",".","13.3",".",".",".",".",".",".",".","."
"Intermed Language & Culture","Course Total","","70","3.748","62.9","17.1","7.1","4.3",".",".",".","8.6",".",".",".",".",".",".",".","."
"","271
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","271
002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","271
003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","271
011","","9","3.833","77.8","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","271
012","","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","271
013","","25","3.729","64.0","16.0","12.0","4.0",".",".",".","4.0",".",".",".",".",".",".",".","."
"Intro to Literary Analysis","Course Total","","54","3.803","74.1","13.0","7.4","3.7",".",".",".","1.9",".",".",".",".",".",".",".","."
"Practical French Converstn","302
001","","15","4.000","80.0",".",".",".",".",".",".","20.0",".",".",".",".",".",".",".","."
"Adv Composition & Conversation","311
001","","22","3.864","72.7","27.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Comtemp Iss-Gov,Org&Enterprise","314
001","","28","3.685","42.9","46.4","7.1",".",".",".",".","3.6",".",".",".",".",".",".",".","."
"","316
00A","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","316
00B","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"August 24, 2020","","","","","","","","","","","","","","","","","","","Page 235 of 447",""
