"CHEMICAL & BIOLOGICAL ENGR Section","","","#","","Ave","A","AB","B","BC","C","D","F","S/SD U/UD","","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"220
CBE","","","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1","001","","14","3.964","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Chemical Engineering","150","001","","60","3.909","78.3","10.0","3.3",".",".",".",".","6.7","1.7",".",".",".",".",".",".","."
"Process Synthesis","250","001","","53","3.500","28.3","30.2","20.8","3.8",".",".",".","17.0",".",".",".",".",".",".",".","."
"Intro to Chem Process Modeling","255","001","","65","3.481","27.7","29.2","15.4","7.7",".",".",".","18.5","1.5",".",".",".",".",".",".","."
"Chem Process Thermodynamics","310","001","","63","3.512","25.4","22.2","14.3",".","3.2",".",".","31.7","3.2",".",".",".",".",".",".","."
"Thermodynamics of Mixtures","311","001","","62","3.357","16.1","9.7","29.0","1.6",".",".",".","41.9","1.6",".",".",".",".",".",".","."
"Intro Transport Phenomena","320","001","","48","3.571","33.3","25.0","8.3","4.2","2.1",".",".","25.0","2.1",".",".",".",".",".",".","."
"","324","001","","14","3.577","28.6","50.0","14.3",".",".",".",".","7.1",".",".",".",".",".",".",".","."
"","324","002","","14","3.500","28.6","35.7","28.6",".",".",".",".","7.1",".",".",".",".",".",".",".","."
"","324","003","","16","3.577","31.3","31.3","18.8",".",".",".",".","18.8",".",".",".",".",".",".",".","."
"","324","004","","14","3.545","28.6","28.6","21.4",".",".",".",".","21.4",".",".",".",".",".",".",".","."
"Transport Phenomena Lab","","Course Total","","58","3.550","29.3","36.2","20.7",".",".",".",".","13.8",".",".",".",".",".",".",".","."
"Momentum&Heat Transfer Oper","326","001","","66","3.487","22.7","12.1","21.2","1.5",".",".",".","42.4",".",".",".",".",".",".",".","."
"Mass Transfer Operations","426","001","","45","3.259","33.3","2.2","17.8",".","4.4","6.7",".","35.6",".",".",".",".",".",".",".","."
"Chem Kinetcs & Reactor Dsgn","430","001","","37","3.320","24.3","16.2","13.5","10.8",".","2.7",".","32.4",".",".",".",".",".",".",".","."
"Chemical Engineering Matl","440","001","","50","3.588","26.0","30.0","10.0","2.0",".",".",".","30.0","2.0",".",".",".",".",".",".","."
"Process Design","450","001","","72","3.591","29.2","20.8","4.2","6.9",".",".",".","38.9",".",".",".",".",".",".",".","."
"Process Dynamics & Control","470","001","","62","3.947","85.5","4.8",".","1.6",".",".",".","8.1",".",".",".",".",".",".",".","."
"Industrial Chem and Business","505","001","","42","3.519","31.0","14.3","11.9","2.4",".","2.4",".","33.3","4.8",".",".",".",".",".",".","."
"Stem Cell Bioengineering","520","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar-Chem Engr Connections","555","001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","562","002","","7","3.900","57.1","14.3",".",".",".",".",".","14.3",".",".",".",".","14.3",".",".","."
"","562","003","","8","4.000","87.5",".",".",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"","562","008","","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Spec Topics in ChE","","Course Total","","33","3.972","87.9","3.0",".",".",".",".",".","3.0",".",".",".",".","6.1",".",".","."
"Instrmntl Anal-Chem Engr","575","001","","18","3.813","66.7","11.1","11.1",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"","599","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","012","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","020","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","021","","8","4.000","87.5",".",".",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"","599","024","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","027","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","029","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","","Course Total","","29","4.000","96.6",".",".",".",".",".",".",".",".",".",".",".","3.4",".",".","."
"Intmed Transport Phenomena","620","001","","27","3.604","33.3","40.7","14.8",".",".",".",".","7.4","3.7",".",".",".",".",".",".","."
