"NURSING","Section","#","","Ave","A","AB","B","BC","C","D","F","S/SD U/UD","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","",""
"692
NURSING","","","","","","","","","","","","","","","","","","",""
"703
Hlth Care & Public Policy","001","","31","3.984","96.8","3.2",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"727","010","","9","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"727","020","","7","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"727","040","","4","***","","","","","","","","",".",".",".",".",".",".","."
"727","060","","6","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"Foundations APN Clin Pract II","Course Total","","26","4.000","100.0",".",".",".",".",".",".",".  
.",".",".",".",".",".",".","."
"729","010","","7","3.929","85.7","14.3",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"729","020","","4","***","","","","","","","","",".",".",".",".",".",".","."
"729","021","","3","***","","","","","","","","",".",".",".",".",".",".","."
"729","040","","4","***","","","","","","","","",".",".",".",".",".",".","."
"729","060","","3","***","","","","","","","","",".",".",".",".",".",".","."
"729","061","","3","***","","","","","","","","",".",".",".",".",".",".","."
"729","070","","2","***","","","","","","","","",".",".",".",".",".",".","."
"APN Clin Appl & Role Dev II","Course Total","","26","3.967","92.3","7.7",".",".",".",".",".",".  
.",".",".",".",".",".",".","."
"746","001","","4","***","","","","","","","","",".",".",".",".",".",".","."
"746","002","","1","***","","","","","","","","",".",".",".",".",".",".","."
"Intrdis Care-Chld/Spec Hlth Nd","Course Total","","5","***","","","","","","","","","","","","","","",""
"761
Health Prgm Planning, Eval, QI","001","","20","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"785
Found of Curr Dev&Eval-Nurs Ed","001","","15","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"786
Found of Teach&Learn in Nursng","001","","5","***","","","","","","","","",".",".",".",".",".",".","."
"799","018","","1","***","","","","","","","","",".",".",".",".",".",".","."
"799","062","","1","***","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","2","***","","","","","","","","","","","","","","",""
"803
Adv Quant Design & Methods","001","","8","3.938","87.5","12.5",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"806
Eval & App Evidence-Based Prac","001","","33","3.939","87.9","12.1",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"829","010","","6","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"829","020","","6","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"829","021","","6","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"829","040","","3","***","","","","","","","","",".",".",".",".",".",".","."
"829","060","","3","***","","","","","","","","",".",".",".",".",".",".","."
"Clinical Leadership IV","Course Total","","24","4.000","100.0",".",".",".",".",".",".",".  
.",".",".",".",".",".",".","."
"906","001","","2","***","","","","","","","","",".",".",".",".",".",".","."
"906","002","","5","***","","","","","","","","",".",".",".",".",".",".","."
"906","003","","4","***","","","","","","","","",".",".",".",".",".",".","."
"906","004","","4","***","","","","","","","","",".",".",".",".",".",".","."
"906","005","","4","***","","","","","","","","",".",".",".",".",".",".","."
"906","006","","5","***","","","","","","","","",".",".",".",".",".",".","."
"Scholarly Project","Course Total","","24","",".",".",".",".",".",".",".","95.8
.",".",".",".","4.2",".",".","."
"990","038","","1","***","","","","","","","","",".",".",".",".",".",".","."
"990","075","","2","***","","","","","","","","",".",".",".",".",".",".","."
"990","095","","2","***","","","","","","","","",".",".",".",".",".",".","."
"Thesis Research","Course Total","","5","***","","","","","","","","","","","","","","",""
