"COMPUTER SCIENCES","Section","","#","Ave","A","AB","B","BC","C","D","F","S/SD U/UD","","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"266
COMP SCI","","","","","","","","","","","","","","","","","","","",""
"","368","001","65","",".",".",".",".",".",".",".",".",".","98.5","1.5",".",".",".",".","."
"","368","002","61","",".",".",".",".",".",".",".",".",".","90.2","9.8",".",".",".",".","."
"","368","003","55","",".",".",".",".",".",".",".",".",".","90.9","9.1",".",".",".",".","."
"Learn a Programming Language","","Course Total","181","",".",".",".",".",".",".",".",".",".","93.4","6.6",".",".",".",".","."
"","400","001","350","3.658","57.7","2.3","22.9",".","2.0",".","0.3","13.7","0.6",".",".",".","0.3",".",".","0.3"
"","400","002","233","3.592","50.2","3.0","24.9","1.3","2.6",".",".","15.9","2.1",".",".",".",".",".",".","."
"Programming III","","Course Total","583","3.632","54.7","2.6","23.7","0.5","2.2",".","0.2","14.6","1.2",".",".",".","0.2",".",".","0.2"
"Introducing Comp Sci to K-12","402","001","44","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Found of Mobl Systms&Applctns","407","001","134","3.640","47.8","23.1","12.7","3.0","1.5",".",".","10.4","1.5",".",".",".",".",".",".","."
"Introduction to Cryptography","435","001","144","3.291","19.4","22.2","19.4","5.6","3.5","0.7","0.7","24.3","4.2",".",".",".",".",".",".","."
"Intro-Computational Statistics","471","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","475","003","26","3.206","30.8","11.5","3.8","7.7","7.7",".","3.8","30.8","3.8",".",".",".",".",".",".","."
"","475","004","20","2.875","5.0","5.0","20.0","5.0",".","5.0",".","55.0","5.0",".",".",".",".",".",".","."
"","475","005","12","2.625","16.7","16.7","8.3",".",".","25.0",".","25.0","8.3",".",".",".",".",".",".","."
"Intro-Combinatorics","","Course Total","58","2.985","19.0","10.3","10.3","5.2","3.4","6.9","1.7","37.9","5.2",".",".",".",".",".",".","."
"CS Education","502","001","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Software Engineering","506","001","90","3.595","43.3","18.9","15.6","1.1","3.3",".",".","15.6","2.2",".",".",".",".",".",".","."
"Numerical Linear Algebra","513","001","20","3.143","25.0","30.0",".",".","5.0","5.0","5.0","15.0","10.0",".",".",".","5.0",".",".","."
"Introduction to Optimization","524","001","41","3.819","63.4","17.1","7.3",".",".",".",".","9.8","2.4",".",".",".",".",".",".","."
"Linear Optimization","525","001","32","3.425","28.1","12.5","15.6","3.1",".","3.1",".","34.4","3.1",".",".",".",".",".",".","."
"Advanced Linear Programming","526","001","8","3.750","37.5","37.5",".",".",".",".",".","25.0",".",".",".",".",".",".",".","."
"","532","001","22","3.611","45.5","18.2","13.6",".","4.5",".",".","9.1",".",".",".",".",".","9.1",".","."
"","532","002","23","3.690","56.5","13.0","21.7",".",".",".",".","8.7",".",".",".",".",".",".",".","."
"Mtrx Mthds in Machine Learning","","Course Total","45","3.654","51.1","15.6","17.8",".","2.2",".",".","8.9",".",".",".",".",".","4.4",".","."
"Intro-Progm Langs&Compilers","536","001","95","3.295","23.2","20.0","22.1","6.3","4.2",".","1.1","16.8","6.3",".",".",".",".",".",".","."
"Intro to Operating Systems","537","001","291","3.536","38.8","25.1","17.9","2.1","1.0","1.0","0.3","12.4","1.4",".",".",".",".",".",".","."
"Thry & Desgn-Progrmg Langs","538","001","60","3.674","51.7","3.3","13.3",".","1.7","1.7",".","21.7","6.7",".",".",".",".",".",".","."
"Intro-Artificl Intelligence","540","001","341","3.481","33.4","19.6","15.2","4.7","2.1","0.3","0.6","20.5","2.9",".",".",".","0.3",".","0.3","."
"Intro-Computer Architecture","552","001","27","3.660","63.0","18.5","7.4",".",".",".","3.7","7.4",".",".",".",".",".",".",".","."
"Computer Graphics","559","001","186","3.252","25.3","19.9","13.4","6.5","4.8","2.7","1.1","18.8","7.5",".",".",".",".",".",".","."
"Database Mgt Systems","564","001","185","3.288","24.9","13.0","13.5","8.6","7.6",".",".","31.4","1.1",".",".",".",".",".",".","."
"Medical Image Analysis","567","001","7","3.333","28.6",".",".",".","14.3",".",".","57.1",".",".",".",".",".",".",".","."
"Intro to Humn-Comp Interaction","570","001","139","3.619","40.3","33.8","14.4","2.2",".",".",".","6.5","2.9",".",".",".",".",".",".","."
"","577","001","216","3.651","52.8","11.6","20.4","2.3","0.5",".",".","11.6","0.9",".",".",".",".",".",".","."
"","577","002","171","3.379","32.2","8.8","33.3","1.2","2.3","1.8",".","18.7","1.8",".",".",".",".",".",".","."
"","577","003","39","3.500","38.5","20.5","12.8","12.8",".",".",".","5.1","10.3",".",".",".",".",".",".","."
"Introduction to Algorithms","","Course Total","426","3.534","43.2","11.3","24.9","2.8","1.2","0.7",".","13.8","2.1",".",".",".",".",".",".","."
"Virtual Reality","579","001","30","3.741","70.0","16.7","6.7",".",".","3.3",".","3.3",".",".",".",".",".",".",".","."
"User Experience Design 2","612","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","638","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"August 24, 2020","","","","","","","","","","","","","","","","","","","Page 214 of 447",""
