"CHEMISTRY","Section","#","","Ave","A","AB","B","BC","C","D","F","S/SD U/UD","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","",""
"224
CHEM","","","","","","","","","","","","","","","","","","",""
"964","011","","6","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"964","013","","4","***","","","","","","","","",".",".",".",".",".",".","."
"964","015","","8","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"964","016","","1","***","","","","","","","","",".",".",".",".",".",".","."
"964","017","","9","",".",".",".",".",".",".",".","100.0
.",".",".",".",".",".",".","."
"964","020","","8","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"964","021","","1","***","","","","","","","","",".",".",".",".",".",".","."
"964","022","","1","***","","","","","","","","",".",".",".",".",".",".","."
"964","023","","6","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"964","024","","3","***","","","","","","","","",".",".",".",".",".",".","."
"964","029","","13","4.000","92.3",".",".",".",".",".",".","7.7
.",".",".",".",".",".",".","."
"964","030","","4","***","","","","","","","","",".",".",".",".",".",".","."
"964","032","","7","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"964","033","","9","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"964","034","","1","***","","","","","","","","",".",".",".",".",".",".","."
"964","035","","3","***","","","","","","","","",".",".",".",".",".",".","."
"964","036","","8","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"964","037","","4","***","","","","","","","","",".",".",".",".",".",".","."
"964","038","","1","***","","","","","","","","",".",".",".",".",".",".","."
"964","039","","10","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"964","041","","5","***","","","","","","","","",".",".",".",".",".",".","."
"964","045","","3","***","","","","","","","","",".",".",".",".",".",".","."
"964","046","","1","***","","","","","","","","",".",".",".",".",".",".","."
"964","048","","10","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"964","049","","8","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"964","051","","8","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"964","055","","2","***","","","","","","","","",".",".",".",".",".",".","."
"964","056","","5","***","","","","","","","","",".",".",".",".",".",".","."
"964","057","","1","***","","","","","","","","",".",".",".",".",".",".","."
"964","058","","19","3.947","94.7",".","5.3",".",".",".",".",".   
.",".",".",".",".",".",".","."
"964","059","","6","",".",".",".",".",".",".",".","100.0
.",".",".",".",".",".",".","."
"964","060","","1","***","","","","","","","","",".",".",".",".",".",".","."
"964","067","","14","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"964","076","","11","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"964","081","","7","",".",".",".",".",".",".",".","100.0
.",".",".",".",".",".",".","."
"964","082","","1","***","","","","","","","","",".",".",".",".",".",".","."
"964","083","","8","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"964","087","","13","",".",".",".",".",".",".",".","100.0
.",".",".",".",".",".",".","."
"964","088","","2","***","","","","","","","","",".",".",".",".",".",".","."
"Seminar: Molecular Dynamics","Course Total","","280","3.996","81.8",".","0.4",".",".",".",".","16.8
.",".",".",".",".",".","1.1","."
"990","001","","1","***","","","","","","","","",".",".",".",".",".",".","."
"990","002","","3","***","","","","","","","","",".",".",".",".",".",".","."
"990","005","","8","",".",".",".",".",".",".",".","100.0
.",".",".",".",".",".",".","."
