"POLITICAL SCIENCE","Section","","#","Ave","A","AB","B","BC","C","D","F","S/SD U/UD","","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"778
POLI SCI","","","","","","","","","","","","","","","","","","","",""
"Intro-Amer Politcs&Governmt","104","001","232","3.547","35.8","31.9","15.1","2.2","1.3","0.9",".","9.9","2.2",".",".",".","0.4",".",".","0.4"
"Politics Around the World","120","001","143","3.667","52.4","24.5","10.5","3.5","1.4",".",".","6.3","0.7",".",".",".",".","0.7",".","."
"Intro-Internatl Relations","140","001","187","3.500","33.7","32.6","11.2","5.3","0.5","0.5","1.1","13.9",".",".",".",".",".",".","1.1","."
"Intro to Political Theory","160","001","151","3.651","41.7","35.1","11.9","1.3",".",".",".","9.3","0.7",".",".",".",".",".",".","."
"Directed Study","199","004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Spec Topics in Poli Sci","201","001","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Politcs:Multi-Cultural Soc","231","001","62","3.274","30.6","21.0","21.0","3.2","4.8","3.2","1.6","9.7","1.6",".",".",".",".","3.2",".","."
"Eastern Europe:Interdis Survey","254","001","26","3.583","69.2","15.4",".",".",".",".","7.7",".","3.8",".",".",".","3.8",".",".","."
"Intro East Asian Civilizations","255","001","9","3.500","22.2","44.4","22.2",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"Latin America-Introduction","260","001","25","3.700","48.0","16.0","16.0",".",".",".",".","16.0","4.0",".",".",".",".",".",".","."
"Understndng Politcl Numbers","270","001","81","3.333","23.5","13.6","16.0","1.2","1.2","2.5","1.2","22.2","13.6",".",".",".","1.2",".","3.7","."
"Intro to Public Policy","272","001","47","3.567","46.8","36.2","6.4",".","4.3",".","2.1","2.1","2.1",".",".",".",".",".",".","."
"Africa: Introductory Survey","277","001","42","3.671","42.9","35.7","11.9",".",".",".",".","4.8","4.8",".",".",".",".",".",".","."
"Elections & Voting Behavior","305","001","105","3.522","31.4","35.2","14.3","3.8","1.9",".",".","12.4","1.0",".",".",".",".",".",".","."
"Legislative Internship","315","001","68","3.985","95.6","2.9",".",".",".",".",".",".",".",".",".",".","1.5",".",".","."
"Islam and World Politics","323","001","84","3.673","45.2","32.1","9.5","2.4",".",".",".","3.6","1.2",".",".",".","2.4",".","3.6","."
"African Politics","329","001","35","3.625","62.9","17.1","2.9",".","5.7",".","2.9","2.9","2.9",".",".",".","2.9",".",".","."
"German Politics","332","001","25","3.444","20.0","32.0","16.0",".","4.0",".",".","24.0",".",".",".",".",".",".","4.0","."
"Social Identities","335","001","28","3.563","32.1","39.3","7.1","7.1",".",".",".","14.3",".",".",".",".",".",".",".","."
"Theories-Internationl Security","343","001","44","3.720","54.5","27.3","9.1","2.3",".",".",".","6.8",".",".",".",".",".",".",".","."
"Analysis of Intl Relations","348","001","98","3.741","53.1","24.5","7.1","2.0",".",".",".","12.2","1.0",".",".",".",".",".",".","."
"Internat'l Political Economy","350","001","50","3.716","58.0","14.0","12.0","4.0",".",".",".","8.0","2.0",".",".",".",".",".","2.0","."
"Labor in Americas: US & Mexico","355","001","16","3.692","50.0","12.5","18.8",".",".",".",".","6.3","12.5",".",".",".",".",".",".","."
"American Foreign Policy","359","001","55","3.822","61.8","12.7","5.5","1.8",".",".",".","16.4","1.8",".",".",".",".",".",".","."
"Contemp Amer Polit Thought","361","001","76","3.556","40.8","43.4","5.3","1.3","1.3",".","2.6","2.6","1.3",".",".",".","1.3",".",".","."
"Intro to Survey Research","373","001","50","3.938","86.0","8.0","2.0",".",".",".",".",".",".",".",".",".","2.0","2.0",".","."
"Study Abroad-Pol Sci:Intnl Rel","390","00A","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","400","002","51","3.755","76.5","2.0","9.8",".","2.0",".","2.0","5.9",".",".",".",".","2.0",".",".","."
"","400","003","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400","00A","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in Political Science","","Course Total","66","3.772","80.3","1.5","7.6",".","1.5",".","1.5","6.1",".",".",".",".","1.5",".",".","."
"","401","001","24","3.786","70.8","4.2","4.2","8.3",".",".",".",".","4.2",".",".",".","8.3",".",".","."
"","401","002","25","3.740","48.0","52.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Selected Topics-Poli Sci","","Course Total","49","3.761","59.2","28.6","2.0","4.1",".",".",".",".","2.0",".",".",".","4.1",".",".","."
"The American Presidency","408","001","62","3.734","45.2","21.0","9.7",".",".",".",".","24.2",".",".",".",".",".",".",".","."
"The American Constitution I","411","001","109","3.517","26.6","37.6","11.9",".","1.8",".","0.9","18.3","2.8",".",".",".",".",".",".","."
"Cmmnty Power&Grass Roots Pol","416","001","15","3.643","46.7","26.7","20.0",".",".",".",".","6.7",".",".",".",".",".",".",".","."
"American Judicial System","417","001","51","3.611","35.3","41.2","9.8",".","2.0",".",".","7.8","3.9",".",".",".",".",".",".","."
"Comparative Study of Genocide","439","001","61","3.615","36.1","37.7","8.2","1.6","1.6",".",".","14.8",".",".",".",".",".",".",".","."
"August 24, 2020","","","","","","","","","","","","","","","","","","","Page 308 of 447",""
