"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"ALS","","","","","","","","","","","","","","","","","","",""
"SOIL SCIENCE","Section","#","Ave","A","AB","B","BC","C","D","F","S/SD U/UD","","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"908
SOIL SCI","","","","","","","","","","","","","","","","","","",""
"101
Forum on the Environment","001","51","3.889","76.5","7.8",".","3.9",".",".",".","3.9","7.8",".",".",".",".",".",".","."
"132
Earth Water:Nat Sci&Hum Use","001","20","3.536","40.0","10.0","5.0","15.0",".",".",".","20.0","5.0",".",".",".",".",".",".","5.0"
"230
Soil: Ecosystem & Resource","001","53","3.461","39.6","15.1","7.5","1.9","1.9","5.7",".","18.9","9.4",".",".",".",".",".",".","."
"299","010","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","048","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","099","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","4","***","","","","","","","","","","","","","","","",""
"322
Phys Princ-Soil & Water Mgt","001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"326
Plant Nutrition Management","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"375
Special Topics","002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"472
Animal Ag & Sustainable Devel","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"523
Soil Microbiology & Biochem","001","23","3.238","39.1","17.4","21.7",".",".","13.0",".","4.3","4.3",".",".",".",".",".",".","."
"526
Transforming Earth Systems","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"575
Assessment-Environ Impact","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"621
Soil Chemistry","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"695
Applictn of GIS:Natrl Rsrcs","001","6","3.300","16.7","16.7","50.0",".",".",".",".",".","16.7",".",".",".",".",".",".","."
"699","052","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","055","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","2","***","","","","","","","","","","","","","","","",""
"728
Graduate Seminar","001","18","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"799
Pract-Soil Science Teaching","015","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","015","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","047","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","048","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","055","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","17","",".",".",".",".",".",".",".","58.8",".",".",".","41.2",".",".",".","."
