"CONSUMER SCIENCE","Section","#","Ave","A","AB","B","BC","C","D","F","S/SD U/UD","","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"271
CNSR SCI","","","","","","","","","","","","","","","","","","",""
"","111
001","43","3.890","79.1","11.6","4.7",".",".",".",".","4.7",".",".",".",".",".",".",".","."
"","111
002","44","3.965","90.9","6.8",".",".",".",".",".","2.3",".",".",".",".",".",".",".","."
"","111
003","43","3.963","86.0","7.0",".",".",".",".",".","7.0",".",".",".",".",".",".",".","."
"","111
004","43","3.964","93.0","2.3","2.3",".",".",".",".","2.3",".",".",".",".",".",".",".","."
"Finc'l Life Skills Undergrads","Course Total","173","3.946","87.3","6.9","1.7",".",".",".",".","4.0",".",".",".",".",".",".",".","."
"Consuming Happiness","173
001","120","3.668","42.5","35.0","10.8","0.8",".",".",".","10.0","0.8",".",".",".",".",".",".","."
"","201
001","77","3.700","55.8","20.8","10.4","2.6","1.3",".",".","9.1",".",".",".",".",".",".",".","."
"","201
002","70","3.750","52.9","32.9","4.3","1.4",".",".",".","8.6",".",".",".",".",".",".",".","."
"Consumer Research & Analysis","Course Total","147","3.724","54.4","26.5","7.5","2.0","0.7",".",".","8.8",".",".",".",".",".",".",".","."
"Retail Leadership Symposium","250
001","120","3.875","76.7","6.7","4.2","2.5",".",".",".","10.0",".",".",".",".",".",".",".","."
"Finc'l Svcs Leadership Sympos","251
001","114","3.894","82.5","7.0","5.3","0.9",".",".",".","4.4",".",".",".",".",".",".",".","."
"Introduction to Retailing","257
001","132","3.867","78.0","13.6","3.8","1.5",".",".",".","2.3","0.8",".",".",".",".",".",".","."
"","275
001","70","3.500","27.1","30.0","24.3","1.4",".",".",".","17.1",".",".",".",".",".",".",".","."
"","275
002","99","3.683","55.6","26.3","6.1","5.1",".","1.0",".","6.1",".",".",".",".",".",".",".","."
"Consumer Finance","Course Total","169","3.613","43.8","27.8","13.6","3.6",".","0.6",".","10.7",".",".",".",".",".",".",".","."
"","301
001","46","3.625","39.1","45.7","6.5","4.3",".",".",".","4.3",".",".",".",".",".",".",".","."
"","301
002","46","3.622","41.3","39.1","17.4",".",".",".",".","2.2",".",".",".",".",".",".",".","."
"Advanced Consumer Analytics","Course Total","92","3.624","40.2","42.4","12.0","2.2",".",".",".","3.3",".",".",".",".",".",".",".","."
"","321
001","41","3.900","87.8","4.9","2.4",".","2.4",".",".","2.4",".",".",".",".",".",".",".","."
"","321
002","41","3.927","87.8","9.8","2.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","321
003","42","3.915","88.1","7.1",".",".","2.4",".",".","2.4",".",".",".",".",".",".",".","."
"","321
004","39","3.782","69.2","20.5","7.7","2.6",".",".",".",".",".",".",".",".",".",".",".","."
"Finc'l Life Skills After Grad","Course Total","163","3.882","83.4","10.4","3.1","0.6","1.2",".",".","1.2",".",".",".",".",".",".",".","."
"Financial Assets & Capability","340
001","40","3.824","62.5","27.5","2.5",".",".",".",".","7.5",".",".",".",".",".",".",".","."
"The Consumer and the Market","477
001","40","3.684","55.0","27.5","7.5","2.5","2.5",".",".","5.0",".",".",".",".",".",".",".","."
"Special Topics","501
00A","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Cons Strategy & Evl","555
001","73","3.859","79.5","11.0","4.1","2.7",".",".",".","2.7",".",".",".",".",".",".",".","."
"Retail Channel Strategy","561
001","48","3.851","68.8","29.2",".",".",".",".",".","2.1",".",".",".",".",".",".",".","."
"The Global Consumer","562
001","45","3.648","37.8","53.3","4.4","2.2",".",".",".","2.2",".",".",".",".",".",".",".","."
"Retail Financial Analysis","564
001","74","3.560","32.4","25.7","18.9",".","1.4",".",".","21.6",".",".",".",".",".",".",".","."
"Product Development Strategies","567
001","57","3.627","43.9","36.8","3.5","1.8","1.8","1.8",".","10.5",".",".",".",".",".",".",".","."
"Consumer Science Internship","601
001","9","3.938","77.8","11.1",".",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"Retailing Internship","603
001","19","3.688","47.4","21.1","15.8",".",".",".",".","15.8",".",".",".",".",".",".",".","."
"Estate Plng for Fincl Planners","635
001","38","3.286","21.1","26.3","15.8","5.3",".","5.3",".","26.3",".",".",".",".",".",".",".","."
"","657
001","47","3.804","70.2","19.1","6.4","2.1",".",".",".","2.1",".",".",".",".",".",".",".","."
"","657
002","47","3.818","74.5","6.4","10.6","2.1",".",".",".","6.4",".",".",".",".",".",".",".","."
"Consumer Behavior","Course Total","94","3.811","72.3","12.8","8.5","2.1",".",".",".","4.3",".",".",".",".",".",".",".","."
"Household Risk Management","665
001","47","3.441","17.0","40.4","4.3","10.6",".",".",".","27.7",".",".",".",".",".",".",".","."
"","675
001","42","3.738","54.8","38.1","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","675
002","30","3.672","36.7","56.7","3.3",".",".",".",".","3.3",".",".",".",".",".",".",".","."
