"MECHANICAL ENGINEERING","Section","","#","Ave","A","AB","B","BC","C","D","F","S/SD U/UD","","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"612
M E","","","","","","","","","","","","","","","","","","","",""
"Engineering Design Projects","349","001","18","3.643","33.3","33.3","11.1",".",".",".",".","22.2",".",".",".",".",".",".",".","."
"Interdis Exper Dsgn Projects I","351","001","42","3.927","83.3","14.3",".",".",".",".",".","2.4",".",".",".",".",".",".",".","."
"Interdis Expr Dsgn Projects II","352","001","134","3.871","73.9","18.7","3.0",".",".",".",".","4.5",".",".",".",".",".",".",".","."
"","361","001","50","3.660","54.0","26.0","10.0","2.0",".","2.0",".","6.0",".",".",".",".",".",".",".","."
"","361","002","53","3.689","45.3","26.4","13.2",".",".",".",".","11.3","3.8",".",".",".",".",".",".","."
"","361","003","50","3.544","48.0","20.0","14.0","6.0",".",".","2.0","10.0",".",".",".",".",".",".",".","."
"Thermodynamics","","Course Total","153","3.631","49.0","24.2","12.4","2.6",".","0.7","0.7","9.2","1.3",".",".",".",".",".",".","."
"","363","001","60","3.772","56.7","35.0","1.7","1.7",".",".",".","3.3","1.7",".",".",".",".",".",".","."
"","363","002","90","3.519","44.4","22.2","15.6","1.1","2.2","3.3",".","11.1",".",".",".",".",".",".",".","."
"Fluid Dynamics","","Course Total","150","3.624","49.3","27.3","10.0","1.3","1.3","2.0",".","8.0","0.7",".",".",".",".",".",".","."
"Elementary Heat Transfer","364","001","122","3.241","11.5","28.7","19.7","7.4","3.3","0.8",".","27.9","0.8",".",".",".",".",".",".","."
"Engr Measure & Instrumentation","368","001","81","3.282","11.1","12.3","17.3","7.4",".",".",".","50.6","1.2",".",".",".",".",".",".","."
"Energy Systems Laboratory","370","001","139","3.514","34.5","21.6","16.5","2.9","2.2","0.7",".","21.6",".",".",".",".",".",".",".","."
"","417","001","44","3.810","63.6","27.3","4.5",".",".",".",".","4.5",".",".",".",".",".",".",".","."
"","417","003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Transport in Polymer Proc","","Course Total","45","3.814","64.4","26.7","4.4",".",".",".",".","4.4",".",".",".",".",".",".",".","."
"Engr Design with Polymers","418","003","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Stat Expermntl Design","424","001","11","3.600","36.4","36.4","18.2",".",".",".",".","9.1",".",".",".",".",".",".",".","."
"Advanced Materials Selection","437","001","22","3.452","27.3","40.9","22.7",".","4.5",".",".","4.5",".",".",".",".",".",".",".","."
"Introduction to Robotics","439","001","26","3.840","69.2","23.1","3.8",".",".",".",".","3.8",".",".",".",".",".",".",".","."
"","447","001","27","3.238","22.2","14.8","29.6",".","11.1",".",".","22.2",".",".",".",".",".",".",".","."
"","447","003","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Comptr Cntrl-Machns&Process","","Course Total","32","3.250","18.8","21.9","31.3",".","9.4",".",".","18.8",".",".",".",".",".",".",".","."
"Redesign & Prototype Fab","449","001","22","4.000","90.9",".",".",".",".",".",".",".",".",".",".",".","9.1",".",".","."
"Applied Thermal/Struct FE Anal","460","001","29","3.759","72.4","10.3","13.8","3.4",".",".",".",".",".",".",".",".",".",".",".","."
"Thermal Systems Modeling","461","001","21","3.500","14.3","38.1","4.8","4.8",".",".",".","33.3","4.8",".",".",".",".",".",".","."
"Welding Metallurgy","462","001","11","3.556","54.5","18.2",".",".",".","9.1",".","18.2",".",".",".",".",".",".",".","."
"Air Pollutn-Measure&Control","466","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Engr Princpl Off-Road Vehicles","476","001","9","3.643","33.3","33.3","11.1",".",".",".",".","22.2",".",".",".",".",".",".",".","."
"","489","016","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","489","020","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","489","027","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","489","048","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","489","056","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","489","057","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Honors in Research","","Course Total","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","491","015","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","491","035","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","491","050","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","491","057","4","***","","","","","","","","","",".",".",".",".",".",".","."
