"Section","","#","","Ave","A","AB","B","BC","C","D","F","S/SD U/UD","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","",""
"990","075","","7","",".",".",".",".",".",".",".","28.6
.",".",".","71.4",".",".",".","."
"990","077","","8","",".",".",".",".",".",".",".",".   
.",".",".","100.0",".",".",".","."
"990","078","","3","***","","","","","","","","",".",".",".",".",".",".","."
"990","079","","4","***","","","","","","","","",".",".",".",".",".",".","."
"990","080","","4","***","","","","","","","","",".",".",".",".",".",".","."
"990","081","","8","",".",".",".",".",".",".",".","100.0
.",".",".",".",".",".",".","."
"990","082","","4","***","","","","","","","","",".",".",".",".",".",".","."
"990","083","","4","***","","","","","","","","",".",".",".",".",".",".","."
"990","084","","2","***","","","","","","","","",".",".",".",".",".",".","."
"990","085","","3","***","","","","","","","","",".",".",".",".",".",".","."
"990","086","","2","***","","","","","","","","",".",".",".",".",".",".","."
"990","087","","2","***","","","","","","","","",".",".",".",".",".",".","."
"990","088","","2","***","","","","","","","","",".",".",".",".",".",".","."
"990","090","","2","***","","","","","","","","",".",".",".",".",".",".","."
"","Course Total","","87","",".",".",".",".",".",".",".","55.2
1.1",".",".","43.7",".",".",".","."
