"KINESIOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S/SD U/UD","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","",""
"742
KINES","","","","","","","","","","","","","","","","","","",""
"699","036","","3","***","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","30","4.000","100.0",".",".",".",".",".",".",".  
.",".",".",".",".",".",".","."
"700
Psychological Effects-Exercise","001","","19","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"791
Physical Activity Epidemiology","001","","18","3.588","44.4","27.8","16.7","5.6",".",".",".",".   
.",".",".",".","5.6",".",".","."
"885
Seminar-Occupation & Health","001","","13","",".",".",".",".",".",".",".","7.7
.","84.6","7.7",".",".",".",".","."
"900
Seminar in Kinesiology","001","","36","",".",".",".",".",".",".",".",".   
.","100.0",".",".",".",".",".","."
"990","001","","2","***","","","","","","","","",".",".",".",".",".",".","."
"990","002","","1","***","","","","","","","","",".",".",".",".",".",".","."
"990","008","","4","***","","","","","","","","",".",".",".",".",".",".","."
"990","015","","2","***","","","","","","","","",".",".",".",".",".",".","."
"990","022","","2","***","","","","","","","","",".",".",".",".",".",".","."
"990","023","","1","***","","","","","","","","",".",".",".",".",".",".","."
"990","028","","2","***","","","","","","","","",".",".",".",".",".",".","."
"990","037","","3","***","","","","","","","","",".",".",".",".",".",".","."
"990","038","","1","***","","","","","","","","",".",".",".",".",".",".","."
"990","049","","1","***","","","","","","","","",".",".",".",".",".",".","."
"Research or Thesis","Course Total","","19","",".",".",".",".",".",".",".","84.2
.",".",".","15.8",".",".",".","."
"999
Independent Reading","027","","1","***","","","","","","","","",".",".",".",".",".",".","."
