"CURRICULUM AND INSTRUCTIO Section","","#","","Ave","A","AB","B","BC","C","D","F","S/SD U/UD","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","",""
"272
CURRIC","","","","","","","","","","","","","","","","","","",""
"674","002","","26","3.788","65.4","26.9","7.7",".",".",".",".",".   
.",".",".",".",".",".",".","."
"Adv Methods in Teaching ESL","Course Total","","64","3.867","82.8","10.9","4.7",".","1.6",".",".",".  
.",".",".",".",".",".",".","."
"675","001","","10","3.885","90.0",".","10.0",".",".",".",".",".   
.",".",".",".",".",".",".","."
"675","003","","62","3.984","98.4",".","1.6",".",".",".",".",".   
.",".",".",".",".",".",".","."
"General Seminar","Course Total","","72","3.955","97.2",".","2.8",".",".",".",".",".  
.",".",".",".",".",".",".","."
"676
Bilingualism&Biliteracy-Schls","001","","6","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"699","005","","2","***","","","","","","","","",".",".",".",".",".",".","."
"699","080","","1","***","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","","3","***","","","","","","","","","","","","","","",""
"714
Research & Eval Paradigms","001","","12","4.000","83.3",".",".",".",".",".",".",".   
.",".",".",".","16.7",".",".","."
"719
Intro to Qualitative Research","001","","17","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"720
School Practicum in CS&D","001","","13","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"723
Life History:Theories & Methds","001","","6","4.000","83.3",".",".",".",".",".",".",".   
.",".",".",".",".","16.7",".","."
"727
Internationalizing Ed Knowldg","002","","5","***","","","","","","","","",".",".",".",".",".",".","."
"778
Teach, Literacies & Identities","001","","13","4.000","92.3",".",".",".",".",".",".","7.7
.",".",".",".",".",".",".","."
"788
Qual Rsch Mthds-Educ: Field I","001","","4","***","","","","","","","","",".",".",".",".",".",".","."
"790","001","","2","***","","","","","","","","",".",".",".",".",".",".","."
"790","016","","1","***","","","","","","","","",".",".",".",".",".",".","."
"Master's Project or Thesis","Course Total","","3","***","","","","","","","","","","","","","","",""
"799","001","","2","***","","","","","","","","",".",".",".",".",".",".","."
"799","005","","3","***","","","","","","","","",".",".",".",".",".",".","."
"799","016","","1","***","","","","","","","","",".",".",".",".",".",".","."
"799","072","","1","***","","","","","","","","",".",".",".",".",".",".","."
"799","088","","1","***","","","","","","","","",".",".",".",".",".",".","."
"799","092","","1","***","","","","","","","","",".",".",".",".",".",".","."
"799","095","","1","***","","","","","","","","",".",".",".",".",".",".","."
"Master's Ind. Study","Course Total","","10","4.000","90.0",".",".",".",".",".",".","10.0
.",".",".",".",".",".",".","."
"805
Guidng&Directg-Sch Rdg Prog","001","","9","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"818
Teaching Controversial Issues","001","","11","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"829
Prosmr-Amer Curric Theory","001","","6","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"830
Theory & Dsgn of the Curric","001","","5","***","","","","","","","","",".",".",".",".",".",".","."
"840
Fld-School Reading Programs","001","","9","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"946
Past Perspectives-Music Educ","001","","10","4.000","90.0",".",".",".",".",".",".","10.0
.",".",".",".",".",".",".","."
"964
World Language Education","001","","13","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"975","001","","11","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"975","002","","7","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"975","003","","18","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"975","004","","7","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"975","005","","6","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"975","006","","4","***","","","","","","","","",".",".",".",".",".",".","."
"975","007","","8","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"August 24, 2020","","","","","","","","","","","","","","","","","","","Page 89 of 447"
