"ENGLISH","Section","#","Ave","A","AB","B","BC","C","D","F","S/SD U/UD","","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"352
ENGL","","","","","","","","","","","","","","","","","","",""
"","201
001","19","3.921","94.7",".",".","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"","201
002","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201
003","18","4.000","94.4",".",".",".",".",".",".",".","5.6",".",".",".",".",".",".","."
"","201
004","19","3.974","94.7","5.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201
005","19","3.921","89.5","5.3","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201
006","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201
007","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201
008","18","3.844","66.7","16.7","5.6",".",".",".",".","5.6",".",".",".",".","5.6",".",".","."
"","201
009","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201
010","19","3.842","78.9","10.5","10.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intermediate Composition","Course Total","187","3.951","92.0","3.7","2.1","0.5",".",".",".","0.5","0.5",".",".",".","0.5",".",".","."
"Writing, Rhetoric, & Literacy","204
001","75","3.908","80.0","12.0","2.7",".",".",".",".","5.3",".",".",".",".",".",".",".","."
"","207
001","15","3.964","86.7","6.7",".",".",".",".",".",".","6.7",".",".",".",".",".",".","."
"","207
002","16","3.900","81.3","6.3","6.3",".",".",".",".","6.3",".",".",".",".",".",".",".","."
"","207
003","16","3.906","87.5","6.3","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","207
004","14","3.821","78.6","7.1","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","207
005","15","3.900","86.7","6.7","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Creative Writing","Course Total","76","3.899","84.2","6.6","6.6",".",".",".",".","1.3","1.3",".",".",".",".",".",".","."
"Bascom Course","236
001","13","4.000","84.6",".",".",".",".",".",".","7.7","7.7",".",".",".",".",".",".","."
"Literature and Culture I","241
001","87","3.704","55.2","26.4","9.2","1.1",".","1.1",".","4.6","2.3",".",".",".",".",".",".","."
"Literature and Culture II","242
001","82","3.665","46.3","41.5","6.1","1.2",".","1.2",".","1.2","1.2",".",".",".","1.2",".",".","."
"American Literary Cultures","243
001","24","3.630","75.0","4.2","8.3",".","4.2",".","4.2","4.2",".",".",".",".",".",".",".","."
"","245
001","17","4.000","88.2",".",".",".",".",".",".","5.9","5.9",".",".",".",".",".",".","."
"","245
002","20","3.921","85.0","5.0","5.0",".",".",".",".","5.0",".",".",".",".",".",".",".","."
"","245
003","18","3.389","50.0","27.8","5.6","5.6",".","11.1",".",".",".",".",".",".",".",".",".","."
"","245
004","19","3.882","73.7","10.5","5.3",".",".",".",".","10.5",".",".",".",".",".",".",".","."
"Seminar in the Major","Course Total","74","3.790","74.3","10.8","4.1","1.4",".","2.7",".","5.4","1.4",".",".",".",".",".",".","."
"Women in Ethnic Amer Lit","248
001","15","3.769","53.3","26.7","6.7",".",".",".",".","13.3",".",".",".",".",".",".",".","."
"Topics Engl Study Abroad - Lit","279
00A","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Rhet,Science&Public Engagement","305
001","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
001","14","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
002","17","4.000","94.1",".",".",".",".",".",".","5.9",".",".",".",".",".",".",".","."
"","307
003","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
004","15","3.867","80.0","13.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Creatv Wrtng:Fic&PoetWkshp","Course Total","61","3.950","90.2","6.6","1.6",".",".",".",".","1.6",".",".",".",".",".",".",".","."
"Structure of English","314
001","22","3.857","68.2","27.3",".",".",".",".",".","4.5",".",".",".",".",".",".",".","."
"Language, Race, and Identity","319
001","36","3.882","80.6","8.3","2.8","2.8",".",".",".","5.6",".",".",".",".",".",".",".","."
"Child Language","320
001","26","3.848","73.1","11.5",".",".","3.8",".",".","11.5",".",".",".",".",".",".",".","."
"Nineteenth-Century Novel","345
001","33","3.774","51.5","42.4",".",".",".",".",".","3.0","3.0",".",".",".",".",".",".","."
"Topics in Gender & Literature","350
001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Modernist Poetry","352
001","34","3.939","91.2","2.9",".","2.9",".",".",".",".","2.9",".",".",".",".",".",".","."
"August 24, 2020","","","","","","","","","","","","","","","","","","Page 229 of 447",""
