"BIOMEDICAL ENGINEERING","Section","#","","Ave","A","AB","B","BC","C","D","F","S/SD U/UD","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","",""
"207
B M E","","","","","","","","","","","","","","","","","","",""
"Independent Study","Course Total","","81","4.000","100.0",".",".",".",".",".",".",".  
.",".",".",".",".",".",".","."
"402
Biomedical Engineering Design","001","","80","3.925","85.0","15.0",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"430
Biol Interactions w/ Materials","001","","104","3.605","33.7","33.7","14.4","1.0",".",".",".","16.3
1.0",".",".",".",".",".",".","."
"463
Computers in Medicine","001","","15","3.679","46.7","33.3","13.3",".",".",".",".","6.7
.",".",".",".",".",".",".","."
"505
Biofluidics","001","","18","3.500","22.2","55.6","22.2",".",".",".",".",".   
.",".",".",".",".",".",".","."
"517
Biology in Engineering Seminar","001","","25","",".",".",".",".",".",".",".",".   
.","100.0",".",".",".",".",".","."
"520
Stem Cell Bioengineering","001","","33","3.883","69.7","21.2",".",".",".",".",".","6.1
.",".",".",".","3.0",".",".","."
"530
Medical Imaging Systems","001","","10","3.625","50.0",".","30.0",".",".",".",".","20.0
.",".",".",".",".",".",".","."
"545
Engr Extracellular Matrices","001","","44","3.977","97.7",".","2.3",".",".",".",".",".   
.",".",".",".",".",".",".","."
"556
Systems Biology: Mamm Sign Net","001","","21","3.675","38.1","52.4","4.8",".",".",".",".","4.8
.",".",".",".",".",".",".","."
"564
Occupatnl Ergonics&Biomechancs","001","","25","3.920","84.0","16.0",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"574
Imaging in Medicine: Apps","001","","2","***","","","","","","","","",".",".",".",".",".",".","."
"601","002","","11","3.909","81.8","18.2",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"601","004","","11","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"601","005","","2","***","","","","","","","","",".",".",".",".",".",".","."
"601","006","","4","***","","","","","","","","",".",".",".",".",".",".","."
"601","008","","11","3.864","81.8","9.1","9.1",".",".",".",".",".   
.",".",".",".",".",".",".","."
"Special Topics-Biomed Engr","Course Total","","39","3.934","89.7","7.7","2.6",".",".",".",".",".  
.",".",".",".",".",".",".","."
"615
Tissue Mechanics","001","","17","3.567","47.1","23.5","5.9","5.9","5.9",".",".","11.8
.",".",".",".",".",".",".","."
"650
Biological Optical Microscopy","001","","8","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"662
Dsgn & Hum Disablty & Aging","001","","21","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"702
Grad Cooperative Educ Program","001","","2","***","","","","","","","","",".",".",".",".",".",".","."
"790","004","","1","***","","","","","","","","",".",".",".",".",".",".","."
"790","005","","2","***","","","","","","","","",".",".",".",".",".",".","."
"790","034","","2","***","","","","","","","","",".",".",".",".",".",".","."
"790","045","","1","***","","","","","","","","",".",".",".",".",".",".","."
"790","046","","1","***","","","","","","","","",".",".",".",".",".",".","."
"790","047","","1","***","","","","","","","","",".",".",".",".",".",".","."
"790","051","","1","***","","","","","","","","",".",".",".",".",".",".","."
"790","097","","2","***","","","","","","","","",".",".",".",".",".",".","."
"790","099","","2","***","","","","","","","","",".",".",".",".",".",".","."
"790","101","","1","***","","","","","","","","",".",".",".",".",".",".","."
"790","118","","2","***","","","","","","","","",".",".",".",".",".",".","."
"790","133","","1","***","","","","","","","","",".",".",".",".",".",".","."
"790","139","","1","***","","","","","","","","",".",".",".",".",".",".","."
"790","140","","2","***","","","","","","","","",".",".",".",".",".",".","."
"Master's Research & Thesis","Course Total","","20","",".",".",".",".",".",".",".","85.0
.",".",".","15.0",".",".",".","."
"799","001","","1","***","","","","","","","","",".",".",".",".",".",".","."
"799","026","","1","***","","","","","","","","",".",".",".",".",".",".","."
"799","031","","1","***","","","","","","","","",".",".",".",".",".",".","."
"799","034","","1","***","","","","","","","","",".",".",".",".",".",".","."
"August 24, 2020","","","","","","","","","","","","","","","","","","Page 114 of 447",""
