"SOCIAL WORK","Section","#","Ave","A","AB","B","BC","C","D","F","S/SD U/UD","","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"896
SOC WORK","","","","","","","","","","","","","","","","","","",""
"Field Pract/Integrat Smr IV","Course Total","172","3.952","92.4","6.4","0.6","0.6",".",".",".",".",".",".",".",".",".",".",".","."
"Family Law: Parent & Child","823
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Grief, Death, Loss and Life","825
010","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Mental Hlth Policies&Services","836
001","29","3.914","86.2","10.3","3.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","840
001","19","3.684","47.4","42.1","10.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","840
002","15","3.700","40.0","60.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","840
010","16","3.969","93.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","840
011","18","3.861","72.2","27.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","840
012","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","840
020","23","3.826","95.7",".",".",".",".",".","4.3",".",".",".",".",".",".",".",".","."
"Advanced Macro Practice","Course Total","105","3.833","75.2","21.9","1.9",".",".",".","1.0",".",".",".",".",".",".",".",".","."
"","842
001","18","3.694","72.2",".","22.2","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"","842
030","15","3.967","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Consultatn&Suprvsn-Soc Work","Course Total","33","3.818","81.8","3.0","12.1","3.0",".",".",".",".",".",".",".",".",".",".",".","."
"Crises Intervention-Soc Wrk","854
001","19","3.974","94.7","5.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Recent Developmnts-Soc Work","863
001","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","870
001","22","3.955","95.5",".","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","870
010","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Cog & MH Treatments for Adults","Course Total","39","3.974","97.4",".","2.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Family Problems & Soc Work","924
001","9","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","929
001","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","929
002","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","929
011","14","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","929
020","8","3.688","50.0","37.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Social Work & Substance Use","Course Total","42","3.917","85.7","11.9","2.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Student Research Seminar","947
001","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Proseminar","948
001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"PhD Proseminar","951
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
031","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
040","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
050","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
051","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Thesis-Research","Course Total","12","",".",".",".",".",".",".",".","91.7",".",".",".","8.3",".",".",".","."
"","999
048","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
051","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","3","***","","","","","","","","","","","","","","","",""
