"ITALIAN (FRENCH AND ITALIAN) Section","","#","","Ave","A","AB","B","BC","C","D","F","S/SD U/UD","","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"508
ITALIAN","","","","","","","","","","","","","","","","","","","",""
"","101
001","","9","3.600","11.1","44.4",".",".",".",".",".","44.4",".",".",".",".",".",".",".","."
"","101
002","","8","3.875","87.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","101
003","","18","3.722","61.1","27.8","5.6","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"","101
004","","17","3.607","29.4","41.2","11.8",".",".",".",".","11.8","5.9",".",".",".",".",".",".","."
"First Semester Italian","Course Total","","52","3.700","46.2","30.8","7.7","1.9",".",".",".","11.5","1.9",".",".",".",".",".",".","."
"","102
001","","11","3.636","54.5","18.2","27.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
002","","12","3.636","50.0","25.0","8.3","8.3",".",".",".","8.3",".",".",".",".",".",".",".","."
"","102
003","","11","3.591","54.5","9.1","36.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
004","","18","3.688","44.4","38.9",".","5.6",".",".",".","11.1",".",".",".",".",".",".",".","."
"","102
005","","10","3.375","40.0","20.0","10.0",".",".","10.0",".","20.0",".",".",".",".",".",".",".","."
"Second Semester Italian","Course Total","","62","3.605","48.4","24.2","14.5","3.2",".","1.6",".","8.1",".",".",".",".",".",".",".","."
"Accelerated First Year Italian","201
001","","7","3.286","71.4",".","14.3",".",".",".","14.3",".",".",".",".",".",".",".",".","."
"","203
001","","12","3.682","41.7","41.7","8.3",".",".",".",".","8.3",".",".",".",".",".",".",".","."
"","203
003","","14","3.792","64.3","7.1","14.3",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"Third Semester Italian","Course Total","","26","3.739","53.8","23.1","11.5",".",".",".",".","11.5",".",".",".",".",".",".",".","."
"Fourth Semester Italian","204
001","","19","3.816","78.9","10.5","5.3","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"Writing Workshop","312
001","","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Italian Lit and Culture II","322
001","","15","3.929","86.7",".","6.7",".",".",".",".","6.7",".",".",".",".",".",".",".","."
"Rome:Changing Shape of City","350
002","","13","3.833","69.2","7.7",".","7.7",".",".",".","7.7",".",".",".",".",".",".","7.7","."
"Intro to Romance Languages","429
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics-Italian Lit","450
001","","6","3.833","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Italian Film","460
001","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","799
007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","3","***","","","","","","","","","","","","","","","",""
"Issues-Mthds Teachng Fr&Itl","821
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Smr-Studies in Italian Lit","952
001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
009","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Individual Research","Course Total","","10","",".",".",".",".",".",".",".","90.0",".",".",".","10.0",".",".",".","."
