"L&S","","","","","","","","","","","","","","","","","","","","",""
"RELIGIOUS STUDIES","Section","#","Ave","A","AB","B","BC","C","D","F","","S/SD U/UD","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"856
RELIG ST","","","","","","","","","","","","","","","","","","","","",""
"RELIG ST
856","Dept. Total","353","3.721","51.6","28.3","8.5","0.6","0.3","0.3","",".","8.2
1.4",".","",".","",".","0.3",".","0.6","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","","S/SD
U/UD","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"856
RELIG ST","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","28","3.519","32.1","50.0","10.7",".",".","3.6","",".","3.6
.",".","",".","",".",".",".",".","."
"Sophomore","","77","3.709","45.5","37.7","5.2","1.3",".",".","",".","9.1
1.3",".","",".","",".",".",".",".","."
"Junior","","97","3.672","46.4","29.9","13.4","1.0",".",".","",".","6.2
3.1",".","",".","",".",".",".",".","."
"Senior","","133","3.792","64.7","20.3","7.5",".","0.8",".","",".","6.0
0.8",".","",".","",".",".",".",".","."
"Undergraduates","","335","3.716","52.2","29.6","9.0","0.6","0.3","0.3","",".","6.6
1.5",".","",".","",".",".",".",".","."
"Special","","10","4.000","10.0",".",".",".",".",".","",".","70.0
.",".","",".","",".",".",".","20.0","."
"Graduate","","8","3.921","75.0","12.5",".",".",".",".","",".",".  
.",".","",".","",".","12.5",".",".","."
"","Dept. Total","353","3.721","51.6","28.3","8.5","0.6","0.3","0.3","",".","8.2
1.4",".","",".","",".","0.3",".","0.6","."
