"CHEMISTRY","Section","#","Ave","A","AB","B","BC","C","D","F","S/SD U/UD","","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"224
CHEM","","","","","","","","","","","","","","","","","","",""
"General Chem II Laboratory","102
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","103
001","241","3.281","26.1","13.7","25.7","5.8","4.6","1.2","0.4","19.1","2.9",".",".",".","0.4",".",".","."
"","103
002","276","3.229","26.1","11.2","26.1","5.4","3.6","2.9","0.7","20.7","3.3",".",".",".",".",".",".","."
"General Chemistry I","Course Total","517","3.253","26.1","12.4","25.9","5.6","4.1","2.1","0.6","19.9","3.1",".",".",".","0.2",".",".","."
"","104
001","370","3.339","27.0","14.1","24.9","4.1","3.0","1.1","0.5","22.7","2.7",".",".",".",".",".",".","."
"","104
002","307","3.348","28.7","15.3","25.4","2.0","3.6","2.0","0.3","21.5","1.3",".",".",".",".",".",".","."
"","104
003","308","3.357","31.2","12.7","21.4","3.2","3.9","2.6",".","22.7","2.3",".",".",".",".",".",".","."
"","104
004","326","3.271","25.2","16.3","23.3","4.3","4.9","1.8","0.6","21.2","2.5",".",".",".",".",".",".","."
"","104
005","244","3.287","28.7","12.7","23.8","6.1","2.5","2.5","0.8","20.1","2.9",".",".",".",".",".",".","."
"","104
006","311","3.231","27.3","12.9","27.7","6.4","4.5","2.6","0.6","16.4","1.6",".",".",".",".",".",".","."
"General Chemistry II","Course Total","1866","3.306","27.9","14.0","24.4","4.3","3.8","2.0","0.5","20.8","2.2",".",".",".",".",".",".","."
"General Chemistry II","106
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Chemistry in Our World","108
001","151","3.340","24.5","29.1","17.9","6.0","2.6","2.6",".","13.9","3.3",".",".",".",".",".",".","."
"Chemical Principles II","116
001","34","3.741","50.0","26.5","8.8",".",".",".",".","14.7",".",".",".",".",".",".",".","."
"Entering Research I","260
001","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","299
011","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
017","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
023","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
025","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
030","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
039","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
048","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
049","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
056","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
059","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Chem Across the Periodic Table","311
001","37","3.000","18.9","13.5","21.6","8.1","5.4","8.1",".","21.6",".",".",".",".","2.7",".",".","."
"Fundamentals of Analytical Sci","327
001","82","3.396","34.1","13.4","25.6","2.4","4.9","1.2",".","15.9","2.4",".",".",".",".",".",".","."
"","329
001","73","3.474","27.4","20.5","28.8","1.4",".",".",".","20.5","1.4",".",".",".",".",".",".","."
"","329
002","50","3.489","42.0","8.0","34.0","2.0","2.0",".",".","10.0","2.0",".",".",".",".",".",".","."
"Fundamentals of Analytical Sci","Course Total","123","3.480","33.3","15.4","30.9","1.6","0.8",".",".","16.3","1.6",".",".",".",".",".",".","."
"","343
001","198","3.220","24.7","12.1","23.7","3.0","11.6","0.5",".","22.7","1.5",".",".",".",".",".",".","."
"","343
002","268","3.262","25.0","12.7","18.7","7.5","6.7",".","0.7","21.3","7.5",".",".",".",".",".",".","."
"","343
003","179","3.203","24.6","9.5","22.9","3.9","8.9","1.1","0.6","20.7","7.8",".",".",".",".",".",".","."
"Intro Organic Chemistry","Course Total","645","3.232","24.8","11.6","21.4","5.1","8.8","0.5","0.5","21.6","5.7",".",".",".",".",".",".","."
"","344
001","17","2.967","17.6","11.8","35.3","17.6",".",".","5.9","11.8",".",".",".",".",".",".",".","."
"","344
002","15","3.346","26.7","20.0","26.7","13.3",".",".",".","13.3",".",".",".",".",".",".",".","."
"","344
003","17","2.967","17.6","5.9","35.3","23.5",".","5.9",".","11.8",".",".",".",".",".",".",".","."
"","344
004","17","3.286","11.8","23.5","47.1",".",".",".",".","5.9","11.8",".",".",".",".",".",".","."
"","344
005","15","3.500","40.0","6.7","26.7","6.7",".",".",".","20.0",".",".",".",".",".",".",".","."
"","344
006","17","3.500","35.3","17.6","23.5","5.9",".",".",".","17.6",".",".",".",".",".",".",".","."
"","344
007","17","3.500","29.4","17.6","17.6","5.9",".",".",".","29.4",".",".",".",".",".",".",".","."
"August 24, 2020","","","","","","","","","","","","","","","","","","Page 195 of 447",""
