"Summary by Level","#","Ave","A","AB","B","BC","C","D","","F","","S/SD","U/UD","CR","N","","P","","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"SURG SCI","","","","","","","","","","","","","","","","","","","","","","",""
"Junior","1","***","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Senior","3","***","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Undergraduates","4","***","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Prof Yr 1","31","4.000","93.5",".",".",".",".","",".","",".","6.5",".",".","",".","",".","",".",".",".","."
"Prof Yr 2","186","3.887","76.9","8.6","12.4",".",".","",".","",".","2.2",".",".","",".","",".","",".",".",".","."
"Prof Yr 3","708","3.474","29.9","12.6","13.4","2.1","1.6","",".","",".","40.4",".",".","",".","",".","",".",".",".","."
"Prof Yr 4","366","4.000","43.7",".",".",".",".","",".","",".","56.3",".",".","",".","",".","",".",".",".","."
"Professionals","1291","3.670","42.1","8.1","9.1","1.2","0.9","",".","",".","38.6",".",".","",".","",".","",".",".",".","."
