"CELL AND REGENERATIVE BIOL Section","","#","","Ave","A","AB","B","BC","C","D","F","S/SD U/UD","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","",""
"217
CRB","","","","","","","","","","","","","","","","","","",""
"640
Fund Stem Cell Regen Biol","002","","12","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"650
Molecular & Cell Organogenesis","001","","10","3.900","90.0",".","10.0",".",".",".",".",".   
.",".",".",".",".",".",".","."
"675
Cell and Regenerative Biology","001","","44","4.000","97.7",".",".",".",".",".",".",".   
2.3",".",".",".",".",".",".","."
"699","002","","1","***","","","","","","","","",".",".",".",".",".",".","."
"699","003","","1","***","","","","","","","","",".",".",".",".",".",".","."
"699","004","","2","***","","","","","","","","",".",".",".",".",".",".","."
"699","005","","4","***","","","","","","","","",".",".",".",".",".",".","."
"699","010","","3","***","","","","","","","","",".",".",".",".",".",".","."
"699","012","","1","***","","","","","","","","",".",".",".",".",".",".","."
"699","016","","4","***","","","","","","","","",".",".",".",".",".",".","."
"699","019","","3","***","","","","","","","","",".",".",".",".",".",".","."
"699","020","","2","***","","","","","","","","",".",".",".",".",".",".","."
"699","021","","2","***","","","","","","","","",".",".",".",".",".",".","."
"699","040","","1","***","","","","","","","","",".",".",".",".",".",".","."
"699","050","","1","***","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","25","4.000","92.0",".",".",".",".",".",".","8.0
.",".",".",".",".",".",".","."
"701
Cell Signals and Human Disease","001","","4","***","","","","","","","","",".",".",".",".",".",".","."
"820
Biotechnology Operations","001","","26","3.654","30.8","69.2",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"824
Molecular Technologies II","001","","26","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"842
Bus Biotech: Sustaining Growth","001","","22","3.114","13.6","31.8","22.7","27.3","4.5",".",".",".   
.",".",".",".",".",".",".","."
"843","001","","26","3.808","61.5","38.5",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"843","002","","21","3.714","52.4","38.1","9.5",".",".",".",".",".   
.",".",".",".",".",".",".","."
"Project Mgmt & Leadership","Course Total","","47","3.766","57.4","38.3","4.3",".",".",".",".",".  
.",".",".",".",".",".",".","."
"844
Adv Biotech: Global Perspectvs","001","","22","3.545","31.8","45.5","22.7",".",".",".",".",".   
.",".",".",".",".",".",".","."
"990","001","","2","***","","","","","","","","",".",".",".",".",".",".","."
"990","002","","1","***","","","","","","","","",".",".",".",".",".",".","."
"990","012","","1","***","","","","","","","","",".",".",".",".",".",".","."
"990","016","","1","***","","","","","","","","",".",".",".",".",".",".","."
"990","017","","1","***","","","","","","","","",".",".",".",".",".",".","."
"990","019","","1","***","","","","","","","","",".",".",".",".",".",".","."
"990","030","","1","***","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","8","",".",".",".",".",".",".",".","62.5
.",".",".",".",".",".","37.5","."
