"ENGR MECHANICS & ASTRONA","Section","#","Ave","A","AB","B","BC","C","D","F","S/SD U/UD","","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"346
E M A","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1
001","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201
001","200","3.551","31.5","19.5","13.5","2.5","2.0",".",".","21.0","10.0",".",".",".",".",".",".","."
"","201
002","163","3.366","27.0","16.0","18.4","5.5","2.5","1.8",".","18.4","10.4",".",".",".",".",".",".","."
"Statics","Course Total","363","3.467","29.5","17.9","15.7","3.9","2.2","0.8",".","19.8","10.2",".",".",".",".",".",".","."
"Dynamics","202
001","121","3.346","16.5","33.9","28.1","7.4",".",".",".","13.2","0.8",".",".",".",".",".",".","."
"","303
001","72","3.519","29.2","20.8","23.6","1.4",".",".",".","22.2","2.8",".",".",".",".",".",".","."
"","303
003","64","3.321","23.4","23.4","31.3","1.6",".","1.6","1.6","15.6","1.6",".",".",".",".",".",".","."
"Mechanics of Materials","Course Total","136","3.421","26.5","22.1","27.2","1.5",".","0.7","0.7","19.1","2.2",".",".",".",".",".",".","."
"","307
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","307
002","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
003","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","307
004","7","3.643","42.9","42.9","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
005","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","307
006","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","307
007","7","3.667","28.6","57.1",".",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"","307
008","7","3.300","14.3","14.3","42.9",".",".",".",".","14.3","14.3",".",".",".",".",".",".","."
"","307
009","6","3.600","33.3","33.3","16.7",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"","307
010","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","307
011","7","3.583","28.6","42.9","14.3",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"","307
012","6","3.700","33.3","50.0",".",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"","307
013","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","307
014","10","3.444","20.0","40.0","30.0",".",".",".",".","10.0",".",".",".",".",".",".",".","."
"","307
015","8","3.188",".","50.0","37.5","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Mechanics of Materials Lab","Course Total","90","3.586","34.4","37.8","16.7","1.1",".",".",".","8.9","1.1",".",".",".",".",".",".","."
"Matrls-Constructed Facilities","395
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Practicum-Finite Elements","405
001","23","3.841","69.6","21.7","4.3",".",".",".",".","4.3",".",".",".",".",".",".",".","."
"Intermed Problem Solving-Engrs","471
002","20","3.563","35.0","25.0","15.0","5.0",".",".",".","20.0",".",".",".",".",".",".",".","."
"Intro-Sci Comput for Engr Phys","476
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Composite Materials","508
001","8","3.813","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fracture Mechanics","519
001","27","3.479","25.9","37.0","22.2","3.7",".",".",".","11.1",".",".",".",".",".",".",".","."
"Aerodynamics Lab","522
001","27","3.029","11.1","11.1","22.2","7.4","11.1",".",".","37.0",".",".",".",".",".",".",".","."
"Flight Dynamics and Control","523
001","16","3.786","56.3","25.0","6.3",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"Mechanical Vibrations","545
001","36","3.135","22.2","19.4","13.9","5.6","2.8","8.3",".","27.8",".",".",".",".",".",".",".","."
"Engineering Analysis II","548
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Astrodynamics","550
001","27","3.425","29.6","14.8","22.2","3.7","3.7",".",".","25.9",".",".",".",".",".",".",".","."
"Senior Design Project","569
001","47","3.643","48.9","25.5","10.6",".","4.3",".",".","10.6",".",".",".",".",".",".",".","."
"Independent Study","599
056","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics: Engr Mech","601
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"FEM Model Validation","610
001","9","3.500","44.4","22.2","22.2","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Mech Testing-Materials","611
001","14","3.893","78.6","21.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
