"Section","","#","","Ave","A","AB","B","BC","C","D","F","S/SD U/UD","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","",""
"699","001","","4","***","","","","","","","","",".",".",".",".",".",".","."
"699","002","","8","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"699","003","","1","***","","","","","","","","",".",".",".",".",".",".","."
"699","004","","2","***","","","","","","","","",".",".",".",".",".",".","."
"699","005","","1","***","","","","","","","","",".",".",".",".",".",".","."
"699","006","","3","***","","","","","","","","",".",".",".",".",".",".","."
"699","010","","1","***","","","","","","","","",".",".",".",".",".",".","."
"699","011","","8","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"699","015","","1","***","","","","","","","","",".",".",".",".",".",".","."
"699","016","","1","***","","","","","","","","",".",".",".",".",".",".","."
"699","020","","1","***","","","","","","","","",".",".",".",".",".",".","."
"699","021","","1","***","","","","","","","","",".",".",".",".",".",".","."
"699","022","","3","***","","","","","","","","",".",".",".",".",".",".","."
"699","023","","2","***","","","","","","","","",".",".",".",".",".",".","."
"699","025","","1","***","","","","","","","","",".",".",".",".",".",".","."
"699","030","","1","***","","","","","","","","",".",".",".",".",".",".","."
"699","032","","1","***","","","","","","","","",".",".",".",".",".",".","."
"699","034","","1","***","","","","","","","","",".",".",".",".",".",".","."
"699","035","","1","***","","","","","","","","",".",".",".",".",".",".","."
"699","040","","1","***","","","","","","","","",".",".",".",".",".",".","."
"699","041","","1","***","","","","","","","","",".",".",".",".",".",".","."
"699","081","","1","***","","","","","","","","",".",".",".",".",".",".","."
"699","102","","6","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"699","169","","2","***","","","","","","","","",".",".",".",".",".",".","."
"699","179","","1","***","","","","","","","","",".",".",".",".",".",".","."
"699","180","","2","***","","","","","","","","",".",".",".",".",".",".","."
"699","183","","6","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"699","190","","7","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"699","199","","2","***","","","","","","","","",".",".",".",".",".",".","."
"699","204","","1","***","","","","","","","","",".",".",".",".",".",".","."
"699","205","","1","***","","","","","","","","",".",".",".",".",".",".","."
"699","214","","2","***","","","","","","","","",".",".",".",".",".",".","."
"699","216","","2","***","","","","","","","","",".",".",".",".",".",".","."
"699","218","","4","***","","","","","","","","",".",".",".",".",".",".","."
"699","229","","4","***","","","","","","","","",".",".",".",".",".",".","."
"699","230","","2","***","","","","","","","","",".",".",".",".",".",".","."
"699","231","","7","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"699","238","","3","***","","","","","","","","",".",".",".",".",".",".","."
"699","241","","1","***","","","","","","","","",".",".",".",".",".",".","."
"699","242","","1","***","","","","","","","","",".",".",".",".",".",".","."
"699","244","","1","***","","","","","","","","",".",".",".",".",".",".","."
"699","249","","2","***","","","","","","","","",".",".",".",".",".",".","."
"699","253","","1","***","","","","","","","","",".",".",".",".",".",".","."
"699","255","","11","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"","","","","","","","","","","","","","","","","","","Page 380 of 447",""
