"MATHEMATICS","Section","#","Ave","A","AB","B","BC","C","D","F","S/SD U/UD","","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"600
MATH","","","","","","","","","","","","","","","","","","",""
"","240
002","80","3.404","17.5","37.5","10.0","2.5","2.5",".","1.3","17.5","11.3",".",".",".",".",".",".","."
"Intro to Discrete Mathematics","Course Total","178","3.489","25.8","32.6","10.1","1.7","3.4",".","0.6","18.0","6.7",".",".",".","0.6",".","0.6","."
"Intro to Prob & Math Stat I","309
001","10","3.643","40.0","10.0","20.0",".",".",".",".","20.0","10.0",".",".",".",".",".",".","."
"Intro to Prob & Math Stat II","310
001","14","3.500","42.9","14.3","7.1","7.1","7.1",".",".","21.4",".",".",".",".",".",".",".","."
"Tech-Ordinary Diff Equation","319
001","70","3.433","42.9","7.1","12.9","2.9","4.3","4.3",".","18.6","5.7",".",".",".",".",".",".","1.4"
"","320
001","119","3.381","30.3","12.6","19.3","4.2","0.8","3.4",".","17.6","10.9",".",".",".",".","0.8",".","."
"","320
002","146","3.822","74.7","6.8","8.9",".","2.1",".",".","6.8","0.7",".",".",".",".",".",".","."
"","320
003","54","2.929","11.1",".","16.7","1.9","5.6","3.7",".","51.9","7.4",".",".",".",".","1.9",".","."
"","320
004","120","3.343","27.5","10.8","27.5","1.7","2.5",".","1.7","24.2","4.2",".",".",".",".",".",".","."
"","320
005","88","3.181","14.8","10.2","30.7","4.5","5.7",".",".","34.1",".",".",".",".",".",".",".","."
"Linear Alg & Diff Equations","Course Total","527","3.473","37.4","8.9","19.9","2.3","2.8","1.1","0.4","22.4","4.4",".",".",".",".","0.4",".","."
"Appl Mathematical Analysis","321
001","60","2.053","1.7",".","6.7","6.7","5.0","11.7",".","63.3","5.0",".",".",".",".",".",".","."
"Appl Mathematical Analysis","322
001","45","3.328","20.0","17.8","15.6","6.7","4.4",".",".","35.6",".",".",".",".",".",".",".","."
"","340
001","100","3.500","27.0","11.0","15.0","2.0","1.0","1.0",".","38.0","5.0",".",".",".",".",".",".","."
"","340
002","108","3.457","38.9","13.0","13.9","6.5","0.9","1.9","0.9","22.2","1.9",".",".",".",".",".",".","."
"","340
003","99","3.483","26.3","11.1","17.2","3.0",".","1.0",".","37.4","3.0",".",".",".","1.0",".",".","."
"","340
004","132","3.938","90.9","3.8","1.5","0.8","0.8",".",".","2.3",".",".",".",".",".",".",".","."
"Elem Matrix&Linear Algebra","Course Total","439","3.660","49.0","9.3","11.2","3.0","0.7","0.9","0.2","23.2","2.3",".",".",".","0.2",".",".","."
"","341
001","31","3.522","29.0","29.0","9.7","3.2","3.2",".",".","22.6","3.2",".",".",".",".",".",".","."
"","341
002","34","3.386","26.5","2.9","32.4",".","2.9",".",".","23.5","8.8",".",".",".","2.9",".",".","."
"","341
003","27","3.711","44.4","11.1","14.8",".",".",".",".","18.5","11.1",".",".",".",".",".",".","."
"Linear Algebra","Course Total","92","3.531","32.6","14.1","19.6","1.1","2.2",".",".","21.7","7.6",".",".",".","1.1",".",".","."
"Topics-Multi-Var Calc&Diff Eq","376
001","36","3.569","41.7","16.7","13.9","8.3",".",".",".","13.9",".",".",".",".","2.8","2.8",".","."
"","421
001","36","3.321","25.0","11.1","36.1",".","5.6",".",".","22.2",".",".",".",".",".",".",".","."
"","421
002","26","3.289","30.8","11.5","23.1",".","3.8",".","3.8","26.9",".",".",".",".",".",".",".","."
"","421
003","40","3.696","40.0","17.5","12.5",".",".",".",".","25.0","2.5",".",".",".",".","2.5",".","."
"","421
004","40","3.615","42.5","7.5","10.0","2.5",".","2.5",".","35.0",".",".",".",".",".",".",".","."
"Theory of Single Variable Calc","Course Total","142","3.495","35.2","12.0","19.7","0.7","2.1","0.7","0.7","27.5","0.7",".",".",".",".","0.7",".","."
"","431
001","38","3.536","42.1","13.2","10.5","2.6","2.6","2.6",".","23.7","2.6",".",".",".",".",".",".","."
"","431
002","39","3.404","25.6","12.8","20.5","5.1","2.6",".",".","30.8","2.6",".",".",".",".",".",".","."
"","431
003","57","3.472","29.8","10.5","15.8","3.5","3.5",".",".","31.6","5.3",".",".",".",".",".",".","."
"Intro-Theory of Probability","Course Total","134","3.472","32.1","11.9","15.7","3.7","3.0","0.7",".","29.1","3.7",".",".",".",".",".",".","."
"Introduction to Cryptography","435
001","38","3.296","21.1","18.4","21.1","2.6","7.9",".",".","26.3","2.6",".",".",".",".",".",".","."
"Mathematics for Teachers","471
001","6","3.833","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"History of Mathematics","473
001","38","3.855","65.8","7.9","7.9",".",".",".",".","15.8",".",".",".",".",".","2.6",".","."
"","475
003","26","3.324","30.8","15.4","7.7","3.8","3.8",".","3.8","26.9","7.7",".",".",".",".",".",".","."
"","475
004","27","3.719","40.7","3.7","14.8",".",".",".",".","37.0","3.7",".",".",".",".",".",".","."
"","475
005","24","3.643","41.7",".","12.5",".","4.2",".",".","37.5","4.2",".",".",".",".",".",".","."
"Intro-Combinatorics","Course Total","77","3.553","37.7","6.5","11.7","1.3","2.6",".","1.3","33.8","5.2",".",".",".",".",".",".","."
"Undergraduate Seminar","490
001","9","3.925","77.8","11.1",".",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"Numerical Linear Algebra","513
001","37","3.212","27.0","18.9","8.1",".","10.8","5.4",".","24.3","5.4",".",".",".",".",".",".","."
"August 24, 2020","","","","","","","","","","","","","","","","","","Page 280 of 447",""
