"Summary by Level","#","Ave","A","AB","B","BC","C","","D","","F","","S/SD","U/UD","CR","N","","P","","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"S&A PHM","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","1","***","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Sophomore","1","***","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Junior","6","3.750","66.7","16.7","16.7",".","",".","",".","",".",".",".",".","",".","",".","",".",".",".","."
"Senior","9","3.611","55.6","22.2","11.1","11.1","",".","",".","",".",".",".",".","",".","",".","",".",".",".","."
"Undergraduates","17","3.706","64.7","17.6","11.8","5.9","",".","",".","",".",".",".",".","",".","",".","",".",".",".","."
"Graduate","40","4.000","65.0",".",".",".","",".","",".","",".","30.0","5.0",".","",".","",".","",".",".",".","."
"Prof Yr 1","131","3.843","75.6","17.6","5.3","0.8","",".","",".","",".","0.8",".",".","",".","",".","",".",".",".","."
"Prof Yr 2","141","3.895","80.1","19.1","0.7",".","",".","",".","",".",".",".",".","",".","",".","",".",".",".","."
"Prof Yr 3","284","3.868","81.3","11.6","6.7","0.4","",".","",".","",".",".",".",".","",".","",".","",".",".",".","."
"Prof Yr 4","3","***","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Professionals","559","3.867","79.8","14.8","4.8","0.4","",".","",".","",".","0.2",".",".","",".","",".","",".",".",".","."
