"GEOSCIENCE","Section","#","","Ave","A","AB","B","BC","C","D","F","S/SD U/UD","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","",""
"420
GEOSCI","","","","","","","","","","","","","","","","","","",""
"875","001","","8","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"875","003","","3","***","","","","","","","","",".",".",".",".",".",".","."
"875","004","","11","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"875","005","","5","***","","","","","","","","",".",".",".",".",".",".","."
"875","006","","4","***","","","","","","","","",".",".",".",".",".",".","."
"875","007","","3","***","","","","","","","","",".",".",".",".",".",".","."
"875","008","","8","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"875","009","","4","***","","","","","","","","",".",".",".",".",".",".","."
"Advanced Topics in Geology","Course Total","","46","4.000","93.5",".",".",".",".",".",".","6.5
.",".",".",".",".",".",".","."
"990","004","","1","***","","","","","","","","",".",".",".",".",".",".","."
"990","006","","4","***","","","","","","","","",".",".",".",".",".",".","."
"990","007","","5","***","","","","","","","","",".",".",".",".",".",".","."
"990","008","","4","***","","","","","","","","",".",".",".",".",".",".","."
"990","018","","6","",".",".",".",".",".",".",".","100.0
.",".",".",".",".",".",".","."
"990","019","","4","***","","","","","","","","",".",".",".",".",".",".","."
"990","020","","1","***","","","","","","","","",".",".",".",".",".",".","."
"990","021","","1","***","","","","","","","","",".",".",".",".",".",".","."
"990","026","","2","***","","","","","","","","",".",".",".",".",".",".","."
"990","031","","4","***","","","","","","","","",".",".",".",".",".",".","."
"990","032","","1","***","","","","","","","","",".",".",".",".",".",".","."
"990","035","","3","***","","","","","","","","",".",".",".",".",".",".","."
"990","036","","3","***","","","","","","","","",".",".",".",".",".",".","."
"990","043","","1","***","","","","","","","","",".",".",".",".",".",".","."
"990","044","","2","***","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","42","",".",".",".",".",".",".",".","76.2
.",".",".","23.8",".",".",".","."
