"HISTORY OF SCIENCE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"456
HIST SCI","","","","","","","","","","","","","","","","","","","",""
"202
Making of Modern Science","001","","80","2.922","15.0","17.5","28.8","17.5","15.0",".","2.5","3.8",".",".",".",".",".",".",".","."
"203
Sci in 20th C:Hist Overview","001","","88","2.994","13.6","22.7","20.5","21.6","14.8",".",".","3.4","3.4",".",".",".",".",".",".","."
"212
The Physician in History","001","","46","3.463","30.4","34.8","30.4",".","2.2",".",".","2.2",".",".",".",".",".",".",".","."
"222
Technol&Social Chng in Hist","001","","40","3.342","27.5","27.5","35.0","2.5",".",".","2.5","5.0",".",".",".",".",".",".",".","."
"284
Physician in Hist (Honors)","001","","7","3.833","71.4",".","14.3",".",".",".",".",".",".",".",".",".",".",".","14.3","."
"324
Science in Enlightenment","001","","28","3.450","21.4","46.4","17.9",".","3.6",".",".","7.1",".",".",".",".","3.6",".",".","."
"353
History of Ecology","001","","18","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"401
History of Pharmacy","001","","26","3.365","42.3","3.8","46.2",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"509
Dev Public Health-America","001","","14","3.107","21.4","35.7","28.6",".","7.1",".","7.1",".",".",".",".",".",".",".",".","."
"531
Women & Health-Amer History","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"536
History of Social Sciences","001","","11","3.722","45.5","27.3","9.1",".",".",".",".",".",".",".",".",".","9.1",".","9.1","."
"538
Sci in 20th C-His Thems&Iss","001","","9","3.214","44.4","11.1","11.1",".",".",".","11.1","11.1",".",".",".",".","11.1",".",".","."
"555
Undergrad Smr-Hist of Sci","001","","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"562
Byzantine Med & Pharmacy","001","","25","3.708","72.0","8.0","8.0",".","8.0",".",".","4.0",".",".",".",".",".",".",".","."
"681
Senior Honors Thesis","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","2","***","","","","","","","","","","","","","","","",""
"699
Directed Study","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"903
Smr: Medvl Renaiss&17C Sci","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"907
Smr: History of Technology","001","","9","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"925
Seminar:Research and Thesis","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"950
History of Science Colloq","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","018","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","14","",".",".",".",".",".",".",".","78.6",".",".",".","21.4",".",".",".","."
"999","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Work","Course Total","","6","4.000","16.7",".",".",".",".",".",".","83.3",".",".",".",".",".",".",".","."
