"PHYSICS","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"754
PHYSICS","","","","","","","","","","","","","","","","","","","",""
"531
Intro to Quantum Mechanics","001","","8","3.857","75.0",".","12.5",".",".",".",".",".",".",".",".",".",".",".","12.5","."
"546
Lasers","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"551
Solid State Physics","001","","6","3.583","33.3","50.0","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"601
Scientific Presentation","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"625
Applied Optics","001","","11","3.469","18.2","54.5",".",".","9.1",".",".","18.2",".",".",".",".",".",".",".","."
"681
Senior Honors Thesis","047","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682
Senior Honors Thesis","070","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"715
Statistical Mechanics","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"717
Relativity","001","","14","3.250",".","7.1","7.1",".",".",".",".","78.6","7.1",".",".",".",".",".",".","."
"721
Theor Physics-Electrodynmcs","001","","21","3.500","38.1","23.8","28.6","4.8",".",".",".",".",".",".",".",".",".",".","4.8","."
"722
Adv Classical Theor Physics","001","","7","3.700","42.9","14.3","14.3",".",".",".",".","28.6",".",".",".",".",".",".",".","."
"726
Plasma Magnetohydrodynamics","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"732
Quantum Mechanics","001","","20","3.350","30.0","25.0","35.0","5.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"735
Particle Physics","001","","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"805
Special Topics in Physics","001","","9","3.643","33.3","33.3","11.1",".",".",".",".","11.1",".",".",".",".","11.1",".",".","."
"832
Advanced Quantum Mechanics","001","","13","3.917","84.6",".","7.7",".",".",".",".",".",".",".",".",".",".","7.7",".","."
"900
Colloquium","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","015","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","036","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","047","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","048","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","049","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","050","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","051","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","053","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","054","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","058","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","061","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","063","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","068","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","070","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","071","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","073","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","074","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","075","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","077","","1","***","","","","","","","","","",".",".",".",".",".",".","."
