"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","",""
"COMPUTER SCIENCES","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"266
COMP SCI","","","","","","","","","","","","","","","","","","",""
"","367
001","59","2.856","28.8","18.6","13.6","13.6","13.6","3.4","8.5",".",".",".",".",".",".",".",".","."
"","367
002","56","3.000","28.6","17.9","23.2","10.7","8.9","3.6","5.4",".",".",".",".",".",".","1.8",".","."
"","367
003","68","3.164","26.5","25.0","22.1","13.2","8.8","1.5","1.5",".","1.5",".",".",".",".",".",".","."
"","367
004","80","3.006","30.0","17.5","17.5","13.8","12.5","3.8","3.8","1.3",".",".",".",".",".",".",".","."
"","005
367","79","2.776","24.1","12.7","29.1","3.8","15.2","6.3","7.6",".",".",".",".",".",".","1.3",".","."
"Intro to Data Structures","Course Total","342","2.957","27.5","18.1","21.3","10.8","12.0","3.8","5.3","0.3","0.3",".",".",".",".","0.6",".","."
"","001
368","23","",".",".",".",".",".",".",".",".",".","95.7","4.3",".",".",".",".","."
"","002
368","30","",".",".",".",".",".",".",".",".",".","96.7","3.3",".",".",".",".","."
"","368
003","30","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Learn New Programming Lang","Course Total","83","",".",".",".",".",".",".",".",".",".","97.6","2.4",".",".",".",".","."
"","412
001","68","2.853","14.7","27.9","14.7","22.1","11.8","5.9","2.9",".",".",".",".",".",".",".",".","."
"","412
002","56","3.064","23.2","21.4","21.4","19.6","8.9","1.8","1.8",".",".",".",".",".",".","1.8",".","."
"","003
412","60","2.771","28.3","16.7","20.0","5.0","10.0","8.3","10.0","1.7",".",".",".",".",".",".",".","."
"Intro to Numerical Methods","Course Total","184","2.890","21.7","22.3","18.5","15.8","10.3","5.4","4.9","0.5",".",".",".",".",".","0.5",".","."
"Introduction to Cryptography","435
001","26","3.346","30.8","23.1","34.6","7.7","3.8",".",".",".",".",".",".",".",".",".",".","."
"Intro-Combinatorics","475
001","15","2.100","20.0",".","6.7","20.0","20.0","20.0","13.3",".",".",".",".",".",".",".",".","."
"Numerical Analysis","514
001","16","3.250","62.5",".","6.3","12.5","12.5",".","6.3",".",".",".",".",".",".",".",".","."
"Linear Programming Methods","525
001","56","3.054","33.9","21.4","12.5","10.7","14.3","1.8","5.4",".",".",".",".",".",".",".",".","."
"Intro-Progm Langs&Compilers","536
001","59","3.386","39.0","33.9","13.6","5.1",".","1.7","3.4","3.4",".",".",".",".",".",".",".","."
"","537
001","64","3.357","37.5","26.6","21.9","7.8","3.1","3.1",".",".",".",".",".",".",".",".",".","."
"","537
002","57","3.407","36.8","28.1","24.6","8.8",".",".","1.8",".",".",".",".",".",".",".",".","."
"Intro to Operating Systems","Course Total","121","3.380","37.2","27.3","23.1","8.3","1.7","1.7","0.8",".",".",".",".",".",".",".",".","."
"Thry & Desgn-Progrmg Langs","538
001","53","3.226","34.0","24.5","20.8","9.4","7.5",".","3.8",".",".",".",".",".",".",".",".","."
"Intro-Artificl Neural Ntwrk","539
001","20","2.737","25.0","25.0","10.0","15.0",".","5.0","15.0",".",".",".",".",".","5.0",".",".","."
"","540
001","50","3.163","24.0","26.0","26.0","14.0","6.0","4.0",".",".",".",".",".",".",".",".",".","."
"","002
540","42","2.834","11.9","31.0","21.4","14.3","7.1","14.3",".",".",".",".",".",".",".",".",".","."
"Intro-Artificl Intelligence","Course Total","92","3.010","18.5","28.3","23.9","14.1","6.5","8.7",".",".",".",".",".",".",".",".",".","."
"","552
001","28","2.964","32.1","17.9","14.3","3.6","25.0","3.6","3.6",".",".",".",".",".",".",".",".","."
"","552
002","19","3.289","36.8","31.6","15.8","5.3","5.3",".","5.3",".",".",".",".",".",".",".",".","."
"Intro-Computer Architecture","Course Total","47","3.096","34.0","23.4","14.9","4.3","17.0","2.1","4.3",".",".",".",".",".",".",".",".","."
"Intro-Computationl Geometry","001
558","11","3.227","27.3","27.3","36.4",".",".","9.1",".",".",".",".",".",".",".",".",".","."
"Database Mgt Systems","564
001","64","3.166","34.4","21.9","14.1","9.4","17.2",".","1.6","1.6",".",".",".",".",".",".",".","."
"","577
001","55","3.574","61.8","18.2","7.3","3.6","3.6","1.8","1.8","1.8",".",".",".",".",".",".",".","."
"","577
002","56","3.741","69.6","14.3","10.7","5.4",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Algorithms","Course Total","111","3.659","65.8","16.2","9.0","4.5","1.8","0.9","0.9","0.9",".",".",".",".",".",".",".","."
"Senior Honors Thesis","681
036","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
039","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
047","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
067","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
076","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
097","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
103","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","10","4.000","90.0",".",".",".",".",".",".","10.0",".",".",".",".",".",".",".","."
