"Civ of Central Asia","303
001","","8","3.857","62.5","25.0","",".",".","",".",".","",".","","12.5",".","",".",".","",".","",".","",".",".","."
"First Yr Cen Asian Lang II","332
001","","1","***","","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Third Yr Cen Asian Lang II","432
001","","4","***","","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Seminar in Turkic Philology","950
001","","4","***","","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"CEN ASIA
218","Dept. Total","","17","3.800","52.9","35.3","",".",".","",".","",".","",".","11.8","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","","BC","C","","D","","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","",""
"218
CEN ASIA","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","","1","4.000","100.0",".","",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Junior","","","3","3.833","66.7","33.3","",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Senior","","","3","3.750","33.3","33.3","",".",".","",".","",".","",".","33.3","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","","7","3.833","57.1","28.6","",".",".","",".","",".","",".","14.3","",".",".","",".","",".","",".",".",".","."
"Graduate","","","10","3.778","50.0","40.0","",".",".","",".","",".","",".","10.0","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","","17","3.800","52.9","35.3","",".",".","",".","",".","",".","11.8","",".",".","",".","",".","",".",".",".","."
