"NUTRITIONAL SCIENCES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"694
NUTR SCI","","","","","","","","","","","","","","","","","","","",""
"132","001","","197","2.737","17.8","14.2","18.3","15.7","26.4","4.6","2.5","0.5",".",".",".",".",".",".",".","."
"132","002","","213","2.557","10.8","10.3","22.1","14.6","32.9","5.6","2.8","0.5",".",".",".",".",".",".",".","0.5"
"Nutrition Today","Course Total","","410","2.644","14.1","12.2","20.2","15.1","29.8","5.1","2.7","0.5",".",".",".",".",".",".",".","0.2"
"289","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"289","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"289","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Honors Independent Study","Course Total","","3","***","","","","","","","","","","","","","","","",""
"299","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","4","***","","","","","","","","","","","","","","","",""
"332
Human Nutritional Needs","001","","77","3.007","24.7","3.9","37.7","7.8","22.1",".",".","3.9",".",".",".",".",".",".",".","."
"350
World Hunger & Malnutrition","001","","23","2.804","4.3","21.7","30.4","34.8","4.3",".","4.3",".",".",".",".",".",".",".",".","."
"399
Coord Intrnshp/Cooprtv Educ","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"431
Nutrition in the Life Span","001","","54","2.931","13.0","24.1","20.4","14.8","20.4","1.9",".","5.6",".",".",".",".",".",".",".","."
"434
Nutri-Life Span(Affiliatn)","001","","12","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"499","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"499","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Capstone in Nutrition","Course Total","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"520","001","","14","3.571","35.7","50.0","7.1","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"520","002","","12","3.167","16.7","33.3","16.7","33.3",".",".",".",".",".",".",".",".",".",".",".","."
"Applications-Clin Nutrition","Course Total","","26","3.385","26.9","42.3","11.5","19.2",".",".",".",".",".",".",".",".",".",".",".","."
"540
Commun Nutr Prgms&Polcy-US","001","","16","3.600","37.5","37.5","18.8",".",".",".",".","6.3",".",".",".",".",".",".",".","."
"616
Adv Nutr:Intgratn-Metabolsm","001","","8","3.125","12.5","37.5","25.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".","."
"617
Adv Nutr:Carbo;Min;Hum Nutr","001","","13","3.231","23.1",".","76.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"682
Senior Honors Thesis","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"692
Senior Thesis","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","040","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","046","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","10","3.850","80.0",".","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"799","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","065","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Pract-Nutri Sciences Tchg","Course Total","","3","***","","","","","","","","","","","","","","","",""
"881
Smr-Human&Clinicl Nutrition","001","","16","3.773","50.0","6.3","12.5",".",".",".",".","31.3",".",".",".",".",".",".",".","."
"931
Seminar-Nutrition","001","","28","4.000","17.9",".",".",".",".",".",".","82.1",".",".",".",".",".",".",".","."
"991","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","","Page 35 of 386"
