"Seminar-Biblical Studies","952
001","10","3.563","40.0","20.0","10.0","10.0",".",".",".","10.0",".",".",".",".",".",".","10.0","."
"","990
011","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990
014","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"HEBR ST
440","Dept. Total","228","3.330","32.9","22.8","21.5","5.7","4.8","2.6","0.4","7.9",".",".",".",".",".","0.4","0.9","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"440
HEBR ST","","","","","","","","","","","","","","","","","","",""
"Freshmen","","30","3.219","23.3","30.0","26.7","10.0",".","6.7",".",".",".",".",".",".",".","3.3",".","."
"Sophomore","","48","3.417","39.6","25.0","22.9","6.3","4.2","2.1",".",".",".",".",".",".",".",".",".","."
"Junior","","44","3.436","34.1","22.7","29.5",".","6.8",".",".","4.5",".",".",".",".",".",".","2.3","."
"Senior","","52","3.107","36.5","15.4","15.4","3.8","11.5","5.8","1.9","9.6",".",".",".",".",".",".",".","."
"Undergraduates","","174","3.304","34.5","22.4","23.0","4.6","6.3","3.4","0.6","4.0",".",".",".",".",".","0.6","0.6","."
"Special","","9","3.407","33.3","11.1","22.2","11.1",".",".",".","22.2",".",".",".",".",".",".",".","."
"Graduate","","45","3.449","26.7","26.7","15.6","8.9",".",".",".","20.0",".",".",".",".",".",".","2.2","."
"","Dept. Total","228","3.330","32.9","22.8","21.5","5.7","4.8","2.6","0.4","7.9",".",".",".",".",".","0.4","0.9","."
