"BUS","","","","","","","","","","","","","","","","","","",""
"FINANCE, INVESTMENT & BANKI Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"233
FINANCE","","","","","","","","","","","","","","","","","","",""
"","300
001","284","3.188","27.1","13.7","37.3","13.4","6.3","1.1",".","1.1",".",".",".",".",".",".",".","."
"","300
002","190","3.027","15.8","14.7","37.9","18.9","10.0","0.5",".","1.1",".",".",".",".",".","1.1",".","."
"Introduction to Finance","Course Total","474","3.124","22.6","14.1","37.6","15.6","7.8","0.8",".","1.1",".",".",".",".",".","0.4",".","."
"Finc Mrkts,Instns&Econ Actv","305
001","48","3.083","18.8","10.4","45.8","18.8","6.3",".",".",".",".",".",".",".",".",".",".","."
"","320
001","86","3.113","15.1","25.6","32.6","17.4","5.8","1.2",".","2.3",".",".",".",".",".",".",".","."
"","320
002","68","3.083","11.8","35.3","30.9","11.8","5.9","4.4",".",".",".",".",".",".",".",".",".","."
"Investments","Course Total","154","3.100","13.6","29.9","31.8","14.9","5.8","2.6",".","1.3",".",".",".",".",".",".",".","."
"","325
001","65","2.898","15.4","9.2","36.9","13.8","23.1",".",".","1.5",".",".",".",".",".",".",".","."
"","002
325","44","3.318","43.2","6.8","34.1","2.3","13.6",".",".",".",".",".",".",".",".",".",".","."
"Corporation Finance","Course Total","109","3.069","26.6","8.3","35.8","9.2","19.3",".",".","0.9",".",".",".",".",".",".",".","."
"","399
023","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
028","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
032","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
059","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Reading & Research-Finance","Course Total","7","3.912","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Bank Management","410
001","58","2.991","10.3","19.0","41.4","17.2","8.6","1.7",".","1.7",".",".",".",".",".",".",".","."
"Multinational Bus Finance","445
001","59","2.967","16.9","16.9","37.3","6.8","15.3","6.8",".",".",".",".",".",".",".",".",".","."
"","630
001","63","3.333","30.2","17.5","46.0","1.6","4.8",".",".",".",".",".",".",".",".",".",".","."
"","630
002","57","3.123","24.6","15.8","36.8","5.3","17.5",".",".",".",".",".",".",".",".",".",".","."
"Options & Financial Futures","Course Total","120","3.233","27.5","16.7","41.7","3.3","10.8",".",".",".",".",".",".",".",".",".",".","."
"","635
001","54","3.340","37.0","13.0","31.5","13.0","3.7",".",".",".",".",".",".",".",".",".","1.9","."
"","635
002","34","3.318","32.4","11.8","44.1","2.9","5.9",".",".","2.9",".",".",".",".",".",".",".","."
"Security Analysis","Course Total","88","3.331","35.2","12.5","36.4","9.1","4.5",".",".","1.1",".",".",".",".",".",".","1.1","."
"Intro to Financial Mgmnt","700
001","70","3.455","27.1","31.4","35.7",".",".",".",".","5.7",".",".",".",".",".",".",".","."
"Financial Market&Bus Condtn","705
001","9","3.722","55.6","33.3","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Investment Theory&Practice","720
001","47","3.435","34.0","25.5","31.9","4.3","2.1",".",".",".",".",".",".",".",".",".","2.1","."
"Corporatn Finance Thry&Prac","725
001","35","3.471","31.4","31.4","37.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Anal-Fixed Income Securities","740
001","36","3.764","52.8","47.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Financial Policy","755
001","31","3.518","29.0","35.5","25.8",".",".",".",".","9.7",".",".",".",".",".",".",".","."
"","765
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","765
002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","765
003","16","3.667","37.5","50.0","6.3",".",".",".",".",".",".",".",".",".",".",".","6.3","."
"","765
004","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","33","3.875","66.7","27.3","3.0",".",".",".",".",".",".",".",".",".",".",".","3.0","."
"","799
046","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
087","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Reading & Research-Finance","Course Total","4","***","","","","","","","","","","","","","","","",""
"Intmed Theory-Bus Finance","825
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Derivative Securities","830
001","19","3.763","52.6","47.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Security Anal&Invstmt Mgt 2","836
001","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Theory of Finance","920
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Smr-Corporate Finance (Ph.D.)","971
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar-Workshop in Finance","973
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","Page 54 of 386"
