"GERMAN","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"424
GERMAN","","","","","","","","","","","","","","","","","","","",""
"","101
001","","20","3.750","75.0","10.0","10.0",".","5.0",".",".",".",".",".",".",".",".",".",".","."
"","002
101","","17","3.313","41.2","23.5","17.6",".","5.9",".","5.9","5.9",".",".",".",".",".",".",".","."
"","101
003","","18","3.167","16.7","16.7","55.6","5.6","5.6",".",".",".",".",".",".",".",".",".",".","."
"","004
101","","21","3.237","33.3","14.3","33.3",".","4.8",".","4.8","4.8",".",".",".",".",".",".",".","4.8"
"First Semester German","Course Total","","76","3.377","42.1","15.8","28.9","1.3","5.3",".","2.6","2.6",".",".",".",".",".",".",".","1.3"
"","001
102","","23","3.261","39.1","34.8",".","17.4",".","4.3","4.3",".",".",".",".",".",".",".",".","."
"","102
002","","20","3.361","50.0","10.0","10.0","5.0","10.0","5.0",".","10.0",".",".",".",".",".",".",".","."
"","102
003","","22","3.545","59.1","9.1","22.7",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"","102
004","","17","3.706","58.8","29.4","5.9","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"","102
005","","9","3.389","44.4","11.1","33.3",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"Second Semester German","Course Total","","91","3.449","50.5","19.8","12.1","6.6","5.5","2.2","1.1","2.2",".",".",".",".",".",".",".","."
"Second Semester Dutch","112
001","","14","3.364","28.6","7.1","35.7","7.1",".",".",".","14.3",".",".",".",".",".",".","7.1","."
"Intensive German II","172
001","","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","203
001","","21","3.300","52.4","9.5","14.3",".","14.3",".","4.8","4.8",".",".",".",".",".",".",".","."
"","203
002","","22","3.714","59.1","18.2","18.2",".",".",".",".","4.5",".",".",".",".",".",".",".","."
"","203
003","","15","3.500","46.7","26.7","13.3","6.7","6.7",".",".",".",".",".",".",".",".",".",".","."
"Third Semester German","Course Total","","58","3.509","53.4","17.2","15.5","1.7","6.9",".","1.7","3.4",".",".",".",".",".",".",".","."
"","204
001","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","204
002","","11","3.700","45.5","36.4","9.1",".",".",".",".","9.1",".",".",".",".",".",".",".","."
"","204
003","","17","3.618","58.8","5.9","35.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","004
204","","16","3.464","50.0","6.3","25.0",".",".","6.3",".","12.5",".",".",".",".",".",".",".","."
"Fourth Semester German","Course Total","","58","3.691","63.8","10.3","19.0",".",".","1.7",".","5.2",".",".",".",".",".",".",".","."
"","221
001","","19","3.639","47.4","26.3","21.1",".",".",".",".","5.3",".",".",".",".",".",".",".","."
"","221
002","","13","3.269","23.1","38.5","15.4","15.4","7.7",".",".",".",".",".",".",".",".",".",".","."
"Intro-German Lit & Culture I","Course Total","","32","3.484","37.5","31.3","18.8","6.3","3.1",".",".","3.1",".",".",".",".",".",".",".","."
"Intro-German Lit & Culture II","222
001","","22","3.578","45.5","27.3","27.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","225
001","","16","3.233","18.8","25.0","37.5","6.3","6.3",".",".","6.3",".",".",".",".",".",".",".","."
"","225
003","","13","3.346","30.8","7.7","61.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","005
225","","17","3.563","52.9","11.8","17.6","11.8",".",".",".","5.9",".",".",".",".",".",".",".","."
"Composition & Conversatn I","Course Total","","46","3.386","34.8","15.2","37.0","6.5","2.2",".",".","4.3",".",".",".",".",".",".",".","."
"","226
001","","20","3.884","80.0","15.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","226
002","","11","3.618","45.5","45.5",".",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"","226
004","","11","3.269","36.4","27.3","27.3",".",".",".","9.1",".",".",".",".",".",".",".",".","."
"Composition & Conversatn II","Course Total","","42","3.651","59.5","26.2","9.5",".","2.4",".","2.4",".",".",".",".",".",".",".",".","."
"Honors Intro to German Lit","284
001","","9","3.556","44.4","33.3","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"Honor Colloq for German 284","285
001","","9","3.556","44.4","33.3","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"Literatur des 18. Jahrhunderts","302
001","","9","3.294","55.6","22.2","11.1",".",".",".","11.1",".",".",".",".",".",".",".",".","."
"2nd Sem Dutch-Grad Stdts","001
312","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"4th Sem Dutch-Grad Stdts","314
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in Dutch Literature","325
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Business German","001
331","","21","3.573","33.3","47.6","19.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Compositn & Conversatn","337
001","","14","3.652","64.3","14.3","7.1","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-German Linguistics","352
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
