"RISK MANAGEMENT AND INSUR Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"241
R M I","","","","","","","","","","","","","","","","","","","","","",""
"300
001
Principles-Risk Management","233","2.916","18.5","5.6","47.2","6.0","18.5","2.1","1.3","0.9",".","",".",".","",".","",".","",".",".","."
"365
001
Contemporary Topics","14","4.000","100.0",".",".",".",".",".",".",".",".","",".",".","",".","",".","",".",".","."
"399
003
Rdg&Rsch-Risk Management","1","***","","","","","","","","","","",".",".","",".","",".","",".",".","."
"615
001
Liability Risk Management","58","3.293","32.8","13.8","39.7","6.9","6.9",".",".",".",".","",".",".","",".","",".","",".",".","."
"620
001
Employee Benefits Managemnt","40","3.053","7.5","20.0","50.0","10.0","7.5",".",".","5.0",".","",".",".","",".","",".","",".",".","."
"625
001
Government Insurance Progs","26","3.154","15.4","15.4","57.7","7.7","3.8",".",".",".",".","",".",".","",".","",".","",".",".","."
"700
001
Principles of Risk Mgmt","5","***","","","","","","","","","","",".",".","",".","",".","",".",".","."
"799
003","3","***","","","","","","","","","","",".",".","",".","",".","",".",".","."
"799
017","2","***","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Course Total
Rdg & Rsch-Risk Management","5","***","","","","","","","","","","","","","","","","","","","",""
"001
820
Risk Mgmt Info Systems","13","3.808","69.2","23.1","7.7",".",".",".",".",".",".","",".",".","",".","",".","",".",".","."
"875
001
Smr-Risk Managemnt&Insuranc","7","4.000","100.0",".",".",".",".",".",".",".",".","",".",".","",".","",".","",".",".","."
"990
017","1","***","","","","","","","","","","",".",".","",".","",".","",".",".","."
"990
079","2","***","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Course Total
PhD Thesis-Risk&Insurance","3","***","","","","","","","","","","","","","","","","","","","",""
"R M I
Dept. Total
241","405","3.066","26.2","9.4","42.2","5.9","12.6","1.2","0.7","1.7","",".",".","",".","",".","",".",".",".","."
"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"241
R M I","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","40","3.120","45.0","7.5","25.0","5.0","12.5","5.0",".",".","",".",".","",".","",".","",".",".",".","."
"Junior","115","2.936","13.9","4.3","58.3","8.7","13.9","0.9",".",".","",".",".","",".","",".","",".",".",".","."
"Senior","197","3.009","20.8","11.2","42.1","6.1","15.2","1.0","1.5","2.0","",".",".","",".","",".","",".",".",".","."
"Undergraduates","352","2.996","21.3","8.5","45.5","6.8","14.5","1.4","0.9","1.1","",".",".","",".","",".","",".",".",".","."
"Special","2","3.400","50.0",".","50.0",".",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"Graduate","50","3.654","58.0","16.0","20.0",".",".",".",".","6.0","",".",".","",".","",".","",".",".",".","."
"Prof Yr 3","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"Professionals","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"Dept. Total","405","3.066","26.2","9.4","42.2","5.9","12.6","1.2","0.7","1.7","",".",".","",".","",".","",".",".",".","."
