"Summary by Level","#","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"POP HLTH","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","2","3.000",".",".","100.0",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Junior","2","3.500",".","100.0",".",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Senior","22","3.255","45.5","13.6","22.7",".","13.6","",".","",".","4.5","",".",".","",".","",".",".",".",".","."
"Undergraduates","26","3.254","38.5","19.2","26.9",".","11.5","",".","",".","3.8","",".",".","",".","",".",".",".",".","."
"Special","14","3.357","28.6","35.7","21.4","7.1","7.1","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Graduate","273","3.796","60.4","16.1","7.7","0.4",".","",".","",".","11.0","",".",".","",".","",".","4.4",".",".","."
"Prof Yr 3","2","3.500","50.0",".","50.0",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Prof Yr 4","14","3.867","85.7",".","14.3",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Professionals","16","3.824","81.3",".","18.8",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
