"REAL ESTATE & URBAN LAND E Section","","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"239
REAL EST","","","","","","","","","","","","","","","","","","","",""
"The Real Estate Process","306","001","191","3.221","24.1","26.2","24.1","17.3","6.8",".",".","1.6",".",".",".",".",".",".",".","."
"Real Estate Law","312","001","41","3.317","31.7","26.8","19.5","17.1","4.9",".",".",".",".",".",".",".",".",".",".","."
"Rdg & Rsch-Urban Land Econ","399","015","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","415","001","38","3.276","26.3","26.3","28.9","13.2","5.3",".",".",".",".",".",".",".",".",".",".","."
"","415","002","39","2.987","20.5","12.8","28.2","20.5","17.9",".",".",".",".",".",".",".",".",".",".","."
"Valuation of Real Estate","","Course Total","77","3.130","23.4","19.5","28.6","16.9","11.7",".",".",".",".",".",".",".",".",".",".","."
"Residentl Property Devlpmnt","611","003","62","3.926","87.1","8.1","3.2",".",".",".",".",".",".",".",".",".",".","1.6",".","."
"Cmptr Appl-Real Estate Anal","631","001","21","3.889","66.7","19.0",".",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"The Real Estate Process","706","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Real Estate Law","712","001","13","3.500","46.2","15.4","30.8","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"Urban Economics","720","001","25","3.600","48.0","28.0","20.0","4.0",".",".",".",".",".",".",".",".",".",".",".","."
"Real Estate Equity Investmt","740","001","17","3.676","52.9","29.4","17.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","799","015","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","091","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Rdg & Rsch-Urban Land Econ","","Course Total","7","3.750","57.1","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".","14.3","."
"Smr-Urban Land Econ PhD","978","001","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990","015","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","097","1","***","","","","","","","","","",".",".",".",".",".",".","."
"PhD Thesis-Real Estate","","Course Total","2","***","","","","","","","","","","","","","","","",""
