"Research and Thesis","Course Total","","5","***","","","","","","","","","","","","","","","","","","","",""
"","999
060","","1","***","","","","","","","","","","","","",".",".","",".",".",".",".","."
"","999
080","","1","***","","","","","","","","","","","","",".",".","",".",".",".",".","."
"Independent Reading","Course Total","","2","***","","","","","","","","","","","","","","","","","","","",""
"IND REL
492","Dept. Total","","90","3.660","46.7","17.8","13.3","3.3","",".","",".","",".","8.9","1.1","1.1","",".","5.6","1.1","1.1",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","","D","","F","","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","",""
"492
IND REL","","","","","","","","","","","","","","","","","","","","","","","",""
"Junior","","","5","3.250","20.0","20.0","20.0","20.0","",".","",".","",".",".",".",".","",".",".",".","20.0",".","."
"Senior","","","7","3.475","42.9","28.6","14.3","14.3","",".","",".","",".",".",".",".","",".",".",".",".",".","."
"Undergraduates","","","12","3.391","33.3","25.0","16.7","16.7","",".","",".","",".",".",".",".","",".",".",".","8.3",".","."
"Special","","","2","4.000","50.0",".",".",".","",".","",".","",".",".",".","50.0","",".",".",".",".",".","."
"Graduate","","","76","3.702","48.7","17.1","13.2","1.3","",".","",".","",".","10.5","1.3",".","",".","6.6","1.3",".",".","."
"","Dept. Total","","90","3.660","46.7","17.8","13.3","3.3","",".","",".","",".","8.9","1.1","1.1","",".","5.6","1.1","1.1",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","","","","","Page 229 of 386",""
