"","990
075","1","***","","","","","","","","","",".",".",".","",".",".",".","."
"","990
081","2","***","","","","","","","","","",".",".",".","",".",".",".","."
"","990
084","3","***","","","","","","","","","",".",".",".","",".",".",".","."
"Research","Course Total","24","",".",".",".",".",".",".",".","95.8",".",".",".","",".","4.2",".",".","."
"PHYSIOL
762","Dept. Total","383","3.182","41.8","2.6","24.3","2.9","15.9","4.2","0.8","6.8",".",".",".","",".","0.8",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"762
PHYSIOL","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","45","2.498","11.1","8.9","26.7","6.7","37.8","6.7","2.2",".",".",".",".","",".",".",".",".","."
"Junior","","83","2.719","30.1","2.4","21.7","3.6","31.3","8.4","2.4",".",".",".",".","",".",".",".",".","."
"Senior","","62","2.895","33.9","3.2","24.2","4.8","22.6","9.7",".","1.6",".",".",".","",".",".",".",".","."
"Undergraduates","","190","2.724","26.8","4.2","23.7","4.7","30.0","8.4","1.6","0.5",".",".",".","",".",".",".",".","."
"Special","","10","3.096","30.0","10.0","30.0","10.0","20.0",".",".",".",".",".",".","",".",".",".",".","."
"Graduate","","42","3.343","23.8","2.4","7.1","2.4","2.4",".",".","54.8",".",".",".","",".","7.1",".",".","."
"Prof Yr 1","","138","3.696","69.6",".","30.4",".",".",".",".",".",".",".",".","",".",".",".",".","."
"Prof Yr 2","","3","2.000",".",".",".",".","33.3",".",".","66.7",".",".",".","",".",".",".",".","."
"Professionals","","141","3.683","68.1",".","29.8",".","0.7",".",".","1.4",".",".",".","",".",".",".",".","."
"","Dept. Total","383","3.182","41.8","2.6","24.3","2.9","15.9","4.2","0.8","6.8",".",".",".","",".","0.8",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","Page 351 of 386",""
