"COMMUNICATION ARTS","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"250
COM ARTS","","","","","","","","","","","","","","","","","","","",""
"","100","059","13","3.462","23.1","53.8","15.4","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Speech Composition","","Course Total","635","3.307","25.2","38.0","22.8","7.2","3.6","1.1","1.4",".",".",".",".",".",".","0.6",".","."
"","105","001","8","3.438","25.0","37.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","105","002","17","3.441","29.4","35.3","29.4","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"","105","003","16","3.219","12.5","43.8","25.0","12.5","6.3",".",".",".",".",".",".",".",".",".",".","."
"","105","004","18","3.444","22.2","50.0","22.2","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"","105","005","15","3.267","13.3","40.0","33.3","13.3",".",".",".",".",".",".",".",".",".",".",".","."
"","105","006","15","3.400","40.0","26.7","13.3","13.3","6.7",".",".",".",".",".",".",".",".",".",".","."
"","105","007","12","3.125",".","33.3","58.3","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"","105","008","12","2.958","8.3","41.7","25.0","16.7",".",".","8.3",".",".",".",".",".",".",".",".","."
"","105","009","14","3.393","35.7","28.6","14.3","21.4",".",".",".",".",".",".",".",".",".",".",".","."
"Public Speaking","","Course Total","127","3.307","21.3","37.8","27.6","11.0","1.6",".","0.8",".",".",".",".",".",".",".",".","."
"","199","018","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","199","026","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","2","***","","","","","","","","","","","","","","","",""
"Bascom Course","236","001","17","3.176","41.2","11.8","29.4",".","11.8",".","5.9",".",".",".",".",".",".",".",".","."
"Radio,TV&Film as Mass Media","250","001","219","3.067","9.6","30.6","36.5","15.5","5.5","0.5","1.4",".",".",".",".",".",".","0.5",".","."
"Communication & Human Behav","260","001","142","2.817","16.2","21.1","30.3","7.0","13.4","7.7","4.2",".",".",".",".",".",".",".",".","."
"","262","001","201","3.070","17.4","26.4","27.9","15.4","9.0","2.0","1.0",".",".",".",".",".",".","1.0",".","."
"","262","002","19","3.526","36.8","31.6","31.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Thry&Pract-Argument&Debate","","Course Total","220","3.110","19.1","26.8","28.2","14.1","8.2","1.8","0.9",".",".",".",".",".",".","0.9",".","."
"Thry&Pract-Group Discussion","266","001","177","3.315","20.9","37.3","29.4","6.2","2.8","0.6","0.6","1.1","0.6",".",".",".",".",".",".","0.6"
"Intro-Interpersonal Com","272","001","116","3.200","15.5","33.6","35.3","11.2","1.7",".","1.7","0.9",".",".",".",".",".",".",".","."
"","350","001","168","3.071","10.7","29.8","35.1","14.9","6.5","0.6","1.2","0.6",".",".",".",".",".",".",".","0.6"
"","350","002","59","3.068","11.9","28.8","35.6","15.3","6.8",".","1.7",".",".",".",".",".",".",".",".","."
"Introduction to Film","","Course Total","227","3.070","11.0","29.5","35.2","15.0","6.6","0.4","1.3","0.4",".",".",".",".",".",".",".","0.4"
"Introduction to Television","351","001","175","3.118","14.9","24.0","40.0","13.1","6.9",".","0.6","0.6",".",".",".",".",".",".",".","."
"Radio Programmng&Production","353","001","21","3.405","23.8","42.9","23.8","9.5",".",".",".",".",".",".",".",".",".",".",".","."
"Film Styles and Genres","354","001","90","2.767","10.0","18.9","23.3","21.1","23.3","1.1","2.2",".",".",".",".",".",".",".",".","."
"Intro to Video Production","355","001","132","3.227","14.4","42.4","32.6","4.5","3.8",".","2.3",".",".",".",".",".",".",".",".","."
"Quantitatve Rsch-Communictn","361","001","36","3.417","38.9","27.8","25.0","5.6",".",".","2.8",".",".",".",".",".",".",".",".","."
"Thry&Practice of Persuasion","368","001","118","2.464","3.4","12.7","22.9","16.9","33.1","7.6","1.7","1.7",".",".",".",".",".",".",".","."
"Rhetoric-Campaign&Revolutn","372","001","331","3.048","17.8","21.8","28.7","16.0","11.8","1.2","0.6","1.8",".",".",".",".",".",".",".","0.3"
"Miscommunication","410","001","36","2.722","8.3","8.3","38.9","19.4","19.4","5.6",".",".",".",".",".",".",".",".",".","."
"History of Broadcasting","450","001","44","2.580",".","4.5","36.4","43.2","9.1","6.8",".",".",".",".",".",".",".",".",".","."
"Television Criticism","451","001","97","2.892","8.2","15.5","35.1","35.1","4.1","1.0","1.0",".",".",".",".",".",".",".",".","."
"Russian and Soviet Film","456","001","22","3.068","22.7","13.6","36.4","9.1","18.2",".",".",".",".",".",".",".",".",".",".","."
"Mass Media & Human Behavior","457","001","128","3.351","30.5","30.5","21.9","10.9","1.6",".","1.6","2.3",".",".",".",".",".","0.8",".","."
"Communicatn Technol&Society","459","001","36","3.000","11.1","27.8","41.7","11.1",".","5.6","2.8",".",".",".",".",".",".",".",".","."
"Semiotics of Communication","532","001","56","3.727","67.9","17.9","10.7",".",".",".","1.8",".",".",".",".",".","1.8",".",".","."
"Am Film Inds-Studio Sys Era","556","001","61","2.713","13.1","8.2","31.1","19.7","19.7","8.2",".",".",".",".",".",".",".",".",".","."
"Communication Theory","560","001","19","2.842","21.1","21.1","31.6",".","10.5","10.5","5.3",".",".",".",".",".",".",".",".","."
