"MATHEMATICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"600
MATH","","","","","","","","","","","","","","","","","","",""
"Intro:Probabilty-Biologists","231
001","27","2.741","18.5","11.1","18.5","11.1","37.0","3.7",".",".",".",".",".",".",".",".",".","."
"","234
001","119","2.530","18.5","10.9","21.0","10.1","21.0","8.4","9.2",".",".",".",".",".",".",".","0.8","."
"","002
234","147","2.517","17.0","9.5","23.8","6.1","23.8","10.9","6.8","1.4",".",".",".",".",".",".",".","0.7"
"","003
234","209","2.502","15.8","8.6","21.1","16.3","20.1","12.9","5.3",".",".",".",".",".",".",".",".","."
"Calc--Functns of Variables","Course Total","475","2.514","16.8","9.5","21.9","11.6","21.5","11.2","6.7","0.4",".",".",".",".",".",".","0.2","0.2"
"","272
001","176","2.696","19.3","9.7","28.4","13.6","13.1","13.1","2.8",".",".",".",".",".",".",".",".","."
"","272
002","127","2.658","26.0","11.8","12.6","11.0","21.3","11.0","5.5",".",".",".",".",".",".",".",".","0.8"
"Topics-Elementary Calculus","Course Total","303","2.680","22.1","10.6","21.8","12.5","16.5","12.2","4.0",".",".",".",".",".",".",".",".","0.3"
"Topics in Calculus II","001
276","17","3.268","41.2","11.8","17.6","17.6","11.8",".",".",".",".",".",".",".",".",".",".","."
"Multi-Var Calc & Linear Alg","277
001","20","2.789","30.0","10.0","10.0","10.0","25.0","5.0","5.0",".",".",".",".",".",".",".",".","5.0"
"Directed Study in Math","298
015","65","",".",".",".",".",".",".",".",".",".","96.9","1.5",".",".",".",".","1.5"
"Theory-Interst & Life Insur","303
001","9","3.444","33.3","22.2","44.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Math Statistics","310
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","319
001","28","2.759","17.9","17.9","25.0",".","25.0","7.1","3.6","3.6",".",".",".",".",".",".",".","."
"","319
002","20","3.050","30.0","20.0","20.0","10.0","15.0",".","5.0",".",".",".",".",".",".",".",".","."
"","319
003","25","3.167","36.0","16.0","20.0","8.0","8.0","8.0",".","4.0",".",".",".",".",".",".",".","."
"","319
004","23","3.130","30.4","21.7","21.7","13.0","4.3","8.7",".",".",".",".",".",".",".",".",".","."
"","319
005","27","3.259","40.7","18.5","18.5","11.1","3.7","7.4",".",".",".",".",".",".",".",".",".","."
"","319
006","24","2.826","16.7","25.0","12.5","16.7","12.5","12.5",".",".",".",".",".",".",".",".","4.2","."
"","007
319","27","2.315","7.4","25.9","22.2",".","11.1","22.2","11.1",".",".",".",".",".",".",".",".","."
"","008
319","9","3.000","33.3","11.1","22.2","11.1","11.1","11.1",".",".",".",".",".",".",".",".",".","."
"Tech-Ordinary Diff Equation","Course Total","183","2.922","25.7","20.2","20.2","8.2","11.5","9.8","2.7","1.1",".",".",".",".",".",".","0.5","."
"","320
001","28","3.089","21.4","21.4","32.1","10.7","10.7","3.6",".",".",".",".",".",".",".",".",".","."
"","320
002","14","2.846","28.6",".","21.4",".","42.9",".",".",".",".",".",".",".",".",".","7.1","."
"","003
320","23","2.913","21.7","21.7","8.7","21.7","21.7","4.3",".",".",".",".",".",".",".",".",".","."
"","004
320","36","2.771","13.9","22.2","27.8","11.1","11.1","2.8","8.3",".","2.8",".",".",".",".",".",".","."
"","320
005","34","2.838","20.6","8.8","29.4","17.6","14.7","8.8",".",".",".",".",".",".",".",".",".","."
"","320
006","29","3.172","31.0","17.2","27.6","10.3","10.3","3.4",".",".",".",".",".",".",".",".",".","."
"","007
320","31","2.742","19.4","3.2","35.5","16.1","12.9","12.9",".",".",".",".",".",".",".",".",".","."
"Linear Alg & Diff Equations","Course Total","195","2.907","21.5","14.4","27.2","13.3","15.4","5.6","1.5",".","0.5",".",".",".",".",".","0.5","."
"Appl Mathematical Analysis","001
321","18","2.294","38.9",".",".",".","22.2","16.7","16.7",".",".",".",".",".",".",".","5.6","."
