"ANIMAL SCIENCES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"604
AN SCI","","","","","","","","","","","","","","","","","","","",""
"200
Biol&Apprec-Companion Anmls","001","","137","3.018","22.6","27.0","21.2","7.3","14.6","5.8","1.5",".",".",".",".",".",".",".",".","."
"221
Adv Meat Animal Eval Lab","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"250
Horse Science & Management","001","","22","3.591","50.0","36.4",".","9.1","4.5",".",".",".",".",".",".",".",".",".",".","."
"289","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"289","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Honors Independent Study","Course Total","","3","***","","","","","","","","","","","","","","","",""
"299","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","032","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"299","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","8","3.700","75.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"305
Intro-Meat Sci & Technology","001","","40","3.113","25.0","25.0","20.0","17.5","10.0",".","2.5",".",".",".",".",".",".",".",".","."
"360
Principles-Animal Breeding","001","","41","2.963","26.8","17.1","19.5","14.6","17.1",".","4.9",".",".",".",".",".",".",".",".","."
"375
Special Topics","001","","10","3.800","60.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"414
Ruminant Nutrition","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"415
Appl-Monogastrc Nutr Prncpl","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"430
Sheep Production","001","","12","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"434
Reproductive Physiology","001","","30","2.933","26.7","10.0","16.7","16.7","30.0",".",".",".",".",".",".",".",".",".",".","."
"505
Rumen Microbiology","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"522
Seminar in Research II","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","029","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","030","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","032","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","043","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","063","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","17","3.824","76.5","11.8",".",".","5.9",".",".",".",".",".",".",".","5.9",".",".","."
"799","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","035","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"799","070","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Practicum-Animal Sci Tchng","Course Total","","7","3.643","71.4",".","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"875
Special Topics","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"931
Seminar in Animal Nutrition","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"951
Seminar in Animal Breeding","001","","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"954
Endocrinlgy-Reprodctve Phys","001","","13","3.833","30.8","15.4",".",".",".",".",".","53.8",".",".",".",".",".",".",".","."
"990","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","029","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","035","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","036","","7","",".",".",".",".",".",".",".","28.6",".",".",".",".",".",".","71.4","."
"990","039","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","","Page 33 of 386"
