"PSYCHOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"820
PSYCH","","","","","","","","","","","","","","","","","","","",""
"","455
002","","13","3.654","61.5","7.7","30.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","455
003","","17","3.853","70.6","29.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","455
004","","15","3.267","26.7","6.7","60.0","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"","455
005","","11","3.545","54.5","18.2","18.2",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"Lab in Behavioral Neurosci","Course Total","","71","3.636","57.7","15.5","21.1","2.8","1.4",".",".","1.4",".",".",".",".",".",".",".","."
"Honors Smr-Cognitive Psych","481
001","","9","3.778","55.6","44.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Psychology of Personality","507
001","","158","2.895","15.8","19.0","23.4","16.5","17.7","3.8","0.6","3.2",".",".",".",".",".",".",".","."
"Abnormal Psychology","509
001","","372","2.927","24.2","11.8","22.6","12.4","26.3","1.6","0.5",".",".",".",".",".",".","0.5",".","."
"Bhv Pathology-Psychoses","512
001","","117","3.183","31.6","22.2","18.8","11.1","5.1","6.0","0.9","2.6",".",".",".",".",".",".",".","1.7"
"","517
001","","29","3.621","69.0","13.8","6.9","6.9",".",".","3.4",".",".",".",".",".",".",".",".","."
"","002
517","","27","3.741","59.3","29.6","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","517
003","","32","3.516","50.0","15.6","25.0","6.3","3.1",".",".",".",".",".",".",".",".",".",".","."
"Intro to Clinical Psych","Course Total","","88","3.619","59.1","19.3","14.8","4.5","1.1",".","1.1",".",".",".",".",".",".",".",".","."
"Neurobi II:Intr-Brain&Behav","524
001","","12","3.125","41.7",".","25.0","8.3","25.0",".",".",".",".",".",".",".",".",".",".","."
"","530
001","","60","2.831","10.0","18.3","30.0","11.7","26.7","1.7",".",".",".",".",".",".",".",".",".","1.7"
"","530
002","","34","2.912","14.7","20.6","29.4","14.7","14.7","5.9",".",".",".",".",".",".",".",".",".","."
"Intro-Social Psychology","Course Total","","94","2.855","11.7","19.1","29.8","12.8","22.3","3.2",".",".",".",".",".",".",".",".",".","1.1"
"Social Behavior Dynamics","537
001","","22","3.114","31.8","9.1","22.7","22.7","13.6",".",".",".",".",".",".",".",".",".",".","."
"Animal Comm & Orig of Lang","550
001","","13","3.417","30.8","30.8","23.1",".","7.7",".",".",".",".",".",".",".","7.7",".",".","."
"Hormones and Behavior","556
001","","20","3.650","60.0","20.0","15.0",".","5.0",".",".",".",".",".",".",".",".",".",".","."
"Child Psychology","560
001","","183","2.856","21.9","10.4","24.6","8.2","29.5","3.8",".",".",".",".",".",".",".","1.1",".","0.5"
"Honors-Psych of Personality","001
587","","17","3.559","41.2","29.4","29.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","618
001","","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","618
002","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Research Topics","Course Total","","33","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Biology of Mind","619
001","","29","3.385","24.1","48.3","6.9","6.9",".",".","3.4","3.4",".",".",".",".",".","6.9",".","."
"Senior Honors Thesis","681
031","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","682
002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682
003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682
006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682
011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682
015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682
016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682
017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682
023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682
031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Honors Seminar in Psych","001
686","","11","3.909","90.9",".","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","691
002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","691
012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","691
023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Undergraduate Thesis","Course Total","","3","***","","","","","","","","","","","","","","","",""
"","692
028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","Page 277 of 386",""
