"NURSING","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"692
NURSING","","","","","","","","","","","","","","","","","","","",""
"613","005","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"613","006","","8","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"613","007","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"613","008","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Preceptrshp-Nurse Practitnr","Course Total","","49","3.900","77.6","22.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"682","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","065","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","2","***","","","","","","","","","","","","","","","",""
"698","046","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"698","088","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study in Nursing","Course Total","","5","***","","","","","","","","","","","","","","","",""
"699","010","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","032","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","049","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","088","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","094","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study in Nursing","Course Total","","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"700
Nursing Research I","001","","19","3.316","36.8","10.5","42.1",".","10.5",".",".",".",".",".",".",".",".",".",".","."
"701
Interpretv Rsch-Health Care","001","","19","3.750","63.2","15.8","15.8",".",".",".",".",".",".",".",".",".",".",".",".","5.3"
"702
Hlth Promo&Disease Prevention","001","","24","3.750","58.3","33.3","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"704
Leadershp-Roles,Ethics,Care","001","","25","3.600","28.0","64.0","8.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"715","001","","9","3.846","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"715","002","","15","3.767","60.0","33.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"715","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"715","004","","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"715","005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Mgt Hlth Probs-Ambul Settng","Course Total","","40","3.843","72.5","25.0","2.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"719","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"719","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"719","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"719","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"719","046","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"719","054","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"719","056","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"719","065","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"719","087","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Indep Field Stdy-Clinic Nsg","Course Total","","14","4.000","28.6",".",".",".",".",".",".","71.4",".",".",".",".",".",".",".","."
"721
Adv Med-Surgical Nursing","001","","7","3.571","57.1","14.3","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"735
Hlth-Women Across Lifespan","001","","12","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"747","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"747","056","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","Page 365 of 386",""
