"CONTINUING AND VOCATIONAL  Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"268
C A V E","","","","","","","","","","","","","","","","","","","",""
"100
Ed Found-Human&Naturl Rsrce","001","","10","3.550","50.0","20.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"299
Independent Study","069","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"340
Fam & Consmr Ed for Adults","001","","17","3.353","35.3","11.8","41.2","11.8",".",".",".",".",".",".",".",".",".",".",".","."
"345
Practicum in Vocational Ed","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"370
Teaching Vocational Educ","001","","18","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"375
Special Topics","001","","11","3.545","36.4","36.4","27.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"399","069","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"399","078","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","Course Total","","6","3.429","50.0","16.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"602
Intro-Eval in Cont & Voc Ed","001","","18","3.824","72.2","16.7",".","5.6",".",".",".",".",".",".",".",".",".",".","5.6","."
"609
Iss & Probs-Cont & Voc Educ","001","","17","3.906","76.5","17.6",".",".",".",".",".",".",".",".",".",".","5.9",".",".","."
"620
Anal&Develp-Adlt Ed Philos","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"642
Facilitating Adult Learning","001","","12","3.850","66.7","8.3","8.3",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"650
Eval-Cont Education Progrms","001","","13","3.875","76.9","7.7","7.7",".",".",".",".",".",".",".",".",".",".",".","7.7","."
"681
Senior Honors Thesis","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","036","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","055","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","063","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","069","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","074","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","076","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","078","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Ind Stdy-Special Proj&Prob","Course Total","","14","4.000","92.9",".",".",".",".",".",".",".",".",".",".",".","7.1",".",".","."
"749
Teaching-Learning: Adult Ed","001","","11","3.850","72.7","9.1","9.1",".",".",".",".",".",".",".",".",".","9.1",".",".","."
"901
Smr-Continuing & Vocat Educ","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","036","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","039","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","055","","11","",".",".",".",".",".",".",".","90.9","9.1",".",".",".",".",".",".","."
"990","057","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","063","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","064","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","069","","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","074","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","076","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","36","",".",".",".",".",".",".",".","75.0","5.6",".",".","19.4",".",".",".","."
"999","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","074","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","","2","***","","","","","","","","","","","","","","","",""
