"BUS","","","","","","","","","","","","","","","","","","",""
"MARKETING","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"237
MARKETNG","","","","","","","","","","","","","","","","","","",""
"","300
001","255","3.103","15.7","18.4","42.0","19.6","1.2","1.2","0.4","1.6",".",".",".",".",".",".",".","."
"","300
002","274","3.215","21.5","20.1","40.5","15.0","0.7",".","0.7","1.5",".",".",".",".",".",".",".","."
"","300
003","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Marketing Management","Course Total","532","3.162","18.8","19.2","41.4","17.1","0.9","0.6","0.6","1.5",".",".",".",".",".",".",".","."
"","305
001","65","3.358","20.0","41.5","27.7","7.7","3.1",".",".",".",".",".",".",".",".",".",".","."
"","002
305","52","3.375","19.2","53.8","17.3","5.8","1.9","1.9",".",".",".",".",".",".",".",".",".","."
"","305
003","48","3.500","37.5","29.2","29.2","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"","305
004","50","3.375","30.0","22.0","38.0","2.0","4.0",".",".",".",".",".",".",".",".","4.0",".","."
"Consumer Behavior","Course Total","215","3.398","26.0","37.2","27.9","5.1","2.3","0.5",".",".",".",".",".",".",".","0.9",".","."
"","310
001","60","3.100","16.7","10.0","53.3","16.7","3.3",".",".",".",".",".",".",".",".",".",".","."
"","310
002","46","2.913",".","26.1","43.5","17.4","13.0",".",".",".",".",".",".",".",".",".",".","."
"","310
004","40","3.256","15.0","40.0","27.5","10.0","5.0",".",".",".",".",".",".",".",".","2.5",".","."
"Marketing Research","Course Total","146","3.083","11.0","23.3","43.2","15.1","6.8",".",".",".",".",".",".",".",".","0.7",".","."
"","399
038","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
092","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
127","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Reading & Rsch-Marketing","Course Total","4","***","","","","","","","","","","","","","","","",""
"","415
001","64","3.278","23.4","28.1","32.8","10.9","1.6","1.6",".","1.6",".",".",".",".",".",".",".","."
"","415
002","66","3.333","28.8","28.8","30.3","10.6",".",".","1.5",".",".",".",".",".",".",".",".","."
"Marketing Communications","Course Total","130","3.306","26.2","28.5","31.5","10.8","0.8","0.8","0.8","0.8",".",".",".",".",".",".",".","."
"Global Marketing","420
001","78","3.483","37.2","23.1","35.9","2.6",".",".",".",".",".",".",".",".",".","1.3",".","."
"","425
001","46","3.446","23.9","43.5","30.4","2.2",".",".",".",".",".",".",".",".",".",".",".","."
"","425
002","48","3.385","20.8","41.7","31.3","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"Marketing Channels","Course Total","94","3.415","22.3","42.6","30.9","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"Product & Price Management","430
001","58","3.132","8.6","27.6","51.7","5.2","3.4","1.7",".","1.7",".",".",".",".",".",".",".","."
"Promotional Campaigns","454
001","10","3.400","10.0","70.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","460
001","40","3.410","15.0","55.0","22.5","5.0",".",".",".","2.5",".",".",".",".",".",".",".","."
"","460
002","37","3.365","10.8","67.6","10.8","5.4","5.4",".",".",".",".",".",".",".",".",".",".","."
"","003
460","47","3.106","4.3","21.3","68.1","4.3","2.1",".",".",".",".",".",".",".",".",".",".","."
"","460
004","33","3.697","45.5","48.5","6.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Marketing Strategy","Course Total","157","3.369","17.2","46.5","29.9","3.8","1.9",".",".","0.6",".",".",".",".",".",".",".","."
"","700
001","44","3.193","4.5","31.8","61.4","2.3",".",".",".",".",".",".",".",".",".",".",".","."
"","700
003","45","3.756","55.6","40.0","4.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Marketing Management","Course Total","89","3.478","30.3","36.0","32.6","1.1",".",".",".",".",".",".",".",".",".",".",".","."
"","705
001","33","3.656","42.4","42.4","12.1",".",".",".",".","3.0",".",".",".",".",".",".",".","."
"","003
705","29","3.586","37.9","41.4","20.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Consumer Behavior","Course Total","62","3.623","40.3","41.9","16.1",".",".",".",".","1.6",".",".",".",".",".",".",".","."
"Marketing Research","001
710","31","3.532","32.3","45.2","19.4","3.2",".",".",".",".",".",".",".",".",".",".",".","."
"Global Marketing","001
720","38","3.568","26.3","60.5","7.9","2.6",".",".",".","2.6",".",".",".",".",".",".",".","."
"Marketing Strategy","760
001","8","3.625","25.0","75.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
001","13","3.500","23.1","53.8","23.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
003","24","3.667","50.0","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","37","3.608","40.5","40.5","18.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","799
052","1","***","","","","","","","","","",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","Page 61 of 386"
