"MATERIALS SCI AND ENGINEERI Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"636
M S & E","","","","","","","","","","","","","","","","","","","",""
"1
Cooperative Education Prog","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"250
Intro to Modern Materials","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"330
Thermodynamics of Materials","001","","22","2.682","13.6","27.3","13.6","18.2","13.6","4.5","9.1",".",".",".",".",".",".",".",".","."
"331
Transport Phenom-Materials","001","","21","3.405","28.6","33.3","28.6","9.5",".",".",".",".",".",".",".",".",".",".",".","."
"333
Microprocessing-Materials","001","","22","3.375","22.7","31.8","27.3","9.1",".",".",".","9.1",".",".",".",".",".",".",".","."
"350
Intro to Materials Science","001","","107","3.203","25.2","19.6","39.3","5.6","6.5","2.8",".",".",".",".",".",".",".","0.9",".","."
"352
Transformation of Solids","001","","27","3.000","18.5","22.2","37.0","7.4","7.4","3.7","3.7",".",".",".",".",".",".",".",".","."
"360","001","","8","3.500","25.0","50.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"360","002","","9","3.556","33.3","44.4","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Materials Laboratory I","Course Total","","17","3.529","29.4","47.1","23.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"361
Materials Laboratory II","001","","19","3.316","31.6","31.6","15.8","10.5","10.5",".",".",".",".",".",".",".",".",".",".","."
"370
Materials Process-Unit Oper","001","","6","3.667","33.3","66.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"371
Mat Sci&Engr Prob Solvng II","001","","18","3.361","33.3","22.2","27.8","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"390
Materials Sys&Desgn Proj II","001","","18","3.625","33.3","44.4","11.1",".",".",".",".",".",".",".",".",".","5.6",".","5.6","."
"401
Special Topics","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"434
Intro Thin-Film Deposition","001","","9","3.667","33.3","66.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"441
Deformation of Solids","001","","26","3.300","26.9","26.9","30.8","7.7",".","3.8",".",".",".",".",".",".","3.8",".",".","."
"445
Multicomponent Phase Equil","001","","11","3.727","45.5","54.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"462
Welding Metallurgy","001","","19","3.474","36.8","42.1","15.8",".",".","5.3",".",".",".",".",".",".",".",".",".","."
"699","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","029","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","5","***","","","","","","","","","","","","","","","",""
"790","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","020","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","029","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","030","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Master's Research or Thesis","Course Total","","9","",".",".",".",".",".",".",".","22.2",".",".",".","77.8",".",".",".","."
"801
Topics-Physical Metallurgy","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"802
Metallurgicl Thermodynamics","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"803","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"803","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"803","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"803","006","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"803","007","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"803","008","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"803","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Spec Topics-Materials Sci","Course Total","","20","4.000","70.0",".",".",".",".",".",".","30.0",".",".",".",".",".",".",".","."
"806
Topics-Material Processing","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"890","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","018","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"890","020","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","Page 136 of 386",""
