"ART HISTORY","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"180
ART HIST","","","","","","","","","","","","","","","","","","","",""
"Study of Art, Present&Past","101","001","104","3.181","21.2","26.9","34.6","6.7","5.8","1.0","1.9","1.0",".",".",".",".",".",".","1.0","."
"","201","001","136","2.966","26.5","14.7","25.0","14.0","9.6","3.7","4.4","2.2",".",".",".",".",".",".",".","."
"","201","015","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Ancient and Medieval Art","","Course Total","137","2.966","26.3","14.6","25.5","13.9","9.5","3.6","4.4","2.2",".",".",".",".",".",".",".","."
"","202","001","213","3.158","31.9","25.4","15.5","9.4","3.8","4.2","4.2","4.7","0.5",".",".",".",".",".",".","0.5"
"","202","002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","202","015","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Renaissance to Modern Art","","Course Total","215","3.161","32.1","25.1","15.8","9.3","3.7","4.2","4.2","4.7","0.5",".",".",".",".",".",".","0.5"
"Greek Painting","301","001","8","3.517","50.0","25.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Roman Art","304","001","21","3.726","61.9","14.3","4.8","9.5",".",".",".","4.8",".",".",".",".",".",".","4.8","."
"Donatello-da Vinci:14-1500","322","001","50","3.088","8.0","26.0","30.0","14.0","8.0",".",".","12.0",".",".",".",".",".","2.0",".","."
"Netherlandish Painting-17c","333","001","25","3.645","60.0","8.0","16.0","4.0","4.0",".",".","8.0",".",".",".",".",".",".",".","."
"Study Abroad-Anc/Mediev Art","335","000A","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Architecture & Art of Cuba","349","001","31","2.793","41.9",".","3.2","12.9","16.1","19.4",".","3.2",".",".",".",".",".","3.2",".","."
"20th Century Art in Europe","351","001","78","3.510","39.7","37.2","15.4","1.3","2.6","2.6",".","1.3",".",".",".",".",".",".",".","."
"History of Photography","355","001","35","2.578","14.3","11.4","22.9","2.9","25.7","11.4","2.9","5.7",".",".",".",".",".",".","2.9","."
"Mod Print&Printmkrs-1850 on","356","001","15","3.033","26.7","26.7","13.3","20.0","6.7",".","6.7",".",".",".",".",".",".",".",".","."
"Arts of China","370","001","13","2.667","15.4","23.1",".","23.1","23.1",".","7.7","7.7",".",".",".",".",".",".",".","."
"Arts of Japan","372","001","17","3.029","23.5","11.8","35.3","5.9","23.5",".",".",".",".",".",".",".",".",".",".","."
"Afr Art:Paleolthc-W Afr Emp","377","001","28","3.281","46.4","17.9","14.3","7.1","3.6","3.6","3.6","3.6",".",".",".",".",".",".",".","."
"Topics in Asian Art","411","001","11","3.909","81.8","18.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Buddhist Iconography","423","001","45","3.244","15.6","35.6","33.3","4.4","2.2",".","2.2","6.7",".",".",".",".",".",".",".","."
"Proseminar in Medieval Art","515","001","15","3.333","33.3","26.7","26.7",".","13.3",".",".",".",".",".",".",".",".",".",".","."
"Proseminar in African Art","579","001","20","3.328","25.0","30.0","20.0","10.0","5.0",".",".",".",".",".",".",".","10.0",".",".","."
"Special Topics-Art History","600","001","17","3.000","41.2","5.9","17.6","17.6",".",".","11.8",".",".",".",".",".","5.9",".",".","."
"Senior Honors Thesis","681","007","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","698","015","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","003","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","006","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","007","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","009","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","015","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","029","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","035","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","15","3.593","60.0","13.3","6.7","6.7","6.7",".",".",".",".",".",".",".",".",".","6.7","."
"","799","003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","015","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","018","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","025","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","033","9","3.286","33.3","33.3","11.1",".",".","22.2",".",".",".",".",".",".",".",".",".","."
"Independent Study","","Course Total","16","3.681","56.3","25.0","6.3",".",".","12.5",".",".",".",".",".",".",".",".",".","."
"Smr-Northern European Art","835","001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
