"HUMAN DEVEL & FAMILY STUDI Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"230
HDFS","","","","","","","","","","","","","","","","","","","",""
"362","001","","40","3.205","30.0","30.0","20.0","5.0","5.0","5.0","2.5","2.5",".",".",".",".",".",".",".","."
"362","002","","184","3.152","28.3","22.3","25.0","7.1","9.8","1.6","2.7","3.3",".",".",".",".",".",".",".","."
"Development of Young Child","Course Total","","224","3.161","28.6","23.7","24.1","6.7","8.9","2.2","2.7","3.1",".",".",".",".",".",".",".","."
"363","001","","40","3.079","15.0","7.5","52.5","17.5","2.5",".",".","5.0",".",".",".",".",".",".",".","."
"363","002","","217","3.012","18.9","13.4","31.8","19.4","8.3","1.8","0.9","5.1",".",".",".",".",".","0.5",".","."
"Develp: Adolescence-Old Age","Course Total","","257","3.023","18.3","12.5","35.0","19.1","7.4","1.6","0.8","5.1",".",".",".",".",".","0.4",".","."
"460
Intellect Develop&Preschool","001","","28","3.732","82.1","10.7",".",".","3.6",".","3.6",".",".",".",".",".",".",".",".","."
"461
Soc&Emotnl Dev-Early Educ","001","","31","3.774","87.1","3.2","3.2","3.2",".",".","3.2",".",".",".",".",".",".",".",".","."
"463
Teaching Laboratory","001","","26","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"469
Family&Com Influences-Child","001","","26","3.538","38.5","30.8","30.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"471
Parent-Child Relations","001","","48","3.833","75.0","20.8","2.1",".","2.1",".",".",".",".",".",".",".",".",".",".","."
"473
Hist of Motherhood in Amer","001","","14","3.077","14.3","35.7","28.6","7.1",".",".","7.1","7.1",".",".",".",".",".",".",".","."
"474
Ethnic Minority Families-US","001","","30","3.683","60.0","30.0","6.7",".",".","3.3",".",".",".",".",".",".",".",".",".","."
"516
Family Stress and Coping","001","","30","3.690","46.7","40.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","3.3"
"517
Couple Relationships","001","","30","3.333","33.3","23.3","30.0","3.3","10.0",".",".",".",".",".",".",".",".",".",".","."
"535
Family Perspctv-Policymakng","001","","20","3.368","30.0","30.0","20.0","10.0","5.0",".",".",".",".",".",".",".",".",".",".","5.0"
"564","001","","25","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"564","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Early Child Ed Tchg Practcm","Course Total","","26","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"565
Preschool Stdt Teacher Smr","001","","25","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"566
Sr Seminar-Chld&Fam Studies","001","","26","3.519","30.8","57.7","7.7",".",".","3.8",".",".",".",".",".",".",".",".",".","."
"601
Internship","019","","28","3.953","89.3","10.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"691
Senior Thesis","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","017","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"725
Theory & Issues-Human Dev","001","","11","3.900","72.7","18.2",".",".",".",".",".",".",".",".",".",".","9.1",".",".","."
"760
Infancy and the Family","001","","7","3.833","57.1","28.6",".",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"763
Aging and the Family","001","","18","3.972","94.4","5.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"766","001","","8","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"766","002","","11","4.000","90.9",".",".",".",".",".",".",".",".",".",".",".","9.1",".",".","."
"766","003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"766","004","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Current Iss-Family Living","Course Total","","28","3.833","75.0","17.9","3.6",".",".",".",".",".",".",".",".",".","3.6",".",".","."
"990","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","Page 141 of 386",""
